《1739-0000》,# カンマ区切りテキスト形式です。
《1739-0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《1739-0020》,# ・表の区画内での改行は“/”で表記します。
《1739-0030》,# ・《行番号》とその次のカラム(《暦首》など)は表成型に用いますので削除しないでください。
《1739-0040》,# ・カンマ","を追加・削除すると、その行が表成型できない場合があります。
《1739-0050》,# 外部リンク
《1739-0060》,# ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546784/180 ～ 185
《1739-0070》,# ・hosi.org　 : http://hosi.org:3000/Note/1739g　(GitHub上データを表成型)
《1739-0080》,# 　　　　　　 　http://hosi.org:3000/Note/1739h　(翻刻編集データを表成型 - 未実装)
《1739-0090》,# 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png
《1739-0100》,《版元》,出版地○○,出版元□□□,　
《1739-1350》,《暦日1》,十六／,みつのえたつ,とつ,水,　,大みやう 五む日 ふく日
《1739-1360》,《節中》,小満四月中とらの三刻日の出より日入まて,昼五十八刻余/夜四十一刻余,六より六まて,昼六十三刻余/夜三十六刻余
《1739-1370》,《暦日1》,十七／,みつのとのみ,たつ,水,天一天上,●
《1739-1380》,《暦日2》,十八／,きのえむま,のそく,金,　,天しや よろつよし
《1739-1390》,《暦日0》,十九／,きのとのひつし,みつ,,　,大みやう 五む日 くゑ日
《1739-1400》,《暦日2》,廿／,ひのえさる,たいら,火,　,神よし ちいみ 大くわ ふく日 地火  入学よし
《1739-1410》,《暦日0》,廿一／,ひのとのとり,さたん,,　,十し
《1739-1420》,《暦日2》,廿二／,つちのえいぬ,とる,木,　, くらたて かまぬりよし
《1739-1430》,《暦日0》,廿三／,つちのとのい,やふる,,　,くゑ日 ちう日
《1739-1440》,《暦日2》,廿四／,かのえね,あやふ,土,　,神よし  わたまし たねまきよし
《1739-1450》,《暦日0》,廿五／,かのとのうし,なる,,　,五む日 きこ  つめとりよし
《1739-1460》,《暦日2》,廿六／,みつのえとら,おさん,金,　,大みやう ふく日 めつもん  つめとりよし
《1739-1470》,《暦日0》,廿七／,みつのとのう,ひらく,,　,神よし  かといて さひらきよし
《1739-1480》,《暦日2》,廿八／,きのえたつ,とつ,火,　,大みやう
《1739-1490》,《暦日0》,廿九／,きのとのみ,たつ,,　,●
《1739-1500》,《月序》,五月,大,建,庚午,心宿　胃　土よう
《1739-1510》,《暦日2》,一／,ひのえむま,のそく,水,　,大みやう くゑ日 ふく日
《1739-1520》,《暦日0》,二／,ひのとのひつし,のそく,,　,神よし ふく日
《1739-1530》,《節中》,芒種五月せつみの初刻ニ入日の出より日入まて,昼五十九刻余/夜四十刻余,六より六まて,昼六十四刻余/夜三十五刻余
《1739-1540》,《暦日2》,三／,つちのえさる,みつ,土,　,神よし  入学よし
《1739-1550》,《暦日0》,四／,つちのとのとり,たいら,,　,神よし 大みやう めつもん 地火
《1739-1560》,《暦日2》,五／,かのえいぬ,さたん,金,　,大みやう  かといてよし
《1739-1570》,《暦日0》,六／,かのとのい,とる,,　,神よし 大みやう ちう日  入学よし
《1739-1580》,《暦日2》,七／,みつのえね,やふる,木,入梅/八せんのはしめ,●
《1739-1590》,《暦日0》,八／,みつのとのうし,あやふ,,ま日,神よし ふく日  むきかり  つめとりよし
《1739-1600》,《暦日2》,九／,きのえとら,なる,水,　,きこ  田うへ  つめとりよし
《1739-1610》,《暦日0》,十／,きのとのう,おさん,,　,ちいみ 大くわ  ものたちよし
《1739-1620》,《暦日2》,十一／,ひのえたつ,ひらく,土,ま日,大みやう  けんふく いちたちよし
《1739-1630》,《暦日0》,十二／,ひのとのみ,とつ,,　,十し
《1739-1640》,《暦日2》,十三／,つちのえむま,たつ,火,ま日,くゑ日 下しきうの時
《1739-1650》,《暦日0》,十四／,つちのとのひつし,のそく,,　,神よし 大みやう  みそすつくり 田うへよし
《1739-1660》,《暦日2》,十五／,かのえさる,みつ,木,　,さい下しき 神よし 大みやう  入学 むきかりよし
《1739-1670》,《暦日0》,十六／,かのとのとり,たいら,,　,神よし 大みやう めつもん 地火
《1739-1680》,《暦日1》,十七／,みつのえいぬ,さたん,水,ま日,わうまう  むきかりよし
《1739-1690》,《節中》,夏至五月中ひつしの五刻日の出より日入まて,昼六十刻/夜四十刻,六より六まて,昼六十五刻/夜三十五刻
《1739-1700》,《暦日1》,十八／,みつのとのい,とる,水,八せんのおはり,ちう日 ふく日
《1739-1710》,《暦日2》,十九／,きのえね,やふる,金,　,●
《1739-1720》,《暦日0》,廿／,きのとのうし,あやふ,,　,神よし  つめとりよし
《1739-1730》,《暦日2》,廿一／,ひのえとら,なる,火,　,きこ  つめとりよし
《1739-1740》,《暦日0》,廿二／,ひのとのう,おさん,,　,ちいみ 大くわ ふく日
《1739-1750》,《暦日2》,廿三／,つちのえたつ,ひらく,木,　,五む日  かまぬり 田うへよし
《1739-1760》,《暦日0》,廿四／,つちのとのみ,とつ,,　,十し
《1739-1770》,《暦日2》,廿五／,かのえむま,たつ,土,　,下しきうの時  むきかりよし
《1739-1780》,《暦日0》,廿六／,かのとのひつし,のそく,,　,大みやう  ふねのり 井ほりよし
《1739-1790》,《暦日2》,廿七／,みつのえさる,みつ,金,はんけしやう,神よし 大みやう  くさかりよし
《1739-1800》,《暦日0》,廿八／,みつのとのとり,たいら,,　,神よし 大みやう ふく日 めつもん 地火
《1739-1810》,《暦日2》,廿九／,きのえいぬ,さたん,火,　, わたまし くらたてよし
《1739-1820》,《暦日0》,卅／,きのとのい,とる,,　,ちう日  むきかり 田うへよし
《1739-1830》,《月序》,六月,大,建,辛未,尾宿　畢　月よう
《1739-1840》,《暦日2》,一／,ひのえね,やふる,水,　,●
《1739-1850》,《暦日0》,二／,ひのとのうし,やふる,,　,十し
《1739-1860》,《節中》,小暑六月せついぬの二刻ニ入日の出より日入まて,昼五十九刻余/夜四十刻余,六より六まて,昼六十四刻余/夜三十五刻余
《1739-1870》,《暦日2》,三／,つちのえとら,あやふ,土,　,ふく日  たねまき  つめとりよし
《1739-1880》,《暦日0》,四／,つちのとのう,なる,,　,神よし 大みやう ふく日 天火 らうしやく
《1739-1890》,《暦日2》,五／,かのえたつ,おさん,金,　,きしく めつもん  けんふくよし
《1739-1900》,《暦日0》,六／,かのとのみ,ひらく,,　,ちう日  ものたちよし
《1739-1910》,《暦日2》,七／,みつのえむま,とつ,木,　,●
《1739-1920》,《暦日0》,八／,みつのとのひつし,たつ,,　, たねまきよし
《1739-1930》,《暦日2》,九／,きのえさる,のそく,水,十方くれニ入,神よし 大みやう
《1739-1940》,《暦日0》,十／,きのとのとり,みつ,,　,神よし ちいみ
《1739-1950》,《暦日2》,十一／,ひのえいぬ,たいら,土,　,五む日 大くわ 地火
《1739-1960》,《暦日0》,十二／,ひのとのい,さたん,,　,大みやう ちう日
《1739-1970》,《暦日2》,十三／,つちのえね,とる,火,　,きこ ふく日 下しきたつの時
