《0000》,# カンマ区切りテキスト形式です。
《0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《0020》,# ・表の区画内での改行は“/”で表記します。
《0030》,# ・《行番号》とその次のカラム(《暦首》など)は表成型に用いますので削除しないでください。
《1170》,《暦日0》,廿九／,ひのとのとり,さたん,,　,十し
《1180》,《暦日1》,卅／,つちのえいぬ,とる,木,　, くらたて かまぬりよし
《1190》,《月序》,四月,小,建,辛巳,斗宿　壁　水よう
《1200》,《暦日1》,一／,つちのとのい,やふる,木,　,くゑ日 ちう日
《1210》,《暦日2》,二／,かのえね,あやふ,土,　,神よし  わたまし たねまきよし
《1220》,《暦日0》,三／,かのとのうし,なる,,　,五む日 きこ  つめとりよし
《1230》,《暦日2》,四／,みつのえとら,おさん,金,　,大みやう ふく日 めつもん  つめとりよし
《1240》,《暦日0》,五／,みつのとのう,ひらく,,　,神よし  かといて さひらきよし
《1250》,《暦日1》,六／,きのえたつ,とつ,火,　,大みやう
《1260》,《節中》,小満四月中夜ねの三刻日の出より日入まて,昼五十八刻余/夜四十一刻余,六より六まて,昼六十三刻余/夜三十六刻余
《1270》,《暦日1》,七／,きのとのみ,たつ,火,　,●
《1280》,《暦日2》,八／,ひのえむま,のそく,水,　,大みやう くゑ日 ふく日
《1290》,《暦日0》,九／,ひのとのひつし,みつ,,　,くゑ日
《1300》,《暦日2》,十／,つちのえさる,たいら,土,　,神よし きしく ちいみ 大くわ 地火
《1310》,《暦日0》,十一／,つちのとのとり,さたん,,　,十し
《1320》,《暦日2》,十二／,かのえいぬ,とる,金,　,大みやう  やたて くさかりよし
《1330》,《暦日0》,十三／,かのとのい,やふる,,　,さい下しき 神よし 大みやう ちう日  さひらきよし
《1340》,《暦日2》,十四／,みつのえね,あやふ,木,八せんのはしめ,神よし ふく日  くらたてよし
《1350》,《暦日0》,十五／,みつのとのうし,なる,,ま日,きこ  つめとりよし
《1360》,《暦日2》,十六／,きのえとら,おさん,水,　,めつもん  つめとりよし
《1370》,《暦日0》,十七／,きのとのう,ひらく,,　,神よし  さひらきよし
《1380》,《暦日2》,十八／,ひのえたつ,とつ,土,ま日,大みやう ふく日
《1390》,《暦日0》,十九／,ひのとのみ,たつ,,　,●
《1400》,《暦日2》,廿／,つちのえむま,のそく,火,ま日,くゑ日
《1410》,《暦日0》,廿一／,つちのとのひつし,みつ,,　,大みやう くゑ日
《1420》,《暦日1》,廿二／,かのえさる,みつ,木,　,神よし 大みやう  入学 むきかりよし
《1430》,《節中》,芒種五月せつうの初刻ニ入日の出より日入まて,昼五十九刻余/夜四十刻余,六より六まて,昼六十四刻余/夜三十五刻余
《1440》,《暦日1》,廿三／,かのとのとり,たいら,木,　,神よし 大みやう めつもん 地火
《1450》,《暦日2》,廿四／,みつのえいぬ,さたん,水,入梅/ま日, むきかりよし
《1460》,《暦日0》,廿五／,みつのとのい,とる,,八せんのおはり,ちう日 ふく日
《1470》,《暦日2》,廿六／,きのえね,やふる,金,　,●
《1480》,《暦日0》,廿七／,きのとのうし,あやふ,,　,神よし  つめとりよし
《1490》,《暦日2》,廿八／,ひのえとら,なる,火,　,きこ  つめとりよし
《1500》,《暦日0》,廿九／,ひのとのう,おさん,,　,ちいみ 大くわ ふく日
《1510》,《月序》,五月,大,建,壬午,牛宿　奎　木よう
《1520》,《暦日2》,一／,つちのえたつ,ひらく,木,　,五む日  かまぬり 田うへよし
《1530》,《暦日0》,二／,つちのとのみ,とつ,,　,十し
《1540》,《暦日2》,三／,かのえむま,たつ,土,　,下しきうの時  むきかりよし
《1550》,《暦日0》,四／,かのとのひつし,のそく,,　,大みやう  ふねのり 井ほりよし
《1560》,《暦日2》,五／,みつのえさる,みつ,金,　,神よし 大みやう  くさかりよし
《1570》,《暦日0》,六／,みつのとのとり,たいら,,　,神よし 大みやう ふく日 めつもん 地火
《1580》,《暦日2》,七／,きのえいぬ,さたん,火,　, わたまし くらたてよし
《1590》,《暦日0》,八／,きのとのい,とる,,　,ちう日 わうまう  むきかり 田うへよし
《1600》,《節中》,夏至五月中みの五刻日の出より日入まて,昼六十刻/夜四十刻,六より六まて,昼六十五刻/夜三十五刻
《1610》,《暦日2》,九／,ひのえね,やふる,水,　,●
《1620》,《暦日0》,十／,ひのとのうし,あやふ,,　,神よし 大みやう ふく日  ものたち  つめとりよし
《1630》,《暦日2》,十一／,つちのえとら,なる,土,　,きこ  みそすつくり  つめとりよし
《1640》,《暦日0》,十二／,つちのとのう,おさん,,　,大みやう ちいみ 大くわ
《1650》,《暦日2》,十三／,かのえたつ,ひらく,金,　, けんふく かといてよし
《1660》,《暦日0》,十四／,かのとのみ,とつ,,　,十し
《1670》,《暦日2》,十五／,みつのえむま,たつ,木,　,大みやう 下しきうの時
《1680》,《暦日0》,十六／,みつのとのひつし,のそく,,　,ふく日  田うへよし
《1690》,《暦日2》,十七／,きのえさる,みつ,水,十方くれニ入,神よし 大みやう
《1700》,《暦日0》,十八／,きのとのとり,たいら,,はんけしやう,神よし めつもん 地火
《1710》,《暦日2》,十九／,ひのえいぬ,さたん,土,　,五む日  むきかりよし
《1720》,《暦日0》,廿／,ひのとのい,とる,,　,大みやう ちう日 ふく日
《1730》,《暦日2》,廿一／,つちのえね,やふる,火,　,●
《1740》,《暦日0》,廿二／,つちのとのうし,あやふ,,　, 田うへ  つめとりよし
《1750》,《暦日1》,廿三／,かのえとら,あやふ,木,　, やたて  つめとりよし
《1760》,《節中》,小暑六月せつさるの二刻ニ入日の出より日入まて,昼五十九刻余/夜四十刻余,六より六まて,昼六十四刻余/夜三十五刻余
《1770》,《暦日1》,廿四／,かのとのう,なる,木,　,神よし 天火 らうしやく
《1780》,《暦日2》,廿五／,みつのえたつ,おさん,水,　,大みやう 五む日 めつもん
《1790》,《暦日0》,廿六／,みつのとのみ,ひらく,,天一天上,ちう日  いちたちよし
《1800》,《暦日2》,廿七／,きのえむま,とつ,金,　,●
《1810》,《暦日0》,廿八／,きのとのひつし,たつ,,　,大みやう 五む日
《1820》,《暦日2》,廿九／,ひのえさる,のそく,火,　,神よし
《1830》,《暦日0》,卅／,ひのとのとり,みつ,,　,神よし ちいみ  くさかりよし
《1840》,《月序》,六月,大,建,癸未,女宿　胃　土よう
《1850》,《暦日1》,一／,つちのえいぬ,たいら,木,　,大くわ ふく日 地火
《1860》,《食記》,日そく八分,むまの七刻西の方よりかけはしめひつしの四刻甚/申の二刻東の方に終
《1870》,《暦日1》,二／,つちのとのい,さたん,木,　,ちう日 ふく日  ふねのりよし
《1880》,《暦日2》,三／,かのえね,とる,土,初伏,きこ 下しきたつの時
《1890》,《暦日0》,四／,かのとのうし,やふる,,　,十し
《1900》,《暦日2》,五／,みつのえとら,あやふ,金,とよういぬの二刻ニ入,大みやう  けんふく  つめとりよし
《1910》,《暦日0》,六／,みつのとのう,なる,,　,神よし 天火 らうしやく
《1920》,《暦日2》,七／,きのえたつ,おさん,火,　,きしく 大みやう めつもん  わたましよし
《1930》,《暦日0》,八／,きのとのみ,ひらく,,　,大みやう ちう日
《1940》,《節中》,大暑六月中いぬの七刻日の出より日入まて,昼五十八刻余/夜四十一刻余,六より六まて,昼六十三刻余/夜三十六刻余
《1950》,《暦日2》,九／,ひのえむま,とつ,水,　,●
《1960》,《暦日0》,十／,ひのとのひつし,たつ,,　,くゑ日
《1970》,《暦日2》,十一／,つちのえさる,のそく,土,　,神よし ふく日  たねまきよし
《1980》,《暦日0》,十二／,つちのとのとり,みつ,,　,神よし 大みやう ちいみ ふく日
《1990》,《暦日2》,十三／,かのえいぬ,たいら,金,中伏,大みやう 大くわ 地火
《2000》,《暦日0》,十四／,かのとのい,さたん,,　,さい下しき 大みやう ちう日
《2010》,《暦日1》,十五／,みつのえね,とる,木,八せんのはしめ,きこ 下しきたつの時
《2020》,《食記》,月そく三分
《2030》,《暦日1》,十六／,みつのとのうし,やふる,木,ま日,十し
《2040》,《暦日2》,十七／,きのえとら,あやふ,水,　, やたて  つめとりよし
《2050》,《暦日0》,十八／,きのとのう,なる,,　,神よし 天火 らうしやく
《2060》,《暦日2》,十九／,ひのえたつ,おさん,土,ま日,大みやう めつもん  けんふくよし
《2070》,《暦日0》,廿／,ひのとのみ,ひらく,,　,くゑ日 ちう日
《2080》,《暦日2》,廿一／,つちのえむま,とつ,火,ま日,●
《2090》,《暦日0》,廿二／,つちのとのひつし,たつ,,　,大みやう くゑ日 ふく日
《2100》,《暦日2》,廿三／,かのえさる,のそく,木,　,神よし 大みやう  くさかりよし
《2110》,《暦日0》,廿四／,かのとのとり,のそく,,　,十し
《2120》,《節中》,立秋七月せつうしの四刻ニ入日の出より日入まて,昼五十七刻余/夜四十二刻余,六より六まて,昼六十二刻余/夜三十七刻余
《2130》,《暦日2》,廿五／,みつのえいぬ,みつ,水,ま日
《2140》,《暦日0》,廿六／,みつのとのい,たいら,,八せんのおはり,ちう日 めつもん 地火
《2150》,《暦日2》,廿七／,きのえね,さたん,金,　,ふく日  ふねのりよし
《2160》,《暦日0》,廿八／,きのとのうし,とる,,　,●
《2170》,《暦日2》,廿九／,ひのえとら,やふる,火,　, けんふく  つめとりよし
《2180》,《暦日0》,卅／,ひのとのう,あやふ,,　,神よし  わたましよし
《2190》,《月序》,七月,小,建,甲申,虛宿　畢　月よう
《2200》,《暦日2》,一／,つちのえたつ,なる,木,　,五む日 ちいみ  いちたちよし
《2210》,《暦日0》,二／,つちのとのみ,おさん,,　,大くわ ちう日 わうまう
