《1726-0000》,# カンマ区切りテキスト形式です。
《1726-1760》,《暦日2》,一／,みつのえいぬ,さたん,水,ま日, むきかりよし
《1726-1770》,《暦日0》,二／,みつのとのい,とる,,八せんのおはり,ちう日 ふく日
《1726-1780》,《暦日2》,三／,きのえね,やふる,金,はんけしやう,●
《1726-1790》,《暦日0》,四／,きのとのうし,あやふ,,　,神よし  つめとりよし
《1726-1800》,《暦日2》,五／,ひのえとら,なる,火,　,きこ  つめとりよし
《1726-1810》,《暦日0》,六／,ひのとのう,おさん,,　,ちいみ 大くわ ふく日
《1726-1820》,《暦日2》,七／,つちのえたつ,ひらく,木,　,五む日  かまぬり 田うへよし
《1726-1830》,《暦日0》,八／,つちのとのみ,ひらく,,六月せつさるの五刻ニ入,くゑ日 ちう日 ふく日
《1726-1840》,《暦日2》,九／,かのえむま,とつ,土,　,●
《1726-1850》,《暦日0》,十／,かのとのひつし,たつ,,　,大みやう  かといて ふねのりよし
《1726-1860》,《暦日2》,十一／,みつのえさる,のそく,金,　,神よし 大みやう  くさかりよし
《1726-1870》,《暦日0》,十二／,みつのとのとり,みつ,,　,神よし 大みやう ちいみ  みそすつくりよし
《1726-1880》,《暦日2》,十三／,きのえいぬ,たいら,火,　,大くわ 地火  わたましよし
《1726-1890》,《暦日0》,十四／,きのとのい,さたん,,　,ちう日
《1726-1900》,《暦日2》,十五／,ひのえね,とる,水,　,きこ 下しきたつの時
《1726-1910》,《暦日0》,十六／,ひのとのうし,やふる,,　,十し
《1726-1920》,《暦日2》,十七／,つちのえとら,あやふ,土,　,ふく日  たねまき  つめとりよし
《1726-1930》,《暦日0》,十八／,つちのとのう,なる,,　,神よし 大みやう ふく日 天火 らうしやく
《1726-1940》,《暦日2》,十九／,かのえたつ,おさん,金,初伏,めつもん  けんふくよし
《1726-1950》,《暦日0》,廿／,かのとのみ,ひらく,,とよういぬの六刻ニ入,ちう日  ものたちよし
《1726-1960》,《暦日2》,廿一／,みつのえむま,とつ,木,　,●
《1726-1970》,《暦日0》,廿二／,みつのとのひつし,たつ,,　, たねまきよし
《1726-1980》,《暦日2》,廿三／,きのえさる,のそく,水,六月中いの二刻/十方くれニ入,神よし 大みやう
《1726-1990》,《暦日0》,廿四／,きのとのとり,みつ,,　,神よし ちいみ
