«1818-0000»,【 カンマ区切りテキスト形式です。】
«1818-0010»,【 ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。】
«1818-0020»,【 ・表の区画内での改行は“|”で表記します。】
«1818-0030»,【 ・«行番号»とその次のカラム(«暦首»など)は表成型に用いますので削除しないでください。】
«1818-0040»,【 ・カンマ","を追加・削除すると、その行が表成型できない場合があります。】
«1818-0050»,【 外部リンク　】
«1818-0060»,【 ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546786/56 ～ 61】
«1818-0070»,【 ・hosi.org　 : http://hosi.org:3000/Note/1818h　(翻刻編集終了データを表成型して表示します)】
«1818-0080»,【 　　　　　　 　http://hosi.org:3000/Note/1818ht (翻刻編集中データを表成型して表示します)】
«1818-0090»,【 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png 】
«1818-0100»,«版元»,出版地○○,出版元□□□,　
«1818-2050»,«暦日0»,十九〳,きのとのとり,みつ,,　,神よし ちいみ
«1818-2060»,«暦日2»,廿〳,ひのえいぬ,たいら,土,　,五む日 大くわ 地火
«1818-2070»,«暦日0»,廿一〳,ひのとのい,さたん,,　,大みやう ちう日
«1818-2080»,«節中»,大暑六月中うの五刻日の出より日入まて,昼五十八刻余|夜四十一刻半余,六より六まて,昼六十四刻|夜三十六刻
«1818-2090»,«暦日2»,廿二〳,つちのえね,とる,火,　,きしく きこ ふく日 下しきたつの時
«1818-2100»,«暦日0»,廿三〳,つちのとのうし,やふる,,　,十し
«1818-2110»,«暦日2»,廿四〳,かのえとら,あやふ,木,中伏,母倉  やたて  つめとりよし
«1818-2120»,«暦日0»,廿五〳,かのとのう,なる,,　,神よし 母倉 天火 らうしやく
«1818-2130»,«暦日2»,廿六〳,みつのえたつ,おさん,水,　,大みやう 五む日 めつもん
«1818-2140»,«暦日0»,廿七〳,みつのとのみ,ひらく,,天一天上,母倉 ちう日  いちたちよし
«1818-2150»,«暦日2»,廿八〳,きのえむま,とつ,金,　,●
«1818-2160»,«暦日0»,廿九〳,きのとのひつし,たつ,,　,大みやう 五む日 わうまう
«1818-2170»,«暦日1»,卅〳,ひのえさる,のそく,火,　,神よし
«1818-2180»,«月序»,七月,大,建,庚申,氐宿　房　日よう
«1818-2190»,«暦日1»,一〳,ひのとのとり,みつ,火,　,神よし ちいみ  くさかりよし
«1818-2200»,«暦日2»,二〳,つちのえいぬ,たいら,木,　,大くわ ふく日 地火
«1818-2210»,«暦日0»,三〳,つちのとのい,さたん,,　,月とく ちう日 ふく日  ふねのりよし
«1818-2220»,«暦日2»,四〳,かのえね,とる,土,　,きこ 下しきたつの時
«1818-2230»,«暦日0»,五〳,かのとのうし,やふる,,　,十し
«1818-2240»,«暦日1»,六〳,みつのえとら,やふる,金,　,大みやう 月とく  やたて  つめとりよし
«1818-2250»,«節中»,立秋七月せつむまの一刻ニ入日の出より日入まて,昼五十六刻半余|夜四十三刻余,六より六まて,昼六十二刻余|夜三十七刻半余
«1818-2260»,«暦日1»,七〳,みつのとのう,あやふ,金,　,神よし  わたまし みそすつくりよし
«1818-2270»,«暦日2»,八〳,きのえたつ,なる,火,　,大みやう くゑ日 ちいみ ふく日
«1818-2280»,«暦日0»,九〳,きのとのみ,おさん,,　,神よし 大みやう 大くわ ちう日  けんふくよし
«1818-2290»,«暦日2»,十〳,ひのえむま,ひらく,水,　,神よし 大みやう 天火 らうしやく  かといてよし
«1818-2300»,«暦日0»,十一〳,ひのとのひつし,とつ,,　,神よし 母倉 月とく  いちたちよし
«1818-2310»,«暦日2»,十二〳,つちのえさる,たつ,土,　,天しや よろつよし
«1818-2320»,«暦日0»,十三〳,つちのとのとり,のそく,,　,十し
«1818-2330»,«暦日2»,十四〳,かのえいぬ,みつ,金,末伏,大みやう 天おん 母倉 ふく日 わうまう
«1818-2340»,«暦日0»,十五〳,かのとのい,たいら,,　,神よし 大みやう 天おん ちう日 めつもん 地火
«1818-2350»,«暦日2»,十六〳,みつのえね,さたん,木,八せんのはしめ,神よし 天おん 月とく  くらたてよし
«1818-2360»,«暦日0»,十七〳,みつのとのうし,とる,,ま日,●
«1818-2370»,«暦日2»,十八〳,きのえとら,やふる,水,　,ふく日  かといて  つめとりよし
«1818-2380»,«暦日0»,十九〳,きのとのう,あやふ,,　,神よし  くらたて かまぬりよし
«1818-2390»,«暦日2»,廿〳,ひのえたつ,なる,土,ま日,きしく 大みやう 母倉 ちいみ  くさかりよし
«1818-2400»,«暦日0»,廿一〳,ひのとのみ,おさん,,　,月とく 大くわ ちう日  ものたちよし
«1818-2410»,«節中»,処暑七月中さるの七刻日の出より日入まて,昼五十四刻半余|夜四十五刻余,六より六まて,昼六十刻|夜四十刻
