«1772-0000»,【 カンマ区切りテキスト形式です。】
«1772-0010»,【 ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。】
«1772-0020»,【 ・表の区画内での改行は“|”で表記します。】
«1772-0030»,【 ・«行番号»とその次のカラム(«暦首»など)は表成型に用いますので削除しないでください。】
«1772-0040»,【 ・カンマ","を追加・削除すると、その行が表成型できない場合があります。】
«1772-0050»,【 外部リンク　】
«1772-0060»,【 ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546785/130 ～ 134】
«1772-0070»,【 ・hosi.org　 : http://hosi.org:3000/Note/1772h　(翻刻編集終了データを表成型して表示します)】
«1772-0080»,【 　　　　　　 　http://hosi.org:3000/Note/1772ht (翻刻編集中データを表成型して表示します)】
«1772-0090»,【 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png 】
«1772-0100»,«版元»,出版地○○,出版元□□□,　
«1772-1320»,«暦日2»,十一〳,ひのえね,あやふ,水,　,ふく日 わうまう  さひらきよし
«1772-1330»,«暦日0»,十二〳,ひのとのうし,なる,,　,大みやう きこ  ものたち  つめとりよし
«1772-1340»,«暦日2»,十三〳,つちのえとら,おさん,土,　,母倉 めつもん  たねまき  つめとりよし
«1772-1350»,«暦日0»,十四〳,つちのとのう,ひらく,,　,神よし 大みやう 天おん 母倉  入学よし
«1772-1360»,«暦日2»,十五〳,かのえたつ,とつ,金,　,天おん 月とく  けんふくよし
«1772-1370»,«暦日0»,十六〳,かのとのみ,たつ,,　,●
«1772-1380»,«暦日2»,十七〳,みつのえむま,のそく,木,　,神よし 大みやう 天おん ふく日
«1772-1390»,«暦日0»,十八〳,みつのとのひつし,みつ,,　,くゑ日
«1772-1400»,«暦日2»,十九〳,きのえさる,たいら,水,十方くれニ入,神よし 大みやう ちいみ 大くわ 地火
«1772-1410»,«暦日0»,廿〳,きのとのとり,さたん,,　,十し
«1772-1420»,«節中»,小満四月中うの一刻日の出より日入まて,昼五十八刻余|夜四十一刻余,六より六まて,昼六十三刻余|夜三十六刻余
«1772-1430»,«暦日2»,廿一〳,ひのえいぬ,とる,土,　,五む日 ふく日  くさかりよし
«1772-1440»,«暦日0»,廿二〳,ひのとのい,やふる,,　,大みやう ちう日
«1772-1450»,«暦日2»,廿三〳,つちのえね,あやふ,火,　, けんふくよし
«1772-1460»,«暦日0»,廿四〳,つちのとのうし,なる,,　,きこ  つめとりよし
«1772-1470»,«暦日2»,廿五〳,かのえとら,おさん,木,　,母倉 月とく めつもん  さひらき  つめとりよし
«1772-1480»,«暦日0»,廿六〳,かのとのう,ひらく,,　,神よし 母倉  やたて ものたちよし
«1772-1490»,«暦日2»,廿七〳,みつのえたつ,とつ,水,　,きしく 大みやう 五む日 ふく日
«1772-1500»,«暦日0»,廿八〳,みつのとのみ,たつ,,天一天上,●
«1772-1510»,«暦日1»,廿九〳,きのえむま,のそく,金,　,天しや よろつよし
«1772-1520»,«月序»,五月,大,建,丙午,牛宿　張　月よう
«1772-1530»,«暦日1»,一〳,きのとのひつし,みつ,金,　,大みやう 五む日 くゑ日
«1772-1540»,«暦日2»,二〳,ひのえさる,たいら,火,　,神よし ちいみ 大くわ ふく日 地火  入学よし
«1772-1550»,«暦日0»,三〳,ひのとのとり,さたん,,　,十し
«1772-1560»,«暦日2»,四〳,つちのえいぬ,とる,木,　, くらたて かまぬりよし
«1772-1570»,«暦日0»,五〳,つちのとのい,やふる,,　,くゑ日 ちう日
«1772-1580»,«暦日1»,六〳,かのえね,やふる,土,　,●
«1772-1590»,«節中»,芒種五月せつみの六刻ニ入日の出より日入まて,昼五十九刻余|夜四十刻余,六より六まて,昼六十四刻余|夜三十五刻余
«1772-1600»,«暦日1»,七〳,かのとのうし,あやふ,土,　,神よし 月とく 五む日  つめとりよし
«1772-1610»,«暦日2»,八〳,みつのえとら,なる,金,入梅,大みやう 母倉 きこ  くさかり  つめとりよし
«1772-1620»,«暦日0»,九〳,みつのとのう,おさん,,　,母倉 ちいみ 大くわ ふく日
«1772-1630»,«暦日2»,十〳,きのえたつ,ひらく,火,　,大みやう  むきかり 田うへよし
«1772-1640»,«暦日0»,十一〳,きのとのみ,とつ,,　,十し
«1772-1650»,«暦日2»,十二〳,ひのえむま,たつ,水,　,大みやう くゑ日 下しきうの時
