《0000》,# カンマ区切りテキスト形式です。
《0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《0020》,# ・表の区画内での改行は“/”で表記します。
《2050》,《暦日0》,廿／,みつのとのひつし,たつ,,　, たねまきよし
《2060》,《暦日2》,廿一／,きのえさる,のそく,水,十方くれニ入,神よし 大みやう
《2070》,《暦日0》,廿二／,きのとのとり,みつ,,　,ちいみ わうまう
《2080》,《暦日2》,廿三／,ひのえいぬ,たいら,土,　,五む日 大くわ 地火
《2090》,《暦日0》,廿四／,ひのとのい,さたん,,　,大みやう ちう日
《2100》,《暦日2》,廿五／,つちのえね,とる,火,　,きこ ふく日 下しきたつの時
《2110》,《暦日0》,廿六／,つちのとのうし,やふる,,　,十し
《2120》,《暦日2》,廿七／,かのえとら,あやふ,木,　, やたて  つめとりよし
《2130》,《暦日0》,廿八／,かのとのう,なる,,　,神よし 天火 らうしやく
《2140》,《暦日1》,廿九／,みつのえたつ,なる,水,　,大みやう 五む日 ちいみ
《2150》,《節中》,立秋七月せつむまの七刻ニ入日の出より日入まて,昼五十七刻余/夜四十二刻余,六より六まて,昼六十二刻余/夜三十七刻余
《2160》,《月序》,七月,小,建,丙申,翼宿　觜　火よう
《2170》,《暦日1》,一／,みつのとのみ,おさん,水,天一天上,大くわ ちう日  たねまきよし
《2180》,《暦日2》,二／,きのえむま,ひらく,金,　,神よし ふく日 天火 らうしやく  かといてよし
《2190》,《暦日0》,三／,きのとのひつし,とつ,,　,大みやう 五む日
《2200》,《暦日2》,四／,ひのえさる,たつ,火,　,神よし きしく 下しきみの時  入学よし
《2210》,《暦日0》,五／,ひのとのとり,のそく,,　,十し
《2220》,《暦日2》,六／,つちのえいぬ,みつ,木,　, くらたて かまぬりよし
《2230》,《暦日0》,七／,つちのとのい,たいら,,　,神よし ちう日 めつもん 地火
《2240》,《暦日2》,八／,かのえね,さたん,土,末伏,ふく日 わうまう
《2250》,《暦日0》,九／,かのとのうし,とる,,　,●
《2260》,《暦日2》,十／,みつのえとら,やふる,金,　,大みやう  やたて  つめとりよし
《2270》,《暦日0》,十一／,みつのとのう,あやふ,,　,神よし  わたまし みそすつくりよし
《2280》,《暦日2》,十二／,きのえたつ,なる,火,　,大みやう くゑ日 ちいみ ふく日
《2290》,《暦日0》,十三／,きのとのみ,おさん,,　,神よし 大みやう 大くわ ちう日  けんふくよし
《2300》,《暦日2》,十四／,ひのえむま,ひらく,水,　,神よし 大みやう 天火 らうしやく  かといてよし
《2310》,《暦日0》,十五／,ひのとのひつし,とつ,,　,神よし  いちたちよし
《2320》,《節中》,処暑七月中とりの四刻日の出より日入まて,昼五十五刻余/夜四十四刻余,六より六まて,昼六十刻余/夜三十九刻余
《2330》,《暦日2》,十六／,つちのえさる,たつ,土,　,天しや よろつよし
《2340》,《暦日0》,十七／,つちのとのとり,のそく,,　,十し
《2350》,《暦日2》,十八／,かのえいぬ,みつ,金,　,大みやう ふく日
《2360》,《暦日0》,十九／,かのとのい,たいら,,　,神よし 大みやう ちう日 めつもん 地火
《2370》,《暦日2》,廿／,みつのえね,さたん,木,八せんのはしめ,神よし  くらたてよし
《2380》,《暦日0》,廿一／,みつのとのうし,とる,,ま日,●
