«1753-0000»,【 カンマ区切りテキスト形式です。】
«1753-0010»,【 ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。】
«1753-0020»,【 ・表の区画内での改行は“|”で表記します。】
«1753-0030»,【 ・«行番号»とその次のカラム(«暦首»など)は表成型に用いますので削除しないでください。】
«1753-0040»,【 ・カンマ","を追加・削除すると、その行が表成型できない場合があります。】
«1753-0050»,【 外部リンク　】
«1753-0060»,【 ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546785/38 ～ 43】
«1753-0070»,【 ・hosi.org　 : http://hosi.org:3000/Note/1753h　(翻刻編集終了データを表成型して表示します)】
«1753-0080»,【 　　　　　　 　http://hosi.org:3000/Note/1753ht (翻刻編集中データを表成型して表示します)】
«1753-0090»,【 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png 】
«1753-0100»,«版元»,出版地○○,出版元□□□,　
«1753-1480»,«暦日0»,廿六〳,かのとのい,やふる,,　,神よし 大みやう ちう日  さひらきよし
«1753-1490»,«暦日2»,廿七〳,みつのえね,あやふ,木,八せんのはしめ,神よし ふく日  くらたてよし
«1753-1500»,«暦日0»,廿八〳,みつのとのうし,なる,,ま日,きこ  つめとりよし
«1753-1510»,«暦日2»,廿九〳,きのえとら,おさん,水,　,めつもん  つめとりよし
«1753-1520»,«暦日0»,卅〳,きのとのう,ひらく,,　,神よし  さひらきよし
«1753-1530»,«月序»,五月,小,建,戊午,心宿　氐　土よう
«1753-1540»,«暦日2»,一〳,ひのえたつ,とつ,土,ま日,大みやう ふく日
«1753-1550»,«暦日0»,二〳,ひのとのみ,たつ,,　,●
«1753-1560»,«暦日2»,三〳,つちのえむま,のそく,火,ま日,くゑ日
«1753-1570»,«暦日0»,四〳,つちのとのひつし,みつ,,　,大みやう くゑ日
«1753-1580»,«暦日1»,五〳,かのえさる,みつ,木,　,神よし 大みやう  入学 むきかりよし
«1753-1590»,«節中»,芒種五月せつねの二刻ニ入日の出より日入まて,昼五十九刻余|夜四十刻余,六より六まて,昼六十四刻余|夜三十五刻余
«1753-1600»,«暦日1»,六〳,かのとのとり,たいら,木,　,神よし 大みやう めつもん 地火
«1753-1610»,«暦日2»,七〳,みつのえいぬ,さたん,水,入梅|ま日, むきかりよし
«1753-1620»,«暦日0»,八〳,みつのとのい,とる,,八せんのおはり,ちう日 ふく日
«1753-1630»,«暦日2»,九〳,きのえね,やふる,金,　,●
«1753-1640»,«暦日0»,十〳,きのとのうし,あやふ,,　,神よし  つめとりよし
«1753-1650»,«暦日2»,十一〳,ひのえとら,なる,火,　,きこ  つめとりよし
«1753-1660»,«暦日0»,十二〳,ひのとのう,おさん,,　,ちいみ 大くわ ふく日
«1753-1670»,«暦日2»,十三〳,つちのえたつ,ひらく,木,　,五む日  かまぬり 田うへよし
«1753-1680»,«暦日0»,十四〳,つちのとのみ,とつ,,　,十し
«1753-1690»,«暦日2»,十五〳,かのえむま,たつ,土,　,下しきうの時  むきかりよし
«1753-1700»,«暦日0»,十六〳,かのとのひつし,のそく,,　,大みやう  ふねのり 井ほりよし
«1753-1710»,«暦日2»,十七〳,みつのえさる,みつ,金,　,神よし 大みやう  くさかりよし
«1753-1720»,«暦日0»,十八〳,みつのとのとり,たいら,,　,神よし 大みやう ふく日 めつもん 地火
«1753-1730»,«暦日2»,十九〳,きのえいぬ,さたん,火,　, わたまし くらたてよし
«1753-1740»,«暦日0»,廿〳,きのとのい,とる,,　,ちう日 わうまう  むきかり 田うへよし
«1753-1750»,«暦日1»,廿一〳,ひのえね,やふる,水,　,●
«1753-1760»,«節中»,夏至五月中とらの七刻日の出より日入まて,昼六十刻|夜四十刻,六より六まて,昼六十五刻|夜三十五刻
«1753-1770»,«暦日1»,廿二〳,ひのとのうし,あやふ,水,　,神よし 大みやう ふく日  ものたち  つめとりよし
«1753-1780»,«暦日2»,廿三〳,つちのえとら,なる,土,　,きこ  みそすつくり  つめとりよし
«1753-1790»,«暦日0»,廿四〳,つちのとのう,おさん,,　,大みやう ちいみ 大くわ
«1753-1800»,«暦日2»,廿五〳,かのえたつ,ひらく,金,　, けんふく かといてよし
«1753-1810»,«暦日0»,廿六〳,かのとのみ,とつ,,　,十し
«1753-1820»,«暦日2»,廿七〳,みつのえむま,たつ,木,　,大みやう 下しきうの時
«1753-1830»,«暦日0»,廿八〳,みつのとのひつし,のそく,,　,ふく日  田うへよし
«1753-1840»,«暦日1»,廿九〳,きのえさる,みつ,水,十方くれニ入,神よし 大みやう
«1753-1850»,«月序»,六月,小,建,己未,尾宿　房　日よう
«1753-1860»,«暦日1»,一〳,きのとのとり,たいら,水,　,神よし めつもん 地火
