《0000》,# カンマ区切りテキスト形式です。
《0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《0020》,# ・表の区画内での改行は“/”で表記します。
《2660》,《暦日2》,十五／,みつのえさる,たつ,金,二百十日,神よし 大みやう 月とく 下しきみの時
《2670》,《暦日0》,十六／,みつのとのとり,のそく,,　,十し
《2680》,《暦日2》,十七／,きのえいぬ,みつ,火,　,母倉 ふく日  くらたてよし
《2690》,《暦日0》,十八／,きのとのい,たいら,,　,ちう日 めつもん 地火
《2700》,《暦日1》,十九／,ひのえね,たいら,水,　,大くわ 地火
《2710》,《節中》,白露八月せつ今夜ねの三刻ニ入日の出より日入まて,昼五十二刻余/夜四十七刻余,六より六まて,昼五十七刻余/夜四十二刻余
《2720》,《暦日1》,廿／,ひのとのうし,さたん,水,　,神よし 大みやう 母倉  ものたち  つめとりよし
《2730》,《暦日2》,廿一／,つちのえとら,とる,土,　,きこ  田かり  つめとりよし
《2740》,《暦日0》,廿二／,つちのとのう,やふる,,　,大みやう 天おん
《2750》,《暦日2》,廿三／,かのえたつ,あやふ,金,　,天おん 母倉 月とく
《2760》,《暦日0》,廿四／,かのとのみ,なる,,　,十し
《2770》,《暦日2》,廿五／,みつのえむま,おさん,木,二百廿日,大みやう 天おん めつもん
《2780》,《暦日0》,廿六／,みつのとのひつし,ひらく,,　,●
《2790》,《暦日2》,廿七／,きのえさる,とつ,水,十方くれニ入,神よし 大みやう  竹木こり 田かりよし
《2800》,《暦日0》,廿八／,きのとのとり,たつ,,　,月とく ふく日 天火 らうしやく 下しきむまの時
《2810》,《暦日2》,廿九／,ひのえいぬ,のそく,土,　,母倉 五む日 ちいみ
《2820》,《暦日0》,卅／,ひのとのい,みつ,,　,大みやう ちう日  入学よし
《2830》,《月序》,八月,小,建,辛酉,柳宿　鬼　金よう
《2840》,《暦日2》,一／,つちのえね,たいら,火,社日,きしく 大くわ 地火
《2850》,《暦日0》,二／,つちのとのうし,さたん,,　,母倉  かまぬり  つめとりよし
《2860》,《暦日2》,三／,かのえとら,とる,木,　,月とく きこ  つめとりよし
《2870》,《暦日0》,四／,かのとのう,やふる,,ひかんニなる,ふく日  田かりよし
《2880》,《暦日1》,五／,みつのえたつ,あやふ,水,　,大みやう 母倉 五む日
