«1774-0000»,【 カンマ区切りテキスト形式です。】
«1774-2080»,«暦日0»,廿三〳,きのとのみ,ひらく,,　,大みやう 母倉 ちう日
«1774-2090»,«暦日2»,廿四〳,ひのえむま,とつ,水,　,●
«1774-2100»,«暦日0»,廿五〳,ひのとのひつし,たつ,,　,さい下しき くゑ日
«1774-2110»,«暦日2»,廿六〳,つちのえさる,のそく,土,　,神よし ふく日  たねまきよし
«1774-2120»,«暦日0»,廿七〳,つちのとのとり,みつ,,　,神よし 大みやう 天おん 月とく ちいみ ふく日
«1774-2130»,«暦日2»,廿八〳,かのえいぬ,たいら,金,　,大みやう 天おん 大くわ 地火
«1774-2140»,«暦日0»,廿九〳,かのとのい,たいら,,　,神よし 大みやう 天おん ちう日 めつもん 地火
«1774-2150»,«節中»,立秋七月せつとりの八刻ニ入日の出より日入まて,昼五十七刻余|夜四十二刻余,六より六まて,昼六十二刻余|夜三十七刻余
«1774-2160»,«月序»,七月,大,建,壬申,箕宿　虛　日よう
«1774-2170»,«暦日2»,一〳,みつのえね,さたん,木,八せんのはしめ,神よし 天おん 月とく  くらたてよし
«1774-2180»,«暦日0»,二〳,みつのとのうし,とる,,ま日,●
«1774-2190»,«暦日2»,三〳,きのえとら,やふる,水,　,ふく日  かといて  つめとりよし
«1774-2200»,«暦日0»,四〳,きのとのう,あやふ,,　,神よし  くらたて かまぬりよし
«1774-2210»,«暦日2»,五〳,ひのえたつ,なる,土,ま日,大みやう 母倉 ちいみ  くさかりよし
«1774-2220»,«暦日0»,六〳,ひのとのみ,おさん,,　,月とく 大くわ ちう日  ものたちよし
«1774-2230»,«暦日2»,七〳,つちのえむま,ひらく,火,ま日,神よし 天火 らうしやく  入学よし
«1774-2240»,«暦日0»,八〳,つちのとのひつし,とつ,,　,大みやう 母倉 わうまう  みそすつくりよし
«1774-2250»,«暦日2»,九〳,かのえさる,たつ,木,末伏,大みやう くゑ日 ふく日 下しきみの時
«1774-2260»,«暦日0»,十〳,かのとのとり,のそく,,　,十し
«1774-2270»,«暦日2»,十一〳,みつのえいぬ,みつ,水,ま日,母倉 月とく
«1774-2280»,«暦日0»,十二〳,みつのとのい,たいら,,八せんのおはり,ちう日 めつもん 地火
«1774-2290»,«暦日2»,十三〳,きのえね,さたん,金,　,きしく 天おん ふく日  ふねのりよし
«1774-2300»,«暦日0»,十四〳,きのとのうし,とる,,　,●
«1774-2310»,«暦日2»,十五〳,ひのえとら,やふる,火,　,天おん  けんふく  つめとりよし
