«1688-0000»,【 カンマ区切りテキスト形式です。】
«1688-0010»,【 ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。】
«1688-1570»,«暦日2»,十三〳,きのえさる,みつ,水,十方くれニ入,神よし 大みやう
«1688-1580»,«暦日0»,十四〳,きのとのとり,たいら,,　,神よし めつもん 地火
«1688-1590»,«暦日2»,十五〳,ひのえいぬ,さたん,土,　,五む日  むきかりよし
«1688-1600»,«暦日0»,十六〳,ひのとのい,とる,,　,大みやう ちう日 ふく日
«1688-1610»,«暦日2»,十七〳,つちのえね,やふる,火,　,●
«1688-1620»,«暦日0»,十八〳,つちのとのうし,あやふ,,　, 田うへ  つめとりよし
«1688-1630»,«暦日2»,十九〳,かのえとら,なる,木,　,きこ  井ほり  つめとりよし
«1688-1640»,«暦日0»,廿〳,かのとのう,おさん,,　,ちいみ 大くわ  ものたちよし
«1688-1650»,«暦日2»,廿一〳,みつのえたつ,ひらく,水,　,きしく 大みやう 五む日
«1688-1660»,«暦日0»,廿二〳,みつのとのみ,とつ,,天一天上,十し
«1688-1670»,«暦日2»,廿三〳,きのえむま,たつ,金,　,天しや よろつよし
«1688-1680»,«暦日0»,廿四〳,きのとのひつし,のそく,,夏至五月中うの六刻,大みやう 五む日 わうまう  むきかりよし
«1688-1690»,«暦日2»,廿五〳,ひのえさる,みつ,火,　,神よし  入学 いちたちよし
«1688-1700»,«暦日0»,廿六〳,ひのとのとり,たいら,,　,神よし ふく日 めつもん 地火
«1688-1710»,«暦日2»,廿七〳,つちのえいぬ,さたん,木,　, かまぬり 田うへよし
«1688-1720»,«暦日0»,廿八〳,つちのとのい,とる,,　,神よし ちう日
«1688-1730»,«暦日2»,廿九〳,かのえね,やふる,土,　,●
«1688-1740»,«暦日0»,卅〳,かのとのうし,あやふ,,　,神よし 五む日  つめとりよし
«1688-1750»,«月序»,六月,小,建,己未,女宿　心　月よう
«1688-1760»,«暦日2»,一〳,みつのえとら,なる,金,　,大みやう きこ  くさかり  つめとりよし
«1688-1770»,«暦日0»,二〳,みつのとのう,おさん,,　,ちいみ 大くわ ふく日
«1688-1780»,«暦日2»,三〳,きのえたつ,ひらく,火,　,大みやう  むきかり 田うへよし
«1688-1790»,«暦日0»,四〳,きのとのみ,とつ,,はんけしやう,十し
«1688-1800»,«暦日2»,五〳,ひのえむま,たつ,水,　,大みやう くゑ日 下しきうの時
«1688-1810»,«暦日0»,六〳,ひのとのひつし,のそく,,　,神よし ふく日
«1688-1820»,«暦日2»,七〳,つちのえさる,みつ,土,　,神よし  入学よし
«1688-1830»,«暦日0»,八〳,つちのとのとり,たいら,,　,神よし 大みやう めつもん 地火
«1688-1840»,«暦日2»,九〳,かのえいぬ,たいら,金,六月せつむまの三刻ニ入,大みやう 大くわ 地火
«1688-1850»,«暦日0»,十〳,かのとのい,さたん,,　,大みやう ちう日
«1688-1860»,«暦日2»,十一〳,みつのえね,とる,木,八せんのはしめ,きこ 下しきたつの時
«1688-1870»,«暦日0»,十二〳,みつのとのうし,やふる,,ま日,十し
