《0000》,# カンマ区切りテキスト形式です。
《0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《0020》,# ・表の区画内での改行は“/”で表記します。
《0030》,# ・《行番号》とその次のカラム(《暦首》など)は表成型に用いますので削除しないでください。
《0040》,# ・カンマ","を追加・削除すると、その行が表成型できない場合があります。
《0050》,# 外部リンク
《0060》,# ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546785/145 ～ 150
《0070》,# ・hosi.org　 : http://hosi.org:3000/Note/1775g　(GitHub上データを表成型)
《0080》,# 　　　　　　 　http://hosi.org:3000/Note/1775h　(翻刻編集データを表成型 - 未実装)
《0090》,# 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png
《0100》,《版元》,出版地○○,出版元□□□,　
《1460》,《暦日1》,廿四／,かのとのうし,なる,土,　,五む日 きこ  つめとりよし
《1470》,《暦日2》,廿五／,みつのえとら,おさん,金,　,大みやう 母倉 ふく日 めつもん  つめとりよし
《1480》,《暦日0》,廿六／,みつのとのう,ひらく,,　,神よし 母倉  かといて さひらきよし
《1490》,《暦日2》,廿七／,きのえたつ,とつ,火,　,きしく 大みやう
《1500》,《暦日0》,廿八／,きのとのみ,たつ,,　,●
《1510》,《暦日1》,廿九／,ひのえむま,のそく,水,　,大みやう くゑ日 ふく日
《1520》,《月序》,五月,大,建,壬午,胃宿　張　月よう
《1530》,《暦日1》,一／,ひのとのひつし,みつ,水,　,くゑ日
《1540》,《暦日2》,二／,つちのえさる,たいら,土,　,神よし ちいみ 大くわ 地火
《1550》,《暦日0》,三／,つちのとのとり,さたん,,　,十し
《1560》,《暦日2》,四／,かのえいぬ,とる,金,　,大みやう 天おん 月とく  やたて くさかりよし
《1570》,《暦日0》,五／,かのとのい,やふる,,　,神よし 大みやう 天おん ちう日  さひらきよし
《1580》,《暦日2》,六／,みつのえね,あやふ,木,八せんのはしめ,神よし 天おん ふく日  くらたてよし
《1590》,《暦日0》,七／,みつのとのうし,なる,,ま日,天おん きこ  つめとりよし
《1600》,《暦日2》,八／,きのえとら,おさん,水,　,母倉 めつもん  つめとりよし
《1610》,《暦日0》,九／,きのとのう,ひらく,,　,神よし 母倉 月とく  さひらきよし
《1620》,《暦日1》,十／,ひのえたつ,ひらく,土,ま日,大みやう 月とく  けんふく いちたちよし
《1630》,《節中》,芒種五月せつ今暁とらの三刻ニ入日の出より日入まて,昼五十九刻余/夜四十刻余,六より六まて,昼六十四刻余/夜三十五刻余
《1640》,《暦日1》,十一／,ひのとのみ,とつ,土,　,十し
《1650》,《暦日2》,十二／,つちのえむま,たつ,火,ま日,くゑ日 下しきうの時
《1660》,《暦日0》,十三／,つちのとのひつし,のそく,,　,神よし 大みやう  みそすつくり 田うへよし
《1670》,《暦日2》,十四／,かのえさる,みつ,木,　,さい下しき 神よし 大みやう  入学 むきかりよし
《1680》,《暦日0》,十五／,かのとのとり,たいら,,　,神よし 大みやう 月とく めつもん 地火
《1690》,《暦日2》,十六／,みつのえいぬ,さたん,水,入梅/ま日, むきかりよし
《1700》,《暦日0》,十七／,みつのとのい,とる,,八せんのおはり,ちう日 ふく日
《1710》,《暦日2》,十八／,きのえね,やふる,金,　,●
《1720》,《暦日0》,十九／,きのとのうし,あやふ,,　,神よし 天おん  つめとりよし
《1730》,《暦日2》,廿／,ひのえとら,なる,火,　,天おん 母倉 月とく きこ  つめとりよし
《1740》,《暦日0》,廿一／,ひのとのう,おさん,,　,天おん 母倉 ちいみ 大くわ ふく日
《1750》,《暦日2》,廿二／,つちのえたつ,ひらく,木,　,天おん 五む日  かまぬり 田うへよし
《1760》,《暦日0》,廿三／,つちのとのみ,とつ,,　,十し
《1770》,《暦日2》,廿四／,かのえむま,たつ,土,　,下しきうの時  むきかりよし
《1780》,《暦日0》,廿五／,かのとのひつし,のそく,,　,大みやう 月とく わうまう  ふねのり 井ほりよし
《1790》,《節中》,夏至五月中みの初刻日の出より日入まて,昼六十刻/夜四十刻,六より六まて,昼六十五刻/夜三十五刻
《1800》,《暦日2》,廿六／,みつのえさる,みつ,金,　,神よし きしく 大みやう  くさかりよし
《1810》,《暦日0》,廿七／,みつのとのとり,たいら,,　,神よし 大みやう ふく日 めつもん 地火
《1820》,《暦日2》,廿八／,きのえいぬ,さたん,火,　, わたまし くらたてよし
《1830》,《暦日0》,廿九／,きのとのい,とる,,　,ちう日  むきかり 田うへよし
