«1830-0000»,【 カンマ区切りテキスト形式です。】
«1830-0010»,【 ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。】
«1830-0020»,【 ・表の区画内での改行は“|”で表記します。】
«1830-0030»,【 ・«行番号»とその次のカラム(«暦首»など)は表成型に用いますので削除しないでください。】
«1830-0040»,【 ・カンマ","を追加・削除すると、その行が表成型できない場合があります。】
«1830-0050»,【 外部リンク　】
«1830-0060»,【 ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546786/108 ～ 112】
«1830-0070»,【 ・hosi.org　 : http://hosi.org:3000/Note/1830h　(翻刻編集終了データを表成型して表示します)】
«1830-0080»,【 　　　　　　 　http://hosi.org:3000/Note/1830ht (翻刻編集中データを表成型して表示します)】
«1830-0090»,【 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png 】
«1830-0100»,«版元»,出版地○○,出版元□□□,　
«1830-1260»,«暦日0»,七〳,きのとのうし,おさん,,　,十し
«1830-1270»,«暦日2»,八〳,ひのえとら,ひらく,火,　,くゑ日 ちいみ
«1830-1280»,«暦日0»,九〳,ひのとのう,とつ,,　,さい下しき くゑ日  たねまきよし
«1830-1290»,«暦日2»,十〳,つちのえたつ,たつ,木,　,五む日 くゑ日 ふく日
«1830-1300»,«暦日0»,十一〳,つちのとのみ,のそく,,八十八や,神よし 母倉 ちう日 ふく日  かといてよし
«1830-1310»,«暦日2»,十二〳,かのえむま,みつ,土,　,神よし 母倉 天火 らうしやく  みそすつくりよし
«1830-1320»,«暦日0»,十三〳,かのとのひつし,たいら,,　,大みやう めつもん 地火
«1830-1330»,«暦日2»,十四〳,みつのえさる,さたん,金,　,大みやう くゑ日
«1830-1340»,«暦日0»,十五〳,みつのとのとり,とる,,　,神よし 大みやう
«1830-1350»,«暦日1»,十六〳,きのえいぬ,とる,火,　, やたて くらたてよし
«1830-1360»,«節中»,立夏四月せつ今暁うしの三刻ニ入日の出より日入まて,昼五十六刻半余|夜四十三刻余,六より六まて,昼六十二刻余|夜三十七刻半余
«1830-1370»,«暦日1»,十七〳,きのとのい,やふる,火,　,月とく ちう日
«1830-1380»,«暦日2»,十八〳,ひのえね,あやふ,水,　,ふく日  さひらきよし
«1830-1390»,«暦日0»,十九〳,ひのとのうし,なる,,　,大みやう きこ  ものたち  つめとりよし
«1830-1400»,«暦日2»,廿〳,つちのえとら,おさん,土,　,母倉 めつもん  たねまき  つめとりよし
«1830-1410»,«暦日0»,廿一〳,つちのとのう,ひらく,,　,神よし 大みやう 天おん 母倉  入学よし
«1830-1420»,«暦日2»,廿二〳,かのえたつ,とつ,金,　,きしく 天おん 月とく  けんふくよし
«1830-1430»,«暦日0»,廿三〳,かのとのみ,たつ,,　,●
«1830-1440»,«暦日2»,廿四〳,みつのえむま,のそく,木,　,神よし 大みやう 天おん ふく日
«1830-1450»,«暦日0»,廿五〳,みつのとのひつし,みつ,,　,くゑ日
