«1738-0000»,【 カンマ区切りテキスト形式です。】
«1738-0010»,【 ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。】
«1738-0020»,【 ・表の区画内での改行は“|”で表記します。】
«1738-0030»,【 ・«行番号»とその次のカラム(«暦首»など)は表成型に用いますので削除しないでください。】
«1738-0040»,【 ・カンマ","を追加・削除すると、その行が表成型できない場合があります。】
«1738-0050»,【 外部リンク　】
«1738-0060»,【 ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546784/175 ～ 180】
«1738-0070»,【 ・hosi.org　 : http://hosi.org:3000/Note/1738h　(翻刻編集終了データを表成型して表示します)】
«1738-0080»,【 　　　　　　 　http://hosi.org:3000/Note/1738ht (翻刻編集中データを表成型して表示します)】
«1738-0090»,【 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png 】
«1738-0100»,«版元»,出版地○○,出版元□□□,　
«1738-1740»,«節中»,小暑六月せつひつしの三刻ニ入日の出より日入まて,昼五十九刻余|夜四十刻余,六より六まて,昼六十四刻余|夜三十五刻余
«1738-1750»,«暦日1»,廿二〳,みつのとのとり,みつ,金,　,神よし 大みやう ちいみ  みそすつくりよし
«1738-1760»,«暦日2»,廿三〳,きのえいぬ,たいら,火,　,大くわ 地火  わたましよし
«1738-1770»,«暦日0»,廿四〳,きのとのい,さたん,,　,ちう日
«1738-1780»,«暦日2»,廿五〳,ひのえね,とる,水,　,きしく きこ 下しきたつの時
«1738-1790»,«暦日0»,廿六〳,ひのとのうし,やふる,,　,十し
«1738-1800»,«暦日2»,廿七〳,つちのえとら,あやふ,土,　,ふく日  たねまき  つめとりよし
«1738-1810»,«暦日0»,廿八〳,つちのとのう,なる,,　,神よし 大みやう ふく日 天火 らうしやく
«1738-1820»,«暦日2»,廿九〳,かのえたつ,おさん,金,初伏,めつもん  けんふくよし
«1738-1830»,«暦日0»,卅〳,かのとのみ,ひらく,,　,ちう日  ものたちよし
«1738-1840»,«月序»,六月,小,建,己未,井宿　角　木よう
«1738-1850»,«暦日2»,一〳,みつのえむま,とつ,木,　,●
«1738-1860»,«暦日0»,二〳,みつのとのひつし,たつ,,　, たねまきよし
«1738-1870»,«暦日2»,三〳,きのえさる,のそく,水,とようとりの四刻ニ入|十方くれニ入,神よし 大みやう
