《1837-0000》,# カンマ区切りテキスト形式です。
《1837-0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《1837-0020》,# ・表の区画内での改行は“/”で表記します。
《1837-0030》,# ・《行番号》とその次のカラム(《暦首》など)は表成型に用いますので削除しないでください。
《1837-0040》,# ・カンマ","を追加・削除すると、その行が表成型できない場合があります。
《1837-0050》,# 外部リンク
《1837-0060》,# ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546786/139 ～ 142
《1837-0070》,# ・hosi.org　 : http://hosi.org:3000/Note/1837g　(GitHub上データを表成型)
《1837-0080》,# 　　　　　　 　http://hosi.org:3000/Note/1837h　(翻刻編集データを表成型 - 未実装)
《1837-0090》,# 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png
《1837-0100》,《版元》,出版地○○,出版元□□□,　
《1837-2030》,《暦日0》,十七／,みつのとのい,さたん,,八せんのおはり/とよういぬの二刻ニ入,ちう日
《1837-2040》,《暦日2》,十八／,きのえね,とる,金,　,天おん 月とく きこ 下しきたつの時
《1837-2050》,《暦日0》,十九／,きのとのうし,やふる,,　,十し
《1837-2060》,《暦日1》,廿／,ひのえとら,あやふ,火,　,天おん  わたまし  つめとりよし
《1837-2070》,《節中》,大暑六月中いぬの七刻日の出より日入まて,昼五十八刻余/夜四十一刻半余,六より六まて,昼六十四刻/夜三十六刻
《1837-2080》,《暦日1》,廿一／,ひのとのう,なる,火,　,神よし 天おん 天火 らうしやく
《1837-2090》,《暦日2》,廿二／,つちのえたつ,おさん,木,　,天おん 五む日 ふく日 めつもん
《1837-2100》,《暦日0》,廿三／,つちのとのみ,ひらく,,　,くゑ日 ちう日 ふく日
《1837-2110》,《暦日2》,廿四／,かのえむま,とつ,土,中伏,●
《1837-2120》,《暦日0》,廿五／,かのとのひつし,たつ,,　,大みやう  かといて ふねのりよし
《1837-2130》,《暦日2》,廿六／,みつのえさる,のそく,金,　,神よし きしく 大みやう  くさかりよし
《1837-2140》,《暦日0》,廿七／,みつのとのとり,みつ,,　,神よし 大みやう ちいみ  みそすつくりよし
《1837-2150》,《暦日2》,廿八／,きのえいぬ,たいら,火,　,月とく 大くわ 地火 わうまう  わたましよし
《1837-2160》,《暦日0》,廿九／,きのとのい,さたん,,　,ちう日
《1837-2170》,《月序》,七月,大,建,戊申,箕宿　翼　火よう
《1837-2180》,《暦日2》,一／,ひのえね,とる,水,　,きこ 下しきたつの時
《1837-2190》,《暦日0》,二／,ひのとのうし,やふる,,　,十し
《1837-2200》,《暦日2》,三／,つちのえとら,あやふ,土,　,ふく日  たねまき  つめとりよし
《1837-2210》,《暦日0》,四／,つちのとのう,なる,,　,神よし 大みやう 天おん 月とく ふく日 天火 らうしやく
《1837-2220》,《暦日2》,五／,かのえたつ,おさん,金,　,天おん めつもん  けんふくよし
《1837-2230》,《暦日0》,六／,かのとのみ,ひらく,,　,天おん 母倉 ちう日  ものたちよし
《1837-2240》,《暦日1》,七／,みつのえむま,ひらく,木,　,神よし 大みやう 天おん 月とく 天火 らうしやく
《1837-2250》,《節中》,立秋七月せつ今暁うしの四刻ニ入日の出より日入まて,昼五十六刻半余/夜四十三刻余,六より六まて,昼六十二刻余/夜三十七刻半余
《1837-2260》,《暦日1》,八／,みつのとのひつし,とつ,木,　,天おん 母倉
《1837-2270》,《暦日2》,九／,きのえさる,たつ,水,十方くれニ入,神よし 大みやう ふく日 下しきみの時
