«1814-0000»,【 カンマ区切りテキスト形式です。】
«1814-0010»,【 ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。】
«1814-0020»,【 ・表の区画内での改行は“|”で表記します。】
«1814-0030»,【 ・«行番号»とその次のカラム(«暦首»など)は表成型に用いますので削除しないでください。】
«1814-0040»,【 ・カンマ","を追加・削除すると、その行が表成型できない場合があります。】
«1814-0050»,【 外部リンク　】
«1814-0060»,【 ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546786/40 ～ 44】
«1814-0070»,【 ・hosi.org　 : http://hosi.org:3000/Note/1814h　(翻刻編集終了データを表成型して表示します)】
«1814-0080»,【 　　　　　　 　http://hosi.org:3000/Note/1814ht (翻刻編集中データを表成型して表示します)】
«1814-0090»,【 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png 】
«1814-0100»,«版元»,出版地○○,出版元□□□,　
«1814-2110»,«暦日2»,廿五〳,きのえさる,たつ,水,十方くれニ入,神よし 大みやう ふく日 下しきみの時
«1814-2120»,«暦日0»,廿六〳,きのとのとり,のそく,,　,十し
«1814-2130»,«暦日2»,廿七〳,ひのえいぬ,みつ,土,　,母倉 五む日
«1814-2140»,«暦日0»,廿八〳,ひのとのい,たいら,,　,大みやう 月とく ちう日 めつもん 地火
«1814-2150»,«暦日1»,廿九〳,つちのえね,さたん,火,　, けんふく くさかりよし
«1814-2160»,«月序»,七月,大,建,壬申,虛宿　危　月よう
«1814-2170»,«暦日1»,一〳,つちのとのうし,とる,火,　,●
«1814-2180»,«暦日2»,二〳,かのえとら,やふる,木,末伏,ふく日  つめとりよし
«1814-2190»,«暦日0»,三〳,かのとのう,あやふ,,　,神よし
«1814-2200»,«暦日2»,四〳,みつのえたつ,なる,水,　,大みやう 母倉 月とく 五む日 ちいみ
«1814-2210»,«暦日0»,五〳,みつのとのみ,おさん,,天一天上,大くわ ちう日  たねまきよし
«1814-2220»,«暦日2»,六〳,きのえむま,ひらく,金,　,神よし ふく日 天火 らうしやく  かといてよし
«1814-2230»,«暦日0»,七〳,きのとのひつし,とつ,,　,大みやう 母倉 五む日
«1814-2240»,«暦日1»,八〳,ひのえさる,たつ,火,　,神よし 下しきみの時  入学よし
«1814-2250»,«節中»,処暑七月中とりの一刻日の出より日入まて,昼五十四刻半余|夜四十五刻余,六より六まて,昼六十刻|夜四十刻
«1814-2260»,«暦日1»,九〳,ひのとのとり,のそく,火,　,十し
«1814-2270»,«暦日2»,十〳,つちのえいぬ,みつ,木,　,母倉  くらたて かまぬりよし
«1814-2280»,«暦日0»,十一〳,つちのとのい,たいら,,　,神よし ちう日 めつもん 地火
«1814-2290»,«暦日2»,十二〳,かのえね,さたん,土,　,神よし きしく ふく日
«1814-2300»,«暦日0»,十三〳,かのとのうし,とる,,　,●
«1814-2310»,«暦日2»,十四〳,みつのえとら,やふる,金,　,大みやう 月とく  やたて  つめとりよし
«1814-2320»,«暦日0»,十五〳,みつのとのう,あやふ,,　,神よし  わたまし みそすつくりよし
«1814-2330»,«暦日2»,十六〳,きのえたつ,なる,火,　,大みやう くゑ日 ちいみ ふく日
«1814-2340»,«暦日0»,十七〳,きのとのみ,おさん,,　,神よし 大みやう 大くわ ちう日  けんふくよし
«1814-2350»,«暦日2»,十八〳,ひのえむま,ひらく,水,　,神よし 大みやう 天火 らうしやく  かといてよし
«1814-2360»,«暦日0»,十九〳,ひのとのひつし,とつ,,二百十日,神よし 母倉 月とく  いちたちよし
«1814-2370»,«暦日2»,廿〳,つちのえさる,たつ,土,　,天しや よろつよし
«1814-2380»,«暦日0»,廿一〳,つちのとのとり,のそく,,　,十し
«1814-2390»,«暦日2»,廿二〳,かのえいぬ,みつ,金,　,大みやう 天おん 母倉 ふく日
«1814-2400»,«暦日0»,廿三〳,かのとのい,みつ,,　,さい下しき 神よし 大みやう 天おん ちう日 ふく日
«1814-2410»,«節中»,白露八月せついの七刻ニ入日の出より日入まて,昼五十二刻半|夜四十七刻半,六より六まて,昼五十七刻半余|夜四十二刻余
«1814-2420»,«暦日2»,廿四〳,みつのえね,たいら,木,八せんのはしめ,神よし 天おん 大くわ 地火
«1814-2430»,«暦日0»,廿五〳,みつのとのうし,さたん,,ま日,神よし 天おん 母倉  たねまき 竹木こり  つめとりよし
«1814-2440»,«暦日2»,廿六〳,きのえとら,とる,水,　,きこ  かまぬり 田かり  つめとりよし
«1814-2450»,«暦日0»,廿七〳,きのとのう,やふる,,　,くゑ日 ふく日
«1814-2460»,«暦日2»,廿八〳,ひのえたつ,あやふ,土,ま日,大みやう 母倉
«1814-2470»,«暦日0»,廿九〳,ひのとのみ,なる,,二百廿日,十し
