«1867-0000»,【 カンマ区切りテキスト形式です。】
«1867-1610»,«暦日2»,九〳,みつのえいぬ,さたん,水,入梅|ま日, むきかりよし
«1867-1620»,«暦日0»,十〳,みつのとのい,とる,,八せんのおはり,ちう日 ふく日
«1867-1630»,«暦日2»,十一〳,きのえね,やふる,金,　,●
«1867-1640»,«暦日0»,十二〳,きのとのうし,あやふ,,　,神よし 天おん  つめとりよし
«1867-1650»,«暦日2»,十三〳,ひのえとら,なる,火,　,天おん 母倉 月とく きこ  つめとりよし
«1867-1660»,«暦日0»,十四〳,ひのとのう,おさん,,　,天おん 母倉 ちいみ 大くわ ふく日
«1867-1670»,«暦日2»,十五〳,つちのえたつ,ひらく,木,　,天おん 五む日  かまぬり 田うへよし
«1867-1680»,«暦日0»,十六〳,つちのとのみ,とつ,,　,十し
«1867-1690»,«暦日2»,十七〳,かのえむま,たつ,土,　,下しきうの時  むきかりよし
«1867-1700»,«暦日0»,十八〳,かのとのひつし,のそく,,　,大みやう 月とく  ふねのり 井ほりよし
«1867-1710»,«暦日2»,十九〳,みつのえさる,みつ,金,　,きしく 大みやう わうまう  くさかりよし
«1867-1720»,«暦日0»,廿〳,みつのとのとり,たいら,,　,神よし 大みやう ふく日 めつもん 地火
«1867-1730»,«節中»,夏至五月中朝五時二分日の出より日入まて,昼五十九刻半余|夜四十刻余,六より六まて,昼六十五刻半余|夜三十四刻余
«1867-1740»,«暦日2»,廿一〳,きのえいぬ,さたん,火,　, わたまし くらたてよし
«1867-1750»,«暦日0»,廿二〳,きのとのい,とる,,　,ちう日  むきかり 田うへよし
«1867-1760»,«暦日2»,廿三〳,ひのえね,やふる,水,　,●
«1867-1770»,«暦日0»,廿四〳,ひのとのうし,あやふ,,　,神よし 大みやう ふく日  ものたち  つめとりよし
«1867-1780»,«暦日2»,廿五〳,つちのえとら,なる,土,　,母倉 きこ  みそすつくり  つめとりよし
«1867-1790»,«暦日0»,廿六〳,つちのとのう,おさん,,　,大みやう 天おん 母倉 ちいみ 大くわ
«1867-1800»,«暦日2»,廿七〳,かのえたつ,ひらく,金,　,天おん  けんふく かといてよし
«1867-1810»,«暦日0»,廿八〳,かのとのみ,とつ,,　,十し
«1867-1820»,«暦日1»,廿九〳,みつのえむま,たつ,木,　,大みやう 天おん 下しきうの時
«1867-1830»,«月序»,六月,小,建,丁未,亢宿　尾　火よう
«1867-1840»,«暦日1»,一〳,みつのとのひつし,のそく,木,はんけしやう,天おん ふく日  田うへよし
«1867-1850»,«暦日2»,二〳,きのえさる,みつ,水,十方くれニ入,神よし 大みやう
«1867-1860»,«暦日0»,三〳,きのとのとり,たいら,,　,神よし めつもん 地火
«1867-1870»,«暦日2»,四〳,ひのえいぬ,さたん,土,　,月とく 五む日  むきかりよし
«1867-1880»,«暦日0»,五〳,ひのとのい,とる,,　,大みやう ちう日 ふく日
«1867-1890»,«暦日2»,六〳,つちのえね,やふる,火,　,●
«1867-1900»,«暦日0»,七〳,つちのとのうし,やふる,,　,十し
«1867-1910»,«節中»,小暑六月せつ今暁九時六分ニ入日の出より日入まて,昼五十九刻半|夜四十刻半,六より六まて,昼六十五刻余|夜三十四刻半余
«1867-1920»,«暦日2»,八〳,かのえとら,あやふ,木,　,母倉  やたて  つめとりよし
«1867-1930»,«暦日0»,九〳,かのとのう,なる,,　,神よし 母倉 天火 らうしやく
«1867-1940»,«暦日2»,十〳,みつのえたつ,おさん,水,　,さい下しき 大みやう 五む日 めつもん
«1867-1950»,«暦日0»,十一〳,みつのとのみ,ひらく,,天一天上,母倉 ちう日  いちたちよし
«1867-1960»,«暦日2»,十二〳,きのえむま,とつ,金,　,●
«1867-1970»,«暦日0»,十三〳,きのとのひつし,たつ,,　,大みやう 五む日
«1867-1980»,«暦日2»,十四〳,ひのえさる,のそく,火,　,神よし
«1867-1990»,«暦日0»,十五〳,ひのとのとり,みつ,,　,神よし ちいみ  くさかりよし
«1867-2000»,«暦日2»,十六〳,つちのえいぬ,たいら,木,　,大くわ ふく日 地火
«1867-2010»,«暦日0»,十七〳,つちのとのい,さたん,,　,月とく ちう日 ふく日  ふねのりよし
«1867-2020»,«暦日2»,十八〳,かのえね,とる,土,初伏,きしく きこ 下しきたつの時
«1867-2030»,«暦日0»,十九〳,かのとのうし,やふる,,とよう今暁七時六分ニ入,十し
«1867-2040»,«暦日2»,廿〳,みつのえとら,あやふ,金,　,大みやう  けんふく  つめとりよし
«1867-2050»,«暦日0»,廿一〳,みつのとのう,なる,,　,神よし 天火 らうしやく
«1867-2060»,«暦日1»,廿二〳,きのえたつ,おさん,火,　,大みやう 月とく めつもん  わたましよし
«1867-2070»,«節中»,大暑六月中夕七時四分日の出より日入まて,昼五十八刻余|夜四十一刻半余,六より六まて,昼六十四刻|夜三十六刻
«1867-2080»,«暦日1»,廿三〳,きのとのみ,ひらく,火,　,大みやう 母倉 ちう日
«1867-2090»,«暦日2»,廿四〳,ひのえむま,とつ,水,　,●
«1867-2100»,«暦日0»,廿五〳,ひのとのひつし,たつ,,　,くゑ日
«1867-2110»,«暦日2»,廿六〳,つちのえさる,のそく,土,　,神よし ふく日  たねまきよし
«1867-2120»,«暦日0»,廿七〳,つちのとのとり,みつ,,　,神よし 大みやう 天おん 月とく ちいみ ふく日
«1867-2130»,«暦日2»,廿八〳,かのえいぬ,たいら,金,中伏,大みやう 天おん 大くわ 地火
«1867-2140»,«暦日0»,廿九〳,かのとのい,さたん,,　,大みやう 天おん ちう日
«1867-2150»,«月序»,七月,小,建,戊申,氐宿　箕　水よう
«1867-2160»,«暦日2»,一〳,みつのえね,とる,木,八せんのはしめ,天おん きこ わうまう 下しきたつの時
«1867-2170»,«暦日0»,二〳,みつのとのうし,やふる,,ま日,十し
«1867-2180»,«暦日2»,三〳,きのえとら,あやふ,水,　,母倉 月とく  やたて  つめとりよし
«1867-2190»,«暦日0»,四〳,きのとのう,なる,,　,神よし 母倉 天火 らうしやく
«1867-2200»,«暦日2»,五〳,ひのえたつ,おさん,土,ま日,大みやう めつもん  けんふくよし
«1867-2210»,«暦日0»,六〳,ひのとのみ,ひらく,,　,くゑ日 ちう日
«1867-2220»,«暦日2»,七〳,つちのえむま,とつ,火,ま日,●
«1867-2230»,«暦日0»,八〳,つちのとのひつし,たつ,,　,大みやう くゑ日 ふく日
«1867-2240»,«暦日1»,九〳,かのえさる,たつ,木,末伏,大みやう くゑ日 ふく日 下しきみの時
«1867-2250»,«節中»,立秋七月せつ朝四時四分ニ入日の出より日入まて,昼五十六刻半|夜四十三刻半,六より六まて,昼六十二刻|夜三十八刻
«1867-2260»,«暦日1»,十〳,かのとのとり,のそく,木,　,十し
«1867-2270»,«暦日2»,十一〳,みつのえいぬ,みつ,水,ま日,母倉 月とく
«1867-2280»,«暦日0»,十二〳,みつのとのい,たいら,,八せんのおはり,ちう日 めつもん 地火
«1867-2290»,«暦日2»,十三〳,きのえね,さたん,金,　,天おん ふく日  ふねのりよし
«1867-2300»,«暦日0»,十四〳,きのとのうし,とる,,　,●
