«1806-0000»,【 カンマ区切りテキスト形式です。】
«1806-1670»,«暦日0»,十四〳,かのとのとり,たいら,,　,神よし 大みやう 月とく めつもん 地火
«1806-1680»,«暦日2»,十五〳,みつのえいぬ,さたん,水,ま日, むきかりよし
«1806-1690»,«暦日0»,十六〳,みつのとのい,とる,,八せんのおはり,ちう日 ふく日
«1806-1700»,«暦日2»,十七〳,きのえね,やふる,金,はんけしやう,●
«1806-1710»,«暦日0»,十八〳,きのとのうし,あやふ,,　,神よし 天おん  つめとりよし
«1806-1720»,«暦日2»,十九〳,ひのえとら,なる,火,　,天おん 母倉 月とく きこ  つめとりよし
«1806-1730»,«暦日0»,廿〳,ひのとのう,おさん,,　,さい下しき 天おん 母倉 ちいみ 大くわ ふく日
«1806-1740»,«暦日2»,廿一〳,つちのえたつ,ひらく,木,　,天おん 五む日  かまぬり 田うへよし
«1806-1750»,«暦日0»,廿二〳,つちのとのみ,ひらく,,　,くゑ日 ちう日 ふく日
«1806-1760»,«節中»,小暑六月せつ今暁とらの初刻ニ入日の出より日入まて,昼五十九刻半|夜四十刻半,六より六まて,昼六十五刻余|夜三十四刻半余
«1806-1770»,«暦日2»,廿三〳,かのえむま,とつ,土,　,●
«1806-1780»,«暦日0»,廿四〳,かのとのひつし,たつ,,　,大みやう  かといて ふねのりよし
«1806-1790»,«暦日2»,廿五〳,みつのえさる,のそく,金,　,神よし きしく 大みやう  くさかりよし
«1806-1800»,«暦日0»,廿六〳,みつのとのとり,みつ,,　,神よし 大みやう ちいみ  みそすつくりよし
«1806-1810»,«暦日2»,廿七〳,きのえいぬ,たいら,火,　,月とく 大くわ 地火  わたましよし
«1806-1820»,«暦日0»,廿八〳,きのとのい,さたん,,　,ちう日
«1806-1830»,«暦日1»,廿九〳,ひのえね,とる,水,　,きこ 下しきたつの時
«1806-1840»,«月序»,六月,小,建,乙未,張宿　軫　水よう
«1806-1850»,«暦日1»,一〳,ひのとのうし,やふる,水,　,十し
«1806-1860»,«暦日2»,二〳,つちのえとら,あやふ,土,　,ふく日  たねまき  つめとりよし
«1806-1870»,«暦日0»,三〳,つちのとのう,なる,,　,神よし 大みやう 天おん 月とく ふく日 天火 らうしやく
«1806-1880»,«暦日2»,四〳,かのえたつ,おさん,金,初伏,天おん めつもん  けんふくよし
«1806-1890»,«暦日0»,五〳,かのとのみ,ひらく,,とようたつの一刻ニ入,天おん 母倉 ちう日  ものたちよし
«1806-1900»,«暦日2»,六〳,みつのえむま,とつ,木,　,●
«1806-1910»,«暦日0»,七〳,みつのとのひつし,たつ,,　,天おん  たねまきよし
«1806-1920»,«暦日1»,八〳,きのえさる,のそく,水,十方くれニ入,神よし 大みやう 月とく
«1806-1930»,«節中»,大暑六月中たつの五刻日の出より日入まて,昼五十八刻余|夜四十一刻半余,六より六まて,昼六十四刻|夜三十六刻
«1806-1940»,«暦日1»,九〳,きのとのとり,みつ,水,　,神よし ちいみ
«1806-1950»,«暦日2»,十〳,ひのえいぬ,たいら,土,　,五む日 大くわ 地火
«1806-1960»,«暦日0»,十一〳,ひのとのい,さたん,,　,大みやう ちう日
«1806-1970»,«暦日2»,十二〳,つちのえね,とる,火,　,きこ ふく日 下しきたつの時
«1806-1980»,«暦日0»,十三〳,つちのとのうし,やふる,,　,十し
«1806-1990»,«暦日2»,十四〳,かのえとら,あやふ,木,中伏,母倉  やたて  つめとりよし
«1806-2000»,«暦日0»,十五〳,かのとのう,なる,,　,神よし 母倉 天火 らうしやく
«1806-2010»,«暦日2»,十六〳,みつのえたつ,おさん,水,　,大みやう 五む日 めつもん わうまう
«1806-2020»,«暦日0»,十七〳,みつのとのみ,ひらく,,天一天上,母倉 ちう日  いちたちよし
«1806-2030»,«暦日2»,十八〳,きのえむま,とつ,金,　,●
«1806-2040»,«暦日0»,十九〳,きのとのひつし,たつ,,　,大みやう 五む日
«1806-2050»,«暦日2»,廿〳,ひのえさる,のそく,火,　,神よし
«1806-2060»,«暦日0»,廿一〳,ひのとのとり,みつ,,　,神よし ちいみ  くさかりよし
«1806-2070»,«暦日2»,廿二〳,つちのえいぬ,たいら,木,　,大くわ ふく日 地火
«1806-2080»,«暦日0»,廿三〳,つちのとのい,たいら,,　,神よし ちう日 めつもん 地火
«1806-2090»,«節中»,立秋七月せつひつしの二刻ニ入日の出より日入まて,昼五十六刻半余|夜四十三刻余,六より六まて,昼六十二刻余|夜三十七刻半余
«1806-2100»,«暦日2»,廿四〳,かのえね,さたん,土,末伏,神よし きしく ふく日
«1806-2110»,«暦日0»,廿五〳,かのとのうし,とる,,　,●
«1806-2120»,«暦日2»,廿六〳,みつのえとら,やふる,金,　,大みやう 月とく  やたて  つめとりよし
«1806-2130»,«暦日0»,廿七〳,みつのとのう,あやふ,,　,神よし  わたまし みそすつくりよし
«1806-2140»,«暦日2»,廿八〳,きのえたつ,なる,火,　,大みやう くゑ日 ちいみ ふく日
«1806-2150»,«暦日0»,廿九〳,きのとのみ,おさん,,　,神よし 大みやう 大くわ ちう日  けんふくよし
«1806-2160»,«月序»,七月,小,建,丙申,翼宿　角　木よう
«1806-2170»,«暦日2»,一〳,ひのえむま,ひらく,水,　,神よし 大みやう 天火 らうしやく  かといてよし
«1806-2180»,«暦日0»,二〳,ひのとのひつし,とつ,,　,母倉 月とく わうまう  いちたちよし
«1806-2190»,«暦日2»,三〳,つちのえさる,たつ,土,　,天しや よろつよし
«1806-2200»,«暦日0»,四〳,つちのとのとり,のそく,,　,十し
«1806-2210»,«暦日2»,五〳,かのえいぬ,みつ,金,　,大みやう 天おん 母倉 ふく日
«1806-2220»,«暦日0»,六〳,かのとのい,たいら,,　,神よし 大みやう 天おん ちう日 めつもん 地火
«1806-2230»,«暦日2»,七〳,みつのえね,さたん,木,八せんのはしめ,神よし 天おん 月とく  くらたてよし
«1806-2240»,«暦日0»,八〳,みつのとのうし,とる,,ま日,●
«1806-2250»,«暦日1»,九〳,きのえとら,やふる,水,　,ふく日  かといて  つめとりよし
«1806-2260»,«節中»,処暑七月中とりの七刻日の出より日入まて,昼五十四刻半余|夜四十五刻余,六より六まて,昼六十刻|夜四十刻
«1806-2270»,«暦日1»,十〳,きのとのう,あやふ,水,　,神よし  くらたて かまぬりよし
«1806-2280»,«暦日2»,十一〳,ひのえたつ,なる,土,ま日,大みやう 母倉 ちいみ  くさかりよし
«1806-2290»,«暦日0»,十二〳,ひのとのみ,おさん,,　,月とく 大くわ ちう日  ものたちよし
«1806-2300»,«暦日2»,十三〳,つちのえむま,ひらく,火,ま日,神よし 天火 らうしやく  入学よし
«1806-2310»,«暦日0»,十四〳,つちのとのひつし,とつ,,　,神よし 大みやう 母倉  みそすつくりよし
«1806-2320»,«暦日2»,十五〳,かのえさる,たつ,木,　,大みやう くゑ日 ふく日 下しきみの時
«1806-2330»,«暦日0»,十六〳,かのとのとり,のそく,,　,十し
«1806-2340»,«暦日2»,十七〳,みつのえいぬ,みつ,水,ま日,母倉 月とく
«1806-2350»,«暦日0»,十八〳,みつのとのい,たいら,,八せんのおはり,ちう日 めつもん 地火
«1806-2360»,«暦日2»,十九〳,きのえね,さたん,金,　,天おん ふく日  ふねのりよし
«1806-2370»,«暦日0»,廿〳,きのとのうし,とる,,二百十日,●
«1806-2380»,«暦日2»,廿一〳,ひのえとら,やふる,火,　,天おん  けんふく  つめとりよし
«1806-2390»,«暦日0»,廿二〳,ひのとのう,あやふ,,　,さい下しき 神よし 天おん 月とく  わたましよし
«1806-2400»,«暦日2»,廿三〳,つちのえたつ,なる,木,　,きしく 天おん 母倉 五む日 ちいみ  いちたちよし
«1806-2410»,«暦日0»,廿四〳,つちのとのみ,おさん,,　,神よし 大くわ ちう日
«1806-2420»,«暦日1»,廿五〳,かのえむま,おさん,土,　,月とく めつもん  竹木こりよし
«1806-2430»,«節中»,白露八月せつ今暁ねの四刻ニ入日の出より日入まて,昼五十二刻半|夜四十七刻半,六より六まて,昼五十七刻半余|夜四十二刻余
«1806-2440»,«暦日1»,廿六〳,かのとのひつし,ひらく,土,　,●
«1806-2450»,«暦日2»,廿七〳,みつのえさる,とつ,金,　,神よし 大みやう
«1806-2460»,«暦日0»,廿八〳,みつのとのとり,たつ,,　,大みやう 天火 らうしやく 下しきむまの時
«1806-2470»,«暦日1»,廿九〳,きのえいぬ,のそく,火,　,母倉 ちいみ  竹木こりよし
«1806-2480»,«月序»,八月,大,建,丁酉,軫宿　亢　金よう
«1806-2490»,«暦日1»,一〳,きのとのい,みつ,火,二百廿日,月とく ちう日 ふく日  入学よし
«1806-2500»,«暦日2»,二〳,ひのえね,たいら,水,　,大くわ 地火
«1806-2510»,«暦日0»,三〳,ひのとのうし,さたん,,　,神よし 大みやう 母倉  ものたち  つめとりよし
«1806-2520»,«暦日2»,四〳,つちのえとら,とる,土,　,きこ  田かり  つめとりよし
«1806-2530»,«暦日0»,五〳,つちのとのう,やふる,,　,大みやう 天おん
«1806-2540»,«暦日2»,六〳,かのえたつ,あやふ,金,　,天おん 母倉 月とく
«1806-2550»,«暦日0»,七〳,かのとのみ,なる,,　,十し
«1806-2560»,«暦日2»,八〳,みつのえむま,おさん,木,　,大みやう 天おん めつもん
«1806-2570»,«暦日0»,九〳,みつのとのひつし,ひらく,,　,●
«1806-2580»,«暦日2»,十〳,きのえさる,とつ,水,ひかんニなる|十方くれニ入,神よし 大みやう  竹木こり 田かりよし
«1806-2590»,«暦日0»,十一〳,きのとのとり,たつ,,　,月とく ふく日 天火 らうしやく 下しきむまの時
«1806-2600»,«節中»,秋分八月中うの一刻日の出より日入まて,昼五十刻余|夜四十九刻半余,六より六まて,昼五十五刻余|夜四十四刻半余
«1806-2610»,«暦日2»,十二〳,ひのえいぬ,のそく,土,　,母倉 五む日 ちいみ
