《0000》,# カンマ区切りテキスト形式です。
《0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《0020》,# ・表の区画内での改行は“/”で表記します。
《2210》,《暦日2》,六／,かのえいぬ,たいら,金,　,大みやう 天おん 大くわ 地火
《2220》,《暦日0》,七／,かのとのい,さたん,,　,大みやう 天おん ちう日
《2230》,《暦日2》,八／,みつのえね,とる,木,八せんのはしめ,きしく 天おん きこ 下しきたつの時
《2240》,《暦日0》,九／,みつのとのうし,やふる,,ま日,十し
《2250》,《暦日2》,十／,きのえとら,あやふ,水,　,母倉 月とく  やたて  つめとりよし
《2260》,《暦日0》,十一／,きのとのう,あやふ,,　,神よし  くらたて かまぬりよし
《2270》,《節中》,立秋七月せついぬの七刻ニ入日の出より日入まて,昼五十六刻半余/夜四十三刻余,六より六まて,昼六十二刻余/夜三十七刻半余
《2280》,《暦日2》,十二／,ひのえたつ,なる,土,ま日,大みやう 母倉 ちいみ  くさかりよし
《2290》,《暦日0》,十三／,ひのとのみ,おさん,,　,さい下しき 月とく 大くわ ちう日  ものたちよし
《2300》,《暦日2》,十四／,つちのえむま,ひらく,火,ま日,神よし 天火 らうしやく  入学よし
《2310》,《暦日0》,十五／,つちのとのひつし,とつ,,　,神よし 大みやう 母倉  みそすつくりよし
《2320》,《暦日2》,十六／,かのえさる,たつ,木,末伏,大みやう くゑ日 ふく日 下しきみの時
《2330》,《暦日0》,十七／,かのとのとり,のそく,,　,十し
《2340》,《暦日2》,十八／,みつのえいぬ,みつ,水,ま日,母倉 月とく
《2350》,《暦日0》,十九／,みつのとのい,たいら,,八せんのおはり,ちう日 めつもん 地火 わうまう
《2360》,《暦日2》,廿／,きのえね,さたん,金,　,天おん ふく日  ふねのりよし
《2370》,《暦日0》,廿一／,きのとのうし,とる,,　,●
《2380》,《暦日2》,廿二／,ひのえとら,やふる,火,　,天おん  けんふく  つめとりよし
《2390》,《暦日0》,廿三／,ひのとのう,あやふ,,　,神よし 天おん 月とく  わたましよし
《2400》,《暦日2》,廿四／,つちのえたつ,なる,木,　,天おん 母倉 五む日 ちいみ  いちたちよし
《2410》,《暦日0》,廿五／,つちのとのみ,おさん,,　,神よし 大くわ ちう日
《2420》,《暦日2》,廿六／,かのえむま,ひらく,土,　,神よし ふく日 天火 らうしやく
《2430》,《暦日0》,廿七／,かのとのひつし,とつ,,　,大みやう 母倉  ものたちよし
《2440》,《節中》,処暑七月中今暁うしの四刻日の出より日入まて,昼五十四刻半余/夜四十五刻余,六より六まて,昼六十刻/夜四十刻
《2450》,《暦日2》,廿八／,みつのえさる,たつ,金,　,神よし 大みやう 月とく 下しきみの時
《2460》,《暦日0》,廿九／,みつのとのとり,のそく,,　,十し
《2470》,《暦日1》,卅／,きのえいぬ,みつ,火,　,母倉 ふく日  くらたてよし
《2480》,《月序》,八月,小,建,己酉,房宿　昴　日よう
《2490》,《暦日1》,一／,きのとのい,たいら,火,　,ちう日 めつもん 地火
《2500》,《暦日2》,二／,ひのえね,さたん,水,　, 田かりよし
《2510》,《暦日0》,三／,ひのとのうし,とる,,　,●
《2520》,《暦日2》,四／,つちのえとら,やふる,土,　, たねまき  つめとりよし
《2530》,《暦日0》,五／,つちのとのう,あやふ,,　,神よし 大みやう 天おん  みそすつくりよし
《2540》,《暦日2》,六／,かのえたつ,なる,金,　,きしく 天おん 母倉 ちいみ ふく日  かといてよし
《2550》,《暦日0》,七／,かのとのみ,おさん,,　,天おん 大くわ ちう日
《2560》,《暦日2》,八／,みつのえむま,ひらく,木,二百十日,神よし 大みやう 天おん 月とく 天火 らうしやく
《2570》,《暦日0》,九／,みつのとのひつし,とつ,,　,天おん 母倉
