«1769-0000»,【 カンマ区切りテキスト形式です。】
«1769-1380»,«暦日0»,十九〳,かのとのひつし,みつ,,　,大みやう くゑ日
«1769-1390»,«暦日2»,廿〳,みつのえさる,たいら,金,　,神よし 大みやう ちいみ 大くわ ふく日 地火
«1769-1400»,«暦日0»,廿一〳,みつのとのとり,さたん,,　,十し
«1769-1410»,«暦日2»,廿二〳,きのえいぬ,とる,火,　, やたて くらたてよし
«1769-1420»,«暦日0»,廿三〳,きのとのい,やふる,,　,月とく ちう日
«1769-1430»,«暦日2»,廿四〳,ひのえね,あやふ,水,　,ふく日  さひらきよし
«1769-1440»,«暦日0»,廿五〳,ひのとのうし,なる,,　,大みやう きこ  ものたち  つめとりよし
«1769-1450»,«暦日2»,廿六〳,つちのえとら,おさん,土,　,母倉 めつもん  たねまき  つめとりよし
«1769-1460»,«暦日0»,廿七〳,つちのとのう,ひらく,,　,神よし 大みやう 天おん 母倉  入学よし
«1769-1470»,«暦日2»,廿八〳,かのえたつ,とつ,金,　,きしく 天おん 月とく  けんふくよし
«1769-1480»,«暦日0»,廿九〳,かのとのみ,たつ,,　,●
«1769-1490»,«月序»,五月,大,建,庚午,角宿　星　日よう
«1769-1500»,«暦日2»,一〳,みつのえむま,のそく,木,　,神よし 大みやう 天おん ふく日
«1769-1510»,«暦日0»,二〳,みつのとのひつし,みつ,,　,くゑ日
«1769-1520»,«暦日1»,三〳,きのえさる,みつ,水,十方くれニ入,神よし 大みやう
«1769-1530»,«節中»,芒種五月せつひつしの二刻ニ入日の出より日入まて,昼五十九刻余|夜四十刻余,六より六まて,昼六十四刻余|夜三十五刻余
«1769-1540»,«暦日1»,四〳,きのとのとり,たいら,水,　,神よし めつもん 地火
«1769-1550»,«暦日2»,五〳,ひのえいぬ,さたん,土,　,月とく 五む日  むきかりよし
«1769-1560»,«暦日0»,六〳,ひのとのい,とる,,　,大みやう ちう日 ふく日
«1769-1570»,«暦日2»,七〳,つちのえね,やふる,火,　,●
«1769-1580»,«暦日0»,八〳,つちのとのうし,あやふ,,　, 田うへ  つめとりよし
«1769-1590»,«暦日2»,九〳,かのえとら,なる,木,　,さい下しき 母倉 きこ  井ほり  つめとりよし
«1769-1600»,«暦日0»,十〳,かのとのう,おさん,,　,母倉 月とく ちいみ 大くわ  ものたちよし
«1769-1610»,«暦日2»,十一〳,みつのえたつ,ひらく,水,入梅,大みやう 五む日
«1769-1620»,«暦日0»,十二〳,みつのとのみ,とつ,,天一天上,十し
«1769-1630»,«暦日2»,十三〳,きのえむま,たつ,金,　,天しや よろつよし
«1769-1640»,«暦日0»,十四〳,きのとのひつし,のそく,,　,大みやう 五む日  むきかりよし
«1769-1650»,«暦日2»,十五〳,ひのえさる,みつ,火,　,神よし 月とく  入学 いちたちよし
«1769-1660»,«暦日0»,十六〳,ひのとのとり,たいら,,　,神よし ふく日 めつもん 地火
«1769-1670»,«暦日2»,十七〳,つちのえいぬ,さたん,木,　, かまぬり 田うへよし
«1769-1680»,«暦日0»,十八〳,つちのとのい,とる,,　,ちう日 わうまう
«1769-1690»,«節中»,夏至五月中とりの七刻日の出より日入まて,昼六十刻|夜四十刻,六より六まて,昼六十五刻|夜三十五刻
«1769-1700»,«暦日2»,十九〳,かのえね,やふる,土,　,●
«1769-1710»,«暦日0»,廿〳,かのとのうし,あやふ,,　,神よし 月とく 五む日  つめとりよし
«1769-1720»,«暦日2»,廿一〳,みつのえとら,なる,金,　,大みやう 母倉 きこ  くさかり  つめとりよし
«1769-1730»,«暦日0»,廿二〳,みつのとのう,おさん,,　,母倉 ちいみ 大くわ ふく日
«1769-1740»,«暦日2»,廿三〳,きのえたつ,ひらく,火,　,大みやう  むきかり 田うへよし
«1769-1750»,«暦日0»,廿四〳,きのとのみ,とつ,,　,十し
«1769-1760»,«暦日2»,廿五〳,ひのえむま,たつ,水,　,大みやう くゑ日 下しきうの時
«1769-1770»,«暦日0»,廿六〳,ひのとのひつし,のそく,,　,神よし ふく日
«1769-1780»,«暦日2»,廿七〳,つちのえさる,みつ,土,　,神よし きしく  入学よし
«1769-1790»,«暦日0»,廿八〳,つちのとのとり,たいら,,はんけしやう,神よし 大みやう 天おん めつもん 地火
«1769-1800»,«暦日2»,廿九〳,かのえいぬ,さたん,金,　,大みやう 天おん  かといてよし
«1769-1810»,«暦日0»,卅〳,かのとのい,とる,,　,神よし 大みやう 天おん 月とく ちう日  入学よし
«1769-1820»,«月序»,六月,小,建,辛未,亢宿　翼　火よう
«1769-1830»,«暦日2»,一〳,みつのえね,やふる,木,八せんのはしめ,●
«1769-1840»,«暦日0»,二〳,みつのとのうし,あやふ,,ま日,神よし 天おん ふく日  むきかり  つめとりよし
«1769-1850»,«暦日1»,三〳,きのえとら,あやふ,水,　,母倉 月とく  やたて  つめとりよし
«1769-1860»,«節中»,小暑六月せつ今夜ねの四刻ニ入日の出より日入まて,昼五十九刻余|夜四十刻余,六より六まて,昼六十四刻余|夜三十五刻余
«1769-1870»,«暦日1»,四〳,きのとのう,なる,水,　,神よし 母倉 天火 らうしやく
«1769-1880»,«暦日2»,五〳,ひのえたつ,おさん,土,ま日,大みやう めつもん  けんふくよし
«1769-1890»,«暦日0»,六〳,ひのとのみ,ひらく,,　,くゑ日 ちう日
«1769-1900»,«暦日2»,七〳,つちのえむま,とつ,火,ま日,●
«1769-1910»,«暦日0»,八〳,つちのとのひつし,たつ,,　,大みやう くゑ日 ふく日
«1769-1920»,«暦日2»,九〳,かのえさる,のそく,木,初伏,神よし 大みやう  くさかりよし
«1769-1930»,«暦日0»,十〳,かのとのとり,みつ,,　,神よし 大みやう ちいみ  ものたち 井ほりよし
«1769-1940»,«暦日2»,十一〳,みつのえいぬ,たいら,水,ま日,大くわ 地火
«1769-1950»,«暦日0»,十二〳,みつのとのい,さたん,,八せんのおはり,ちう日
«1769-1960»,«暦日2»,十三〳,きのえね,とる,金,　,天おん 月とく きこ 下しきたつの時
«1769-1970»,«暦日0»,十四〳,きのとのうし,やふる,,　,十し
«1769-1980»,«暦日2»,十五〳,ひのえとら,あやふ,火,　,天おん  わたまし  つめとりよし
«1769-1990»,«暦日0»,十六〳,ひのとのう,なる,,とよう今暁とらの五刻ニ入,神よし 天おん 天火 らうしやく
«1769-2000»,«暦日2»,十七〳,つちのえたつ,おさん,木,　,天おん 五む日 ふく日 めつもん
«1769-2010»,«暦日0»,十八〳,つちのとのみ,ひらく,,　,くゑ日 ちう日 ふく日
«1769-2020»,«暦日1»,十九〳,かのえむま,とつ,土,中伏,●
«1769-2030»,«節中»,大暑六月中うの一刻日の出より日入まて,昼五十八刻余|夜四十一刻余,六より六まて,昼六十三刻余|夜三十六刻余
«1769-2040»,«暦日1»,廿〳,かのとのひつし,たつ,土,　,大みやう  かといて ふねのりよし
«1769-2050»,«暦日2»,廿一〳,みつのえさる,のそく,金,　,神よし 大みやう  くさかりよし
