«1708-0000»,【 カンマ区切りテキスト形式です。】
«1708-0010»,【 ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。】
«1708-1370»,«暦日0»,廿四〳,かのとのうし,なる,,　,五む日 きこ わうまう  つめとりよし
«1708-1380»,«暦日2»,廿五〳,みつのえとら,おさん,金,　,大みやう ふく日 めつもん  つめとりよし
«1708-1390»,«暦日0»,廿六〳,みつのとのう,ひらく,,　,神よし  かといて さひらきよし
«1708-1400»,«暦日2»,廿七〳,きのえたつ,とつ,火,　,大みやう
«1708-1410»,«暦日0»,廿八〳,きのとのみ,たつ,,　,●
«1708-1420»,«暦日1»,廿九〳,ひのえむま,のそく,水,　,大みやう くゑ日 ふく日
«1708-1430»,«月序»,四月,小,建,丁巳,柳宿　昴　日よう
«1708-1440»,«暦日1»,一〳,ひのとのひつし,みつ,水,　,くゑ日
«1708-1450»,«暦日2»,二〳,つちのえさる,たいら,土,　,神よし ちいみ 大くわ 地火
«1708-1460»,«暦日0»,三〳,つちのとのとり,さたん,,四月中さるの四刻,十し
«1708-1470»,«暦日2»,四〳,かのえいぬ,とる,金,　,大みやう  やたて くさかりよし
«1708-1480»,«暦日0»,五〳,かのとのい,やふる,,　,神よし 大みやう ちう日  さひらきよし
«1708-1490»,«暦日2»,六〳,みつのえね,あやふ,木,八せんのはしめ,神よし きしく ふく日  くらたてよし
«1708-1500»,«暦日0»,七〳,みつのとのうし,なる,,ま日,きこ  つめとりよし
«1708-1510»,«暦日2»,八〳,きのえとら,おさん,水,　,めつもん  つめとりよし
«1708-1520»,«暦日0»,九〳,きのとのう,ひらく,,　,神よし  さひらきよし
«1708-1530»,«暦日2»,十〳,ひのえたつ,とつ,土,ま日,大みやう ふく日
«1708-1540»,«暦日0»,十一〳,ひのとのみ,たつ,,　,●
«1708-1550»,«暦日2»,十二〳,つちのえむま,のそく,火,ま日,くゑ日
«1708-1560»,«暦日0»,十三〳,つちのとのひつし,みつ,,　,大みやう くゑ日
«1708-1570»,«暦日2»,十四〳,かのえさる,たいら,木,　,神よし 大みやう ちいみ 大くわ 地火
«1708-1580»,«暦日0»,十五〳,かのとのとり,さたん,,　,十し
«1708-1590»,«暦日2»,十六〳,みつのえいぬ,とる,水,ま日,ふく日
«1708-1600»,«暦日0»,十七〳,みつのとのい,やふる,,八せんのおはり,くゑ日 ちう日
«1708-1610»,«暦日2»,十八〳,きのえね,やふる,金,五月せついの一刻ニ入,●
«1708-1620»,«暦日0»,十九〳,きのとのうし,あやふ,,　,神よし  つめとりよし
«1708-1630»,«暦日2»,廿〳,ひのえとら,なる,火,　,きこ  つめとりよし
«1708-1640»,«暦日0»,廿一〳,ひのとのう,おさん,,　,ちいみ 大くわ ふく日
«1708-1650»,«暦日2»,廿二〳,つちのえたつ,ひらく,木,　,五む日  かまぬり 田うへよし
«1708-1660»,«暦日0»,廿三〳,つちのとのみ,とつ,,　,十し
«1708-1670»,«暦日2»,廿四〳,かのえむま,たつ,土,　,下しきうの時  むきかりよし
«1708-1680»,«暦日0»,廿五〳,かのとのひつし,のそく,,　,大みやう  ふねのり 井ほりよし
«1708-1690»,«暦日2»,廿六〳,みつのえさる,みつ,金,入梅,神よし 大みやう  くさかりよし
«1708-1700»,«暦日0»,廿七〳,みつのとのとり,たいら,,　,神よし 大みやう ふく日 めつもん 地火
«1708-1710»,«暦日2»,廿八〳,きのえいぬ,さたん,火,　, わたまし くらたてよし
«1708-1720»,«暦日0»,廿九〳,きのとのい,とる,,　,ちう日  むきかり 田うへよし
«1708-1730»,«月序»,五月,大,建,戊午,星宿　畢　月よう
«1708-1740»,«暦日2»,一〳,ひのえね,やふる,水,　,●
«1708-1750»,«暦日0»,二〳,ひのとのうし,あやふ,,　,さい下しき 神よし 大みやう ふく日  ものたち  つめとりよし
«1708-1760»,«暦日2»,三〳,つちのえとら,なる,土,　,きこ  みそすつくり  つめとりよし
«1708-1770»,«暦日0»,四〳,つちのとのう,おさん,,　,大みやう ちいみ 大くわ わうまう
«1708-1780»,«暦日2»,五〳,かのえたつ,ひらく,金,夏至五月中うしの六刻,きしく  けんふく かといてよし
«1708-1790»,«暦日0»,六〳,かのとのみ,とつ,,　,十し
«1708-1800»,«暦日2»,七〳,みつのえむま,たつ,木,　,大みやう 下しきうの時
«1708-1810»,«暦日0»,八〳,みつのとのひつし,のそく,,　,ふく日  田うへよし
«1708-1820»,«暦日2»,九〳,きのえさる,みつ,水,十方くれニ入,神よし 大みやう
«1708-1830»,«暦日0»,十〳,きのとのとり,たいら,,　,神よし めつもん 地火
«1708-1840»,«暦日2»,十一〳,ひのえいぬ,さたん,土,　,五む日  むきかりよし
«1708-1850»,«暦日0»,十二〳,ひのとのい,とる,,　,大みやう ちう日 ふく日
«1708-1860»,«暦日2»,十三〳,つちのえね,やふる,火,　,●
«1708-1870»,«暦日0»,十四〳,つちのとのうし,あやふ,,　, 田うへ  つめとりよし
«1708-1880»,«暦日2»,十五〳,かのえとら,なる,木,はんけしやう,きこ  井ほり  つめとりよし
«1708-1890»,«暦日0»,十六〳,かのとのう,おさん,,　,ちいみ 大くわ  ものたちよし
«1708-1900»,«暦日2»,十七〳,みつのえたつ,ひらく,水,　,大みやう 五む日
«1708-1910»,«暦日0»,十八〳,みつのとのみ,とつ,,天一天上,十し
«1708-1920»,«暦日2»,十九〳,きのえむま,たつ,金,　,天しや よろつよし
«1708-1930»,«暦日0»,廿〳,きのとのひつし,たつ,,六月せつたつの三刻ニ入,大みやう 五む日
«1708-1940»,«暦日2»,廿一〳,ひのえさる,のそく,火,　,神よし
«1708-1950»,«暦日0»,廿二〳,ひのとのとり,みつ,,　,神よし ちいみ  くさかりよし
«1708-1960»,«暦日2»,廿三〳,つちのえいぬ,たいら,木,　,大くわ ふく日 地火
«1708-1970»,«暦日0»,廿四〳,つちのとのい,さたん,,　,ちう日 ふく日  ふねのりよし
«1708-1980»,«暦日2»,廿五〳,かのえね,とる,土,初伏,きこ 下しきたつの時
«1708-1990»,«暦日0»,廿六〳,かのとのうし,やふる,,　,十し
«1708-2000»,«暦日2»,廿七〳,みつのえとら,あやふ,金,　,大みやう  けんふく  つめとりよし
«1708-2010»,«暦日0»,廿八〳,みつのとのう,なる,,　,神よし 天火 らうしやく
«1708-2020»,«暦日2»,廿九〳,きのえたつ,おさん,火,　,大みやう めつもん  わたましよし
«1708-2030»,«暦日0»,卅〳,きのとのみ,ひらく,,　,大みやう ちう日
«1708-2040»,«月序»,六月,小,建,己未,張宿　參　水よう
«1708-2050»,«暦日2»,一〳,ひのえむま,とつ,水,　,●
«1708-2060»,«暦日0»,二〳,ひのとのひつし,たつ,,とようむまの四刻ニ入,くゑ日
«1708-2070»,«暦日2»,三〳,つちのえさる,のそく,土,　,神よし きしく ふく日  たねまきよし
«1708-2080»,«暦日0»,四〳,つちのとのとり,みつ,,　,神よし 大みやう ちいみ ふく日
«1708-2090»,«暦日2»,五〳,かのえいぬ,たいら,金,六月中ひつしの初刻|中伏,大みやう 大くわ 地火
«1708-2100»,«暦日0»,六〳,かのとのい,さたん,,　,大みやう ちう日
«1708-2110»,«暦日2»,七〳,みつのえね,とる,木,八せんのはしめ,きこ 下しきたつの時
«1708-2120»,«暦日0»,八〳,みつのとのうし,やふる,,ま日,十し
«1708-2130»,«暦日2»,九〳,きのえとら,あやふ,水,　, やたて  つめとりよし
«1708-2140»,«暦日0»,十〳,きのとのう,なる,,　,神よし 天火 らうしやく
«1708-2150»,«暦日2»,十一〳,ひのえたつ,おさん,土,ま日,大みやう めつもん  けんふくよし
«1708-2160»,«暦日0»,十二〳,ひのとのみ,ひらく,,　,くゑ日 ちう日
«1708-2170»,«暦日2»,十三〳,つちのえむま,とつ,火,ま日,●
«1708-2180»,«暦日0»,十四〳,つちのとのひつし,たつ,,　,大みやう くゑ日 ふく日
