《0000》,# カンマ区切りテキスト形式です。
《0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《1940》,《暦日0》,十九／,かのとのひつし,たつ,,六月中むまの五刻,大みやう  かといて ふねのりよし
《1950》,《暦日2》,廿／,みつのえさる,のそく,金,　,神よし 大みやう  くさかりよし
《1960》,《暦日0》,廿一／,みつのとのとり,みつ,,　,神よし 大みやう ちいみ  みそすつくりよし
《1970》,《暦日2》,廿二／,きのえいぬ,たいら,火,　,大くわ 地火  わたましよし
《1980》,《暦日0》,廿三／,きのとのい,さたん,,　,ちう日
《1990》,《暦日2》,廿四／,ひのえね,とる,水,　,きこ 下しきたつの時
《2000》,《暦日0》,廿五／,ひのとのうし,やふる,,　,十し
《2010》,《暦日2》,廿六／,つちのえとら,あやふ,土,　,ふく日  たねまき  つめとりよし
《2020》,《暦日0》,廿七／,つちのとのう,なる,,　,大みやう ふく日 天火 らうしやく わうまう
《2030》,《暦日2》,廿八／,かのえたつ,おさん,金,中伏,めつもん  けんふくよし
《2040》,《暦日0》,廿九／,かのとのみ,ひらく,,　,ちう日  ものたちよし
《2050》,《月序》,七月,大,建,戊申,畢宿　室　火よう
《2060》,《暦日2》,一／,みつのえむま,とつ,木,　,●
《2070》,《暦日0》,二／,みつのとのひつし,たつ,,　, たねまきよし
《2080》,《暦日2》,三／,きのえさる,のそく,水,十方くれニ入,神よし 大みやう
《2090》,《暦日0》,四／,きのとのとり,みつ,,　,神よし ちいみ
《2100》,《暦日2》,五／,ひのえいぬ,みつ,土,立秋七月せつとりの二刻ニ入,五む日
《2110》,《暦日0》,六／,ひのとのい,たいら,,　,大みやう ちう日 めつもん 地火
《2120》,《暦日2》,七／,つちのえね,さたん,火,　, けんふく くさかりよし
《2130》,《暦日0》,八／,つちのとのうし,とる,,　,●
《2140》,《暦日2》,九／,かのえとら,やふる,木,末伏,ふく日  つめとりよし
《2150》,《暦日0》,十／,かのとのう,あやふ,,　,神よし
《2160》,《暦日2》,十一／,みつのえたつ,なる,水,　,きしく 大みやう 五む日 ちいみ
《2170》,《暦日0》,十二／,みつのとのみ,おさん,,天一天上,大くわ ちう日  たねまきよし
《2180》,《暦日2》,十三／,きのえむま,ひらく,金,　,ふく日 天火 らうしやく わうまう  かといてよし
《2190》,《暦日0》,十四／,きのとのひつし,とつ,,　,大みやう 五む日
《2200》,《暦日2》,十五／,ひのえさる,たつ,火,　,神よし 下しきみの時  入学よし
《2210》,《暦日0》,十六／,ひのとのとり,のそく,,　,十し
《2220》,《暦日2》,十七／,つちのえいぬ,みつ,木,　, くらたて かまぬりよし
《2230》,《暦日0》,十八／,つちのとのい,たいら,,　,神よし ちう日 めつもん 地火
《2240》,《暦日2》,十九／,かのえね,さたん,土,　,神よし ふく日
《2250》,《暦日0》,廿／,かのとのうし,とる,,七月中いの七刻,●
《2260》,《暦日2》,廿一／,みつのえとら,やふる,金,　,大みやう  やたて  つめとりよし
《2270》,《暦日0》,廿二／,みつのとのう,あやふ,,　,神よし  わたまし みそすつくりよし
《2280》,《暦日2》,廿三／,きのえたつ,なる,火,　,大みやう くゑ日 ちいみ ふく日
《2290》,《暦日0》,廿四／,きのとのみ,おさん,,　,神よし 大みやう 大くわ ちう日  けんふくよし
《2300》,《暦日2》,廿五／,ひのえむま,ひらく,水,　,神よし 大みやう 天火 らうしやく  かといてよし
《2310》,《暦日0》,廿六／,ひのとのひつし,とつ,,　,神よし  いちたちよし
《2320》,《暦日2》,廿七／,つちのえさる,たつ,土,　,天しや よろつよし
《2330》,《暦日0》,廿八／,つちのとのとり,のそく,,　,十し
《2340》,《暦日2》,廿九／,かのえいぬ,みつ,金,　,大みやう ふく日
《2350》,《暦日0》,卅／,かのとのい,たいら,,　,神よし 大みやう ちう日 めつもん 地火
《2360》,《月序》,八月,大,建,己酉,觜宿　奎　木よう
《2370》,《暦日2》,一／,みつのえね,さたん,木,八せんのはしめ,神よし  くらたてよし
《2380》,《暦日0》,二／,みつのとのうし,とる,,二百十日/ま日,●
《2390》,《暦日2》,三／,きのえとら,やふる,水,　,ふく日  かといて  つめとりよし
《2400》,《暦日0》,四／,きのとのう,あやふ,,　,神よし  くらたて かまぬりよし
《2410》,《暦日2》,五／,ひのえたつ,なる,土,ま日,大みやう ちいみ  くさかりよし
《2420》,《暦日0》,六／,ひのとのみ,なる,,八月せつとらの四刻ニ入,十し
《2430》,《暦日2》,七／,つちのえむま,おさん,火,ま日,めつもん
《2440》,《暦日0》,八／,つちのとのひつし,ひらく,,　,●
《2450》,《暦日2》,九／,かのえさる,とつ,木,　,神よし きしく 大みやう  入学よし
《2460》,《暦日0》,十／,かのとのとり,たつ,,　,大みやう くゑ日 ふく日 天火 らうしやく 下しきむまの時
《2470》,《暦日2》,十一／,みつのえいぬ,のそく,水,ま日,ちいみ  たねまきよし
《2480》,《暦日0》,十二／,みつのとのい,みつ,,二百廿日/八せんのおはり,ちう日  いちたちよし
《2490》,《暦日2》,十三／,きのえね,たいら,金,　,大くわ 地火  わたましよし
《2500》,《暦日0》,十四／,きのとのうし,さたん,,　,神よし ふく日  つめとりよし
《2510》,《暦日2》,十五／,ひのえとら,とる,火,　,きこ  つめとりよし
《2520》,《暦日0》,十六／,ひのとのう,やふる,,　, 田かりよし
《2530》,《暦日2》,十七／,つちのえたつ,あやふ,木,社日,五む日  みそすつくりよし
《2540》,《暦日0》,十八／,つちのとのみ,なる,,　,十し
《2550》,《暦日2》,十九／,かのえむま,おさん,土,　,めつもん  竹木こりよし
《2560》,《暦日0》,廿／,かのとのひつし,ひらく,,　,●
《2570》,《暦日2》,廿一／,みつのえさる,とつ,金,秋分八月中みの一刻,神よし 大みやう
《2580》,《暦日0》,廿二／,みつのとのとり,たつ,,　,大みやう 天火 らうしやく 下しきむまの時
《2590》,《暦日2》,廿三／,きのえいぬ,のそく,火,ひかんニなる,ちいみ わうまう  竹木こりよし
《2600》,《暦日0》,廿四／,きのとのい,みつ,,　,ちう日 ふく日  入学よし
《2610》,《暦日2》,廿五／,ひのえね,たいら,水,　,大くわ 地火
《2620》,《暦日0》,廿六／,ひのとのうし,さたん,,　,神よし 大みやう  ものたち  つめとりよし
《2630》,《暦日2》,廿七／,つちのえとら,とる,土,　,きこ  田かり  つめとりよし
《2640》,《暦日0》,廿八／,つちのとのう,やふる,,　,大みやう
《2650》,《暦日2》,廿九／,かのえたつ,あやふ,金,　
《2660》,《暦日0》,卅／,かのとのみ,なる,,　,十し
《2670》,《月序》,九月,小,建,庚戌,參宿　胃　土よう
《2680》,《暦日2》,一／,みつのえむま,おさん,木,　,大みやう めつもん
《2690》,《暦日0》,二／,みつのとのひつし,ひらく,,　,●
《2700》,《暦日2》,三／,きのえさる,とつ,水,十方くれニ入,神よし 大みやう  竹木こり 田かりよし
《2710》,《暦日0》,四／,きのとのとり,たつ,,　,ふく日 天火 らうしやく 下しきむまの時
