«1693-0000»,【 カンマ区切りテキスト形式です。】
«1693-2150»,«暦日0»,九〳,かのとのい,たいら,,　,神よし 大みやう ちう日 めつもん 地火
«1693-2160»,«暦日2»,十〳,みつのえね,さたん,木,八せんのはしめ,神よし  くらたてよし
«1693-2170»,«暦日0»,十一〳,みつのとのうし,とる,,ま日,●
«1693-2180»,«暦日2»,十二〳,きのえとら,やふる,水,　,ふく日  かといて  つめとりよし
«1693-2190»,«暦日0»,十三〳,きのとのう,あやふ,,　,わうまう  くらたて かまぬりよし
«1693-2200»,«暦日2»,十四〳,ひのえたつ,なる,土,ま日,大みやう ちいみ  くさかりよし
«1693-2210»,«暦日0»,十五〳,ひのとのみ,おさん,,　,大くわ ちう日  ものたちよし
«1693-2220»,«暦日2»,十六〳,つちのえむま,ひらく,火,ま日,神よし 天火 らうしやく  入学よし
«1693-2230»,«暦日0»,十七〳,つちのとのひつし,とつ,,　,神よし 大みやう  みそすつくりよし
«1693-2240»,«暦日2»,十八〳,かのえさる,たつ,木,　,大みやう くゑ日 ふく日 下しきみの時
«1693-2250»,«暦日0»,十九〳,かのとのとり,のそく,,　,十し
«1693-2260»,«暦日2»,廿〳,みつのえいぬ,みつ,水,七月中たつの六刻|ま日
«1693-2270»,«暦日0»,廿一〳,みつのとのい,たいら,,八せんのおはり,ちう日 めつもん 地火
«1693-2280»,«暦日2»,廿二〳,きのえね,さたん,金,　,ふく日  ふねのりよし
«1693-2290»,«暦日0»,廿三〳,きのとのうし,とる,,　,●
«1693-2300»,«暦日2»,廿四〳,ひのえとら,やふる,火,　, けんふく  つめとりよし
«1693-2310»,«暦日0»,廿五〳,ひのとのう,あやふ,,　,神よし  わたましよし
«1693-2320»,«暦日2»,廿六〳,つちのえたつ,なる,木,　,五む日 ちいみ  いちたちよし
«1693-2330»,«暦日0»,廿七〳,つちのとのみ,おさん,,　,神よし 大くわ ちう日
«1693-2340»,«暦日2»,廿八〳,かのえむま,ひらく,土,　,神よし ふく日 天火 らうしやく
«1693-2350»,«暦日0»,廿九〳,かのとのひつし,とつ,,　,大みやう  ものたちよし
«1693-2360»,«月序»,八月,大,建,辛酉,婁宿　畢　月よう
«1693-2370»,«暦日2»,一〳,みつのえさる,たつ,金,　,神よし 大みやう 下しきみの時
«1693-2380»,«暦日0»,二〳,みつのとのとり,のそく,,二百十日,十し
«1693-2390»,«暦日2»,三〳,きのえいぬ,みつ,火,　,ふく日  くらたてよし
«1693-2400»,«暦日0»,四〳,きのとのい,たいら,,　,ちう日 めつもん 地火
«1693-2410»,«暦日2»,五〳,ひのえね,さたん,水,　,きしく  田かりよし
«1693-2420»,«暦日0»,六〳,ひのとのうし,さたん,,八月せつひつしの三刻ニ入,神よし 大みやう  ものたち  つめとりよし
«1693-2430»,«暦日2»,七〳,つちのえとら,とる,土,　,きこ  田かり  つめとりよし
«1693-2440»,«暦日0»,八〳,つちのとのう,やふる,,　,大みやう
«1693-2450»,«暦日2»,九〳,かのえたつ,あやふ,金,　
«1693-2460»,«暦日0»,十〳,かのとのみ,なる,,　,十し
«1693-2470»,«暦日2»,十一〳,みつのえむま,おさん,木,　,大みやう めつもん
«1693-2480»,«暦日0»,十二〳,みつのとのひつし,ひらく,,二百廿日,●
«1693-2490»,«暦日2»,十三〳,きのえさる,とつ,水,十方くれニ入,神よし 大みやう  竹木こり 田かりよし
«1693-2500»,«暦日0»,十四〳,きのとのとり,たつ,,　,ふく日 天火 らうしやく 下しきむまの時
«1693-2510»,«暦日2»,十五〳,ひのえいぬ,のそく,土,　,さい下しき 五む日 ちいみ
«1693-2520»,«暦日0»,十六〳,ひのとのい,みつ,,　,大みやう ちう日  入学よし
«1693-2530»,«暦日2»,十七〳,つちのえね,たいら,火,社日,大くわ 地火
«1693-2540»,«暦日0»,十八〳,つちのとのうし,さたん,,　, かまぬり  つめとりよし
«1693-2550»,«暦日2»,十九〳,かのえとら,とる,木,　,きこ  つめとりよし
«1693-2560»,«暦日0»,廿〳,かのとのう,やふる,,　,ふく日  田かりよし
«1693-2570»,«暦日2»,廿一〳,みつのえたつ,あやふ,水,秋分八月中いぬの初刻,大みやう 五む日
«1693-2580»,«暦日0»,廿二〳,みつのとのみ,なる,,天一天上,十し
«1693-2590»,«暦日2»,廿三〳,きのえむま,おさん,金,ひかんニなる,めつもん わうまう
«1693-2600»,«暦日0»,廿四〳,きのとのひつし,ひらく,,　,●
«1693-2610»,«暦日2»,廿五〳,ひのえさる,とつ,火,　,神よし
«1693-2620»,«暦日0»,廿六〳,ひのとのとり,たつ,,　,天火 らうしやく 下しきむまの時
«1693-2630»,«暦日2»,廿七〳,つちのえいぬ,のそく,木,　,ちいみ  ふねのり 田かりよし
«1693-2640»,«暦日0»,廿八〳,つちのとのい,みつ,,　,神よし ちう日  いちたちよし
«1693-2650»,«暦日2»,廿九〳,かのえね,たいら,土,　,神よし 大くわ 地火
«1693-2660»,«暦日0»,卅〳,かのとのうし,さたん,,　,神よし 五む日 ふく日  ものたち  つめとりよし
«1693-2670»,«月序»,九月,小,建,壬戌,胃宿　參　水よう
«1693-2680»,«暦日2»,一〳,みつのえとら,とる,金,　,大みやう きこ  やたて  つめとりよし
«1693-2690»,«暦日0»,二〳,みつのとのう,やふる,,　, くらたて 田かりよし
«1693-2700»,«暦日2»,三〳,きのえたつ,あやふ,火,　,きしく 大みやう  けんふく わたましよし
«1693-2710»,«暦日0»,四〳,きのとのみ,なる,,　,十し
«1693-2720»,«暦日2»,五〳,ひのえむま,おさん,水,　,大みやう めつもん
«1693-2730»,«暦日0»,六〳,ひのとのひつし,ひらく,,　,●
«1693-2740»,«暦日2»,七〳,つちのえさる,ひらく,土,かん露九月せつねの五刻ニ入,天しや よろつよし
«1693-2750»,«暦日0»,八〳,つちのとのとり,とつ,,　,神よし 大みやう ふく日  たねまきよし
«1693-2760»,«暦日2»,九〳,かのえいぬ,たつ,金,　,大みやう くゑ日
«1693-2770»,«暦日0»,十〳,かのとのい,のそく,,　,神よし 大みやう ちう日  田かりよし
«1693-2780»,«暦日2»,十一〳,みつのえね,みつ,木,八せんのはしめ,神よし きこ 天火 らうしやく
«1693-2790»,«暦日0»,十二〳,みつのとのうし,たいら,,ま日,十し
«1693-2800»,«暦日2»,十三〳,きのえとら,さたん,水,　,●
«1693-2810»,«暦日0»,十四〳,きのとのう,とる,,　,神よし  かまぬり ものたちよし
«1693-2820»,«暦日2»,十五〳,ひのえたつ,やふる,土,ま日,大みやう  かとたてよし
«1693-2830»,«暦日0»,十六〳,ひのとのみ,あやふ,,　,ちいみ ちう日 下しきひつしの時
«1693-2840»,«暦日2»,十七〳,つちのえむま,なる,火,ま日,神よし ふく日
«1693-2850»,«暦日0»,十八〳,つちのとのひつし,おさん,,　,神よし 大みやう 大くわ ふく日  かといてよし
«1693-2860»,«暦日2»,十九〳,かのえさる,ひらく,木,とようとらの六刻ニ入,大みやう
«1693-2870»,«暦日0»,廿〳,かのとのとり,とつ,,　,神よし 大みやう  いちたちよし
«1693-2880»,«暦日2»,廿一〳,みつのえいぬ,たつ,水,ま日, 田かりよし
«1693-2890»,«暦日0»,廿二〳,みつのとのい,のそく,,九月中うの二刻|八せんのおはり,ちう日  むきまきよし
«1693-2900»,«暦日2»,廿三〳,きのえね,みつ,金,　,きこ 天火 らうしやく
«1693-2910»,«暦日0»,廿四〳,きのとのうし,たいら,,　,十し
