《0000》,# カンマ区切りテキスト形式です。
《0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《0020》,# ・表の区画内での改行は“/”で表記します。
《2060》,《暦日1》,廿／,きのえね,さたん,金,　,天おん ふく日  ふねのりよし
《2070》,《節中》,立秋七月せつむまの一刻ニ入日の出より日入まて,昼五十七刻余/夜四十二刻余,六より六まて,昼六十二刻余/夜三十七刻余
《2080》,《暦日1》,廿一／,きのとのうし,とる,金,　,●
《2090》,《暦日2》,廿二／,ひのえとら,やふる,火,　,天おん  けんふく  つめとりよし
《2100》,《暦日0》,廿三／,ひのとのう,あやふ,,　,神よし 天おん 月とく  わたましよし
《2110》,《暦日2》,廿四／,つちのえたつ,なる,木,　,天おん 母倉 五む日 ちいみ  いちたちよし
《2120》,《暦日0》,廿五／,つちのとのみ,おさん,,　,神よし 大くわ ちう日
《2130》,《暦日2》,廿六／,かのえむま,ひらく,土,末伏,神よし ふく日 天火 らうしやく
《2140》,《暦日0》,廿七／,かのとのひつし,とつ,,　,大みやう 母倉  ものたちよし
《2150》,《暦日2》,廿八／,みつのえさる,たつ,金,　,大みやう 月とく わうまう 下しきみの時
《2160》,《暦日0》,廿九／,みつのとのとり,のそく,,　,十し
《2170》,《暦日1》,卅／,きのえいぬ,みつ,火,　,母倉 ふく日  くらたてよし
《2180》,《月序》,七月,小,建,甲申,虛宿　女　土よう
《2190》,《暦日1》,一／,きのとのい,たいら,火,　,ちう日 めつもん 地火
《2200》,《暦日2》,二／,ひのえね,さたん,水,　, 田かりよし
《2210》,《暦日0》,三／,ひのとのうし,とる,,　,●
《2220》,《暦日2》,四／,つちのえとら,やふる,土,　, たねまき  つめとりよし
《2230》,《暦日0》,五／,つちのとのう,あやふ,,　,神よし 大みやう 天おん  みそすつくりよし
《2240》,《節中》,処暑七月中さるの六刻日の出より日入まて,昼五十五刻余/夜四十四刻余,六より六まて,昼六十刻余/夜三十九刻余
《2250》,《暦日2》,六／,かのえたつ,なる,金,　,天おん 母倉 ちいみ ふく日  かといてよし
《2260》,《暦日0》,七／,かのとのみ,おさん,,　,天おん 大くわ ちう日
《2270》,《暦日2》,八／,みつのえむま,ひらく,木,　,神よし 大みやう 天おん 月とく 天火 らうしやく
《2280》,《暦日0》,九／,みつのとのひつし,とつ,,　,天おん 母倉
《2290》,《暦日2》,十／,きのえさる,たつ,水,十方くれニ入,神よし 大みやう ふく日 下しきみの時
《2300》,《暦日0》,十一／,きのとのとり,のそく,,　,十し
《2310》,《暦日2》,十二／,ひのえいぬ,みつ,土,　,さい下しき 母倉 五む日
《2320》,《暦日0》,十三／,ひのとのい,たいら,,　,大みやう 月とく ちう日 めつもん 地火
《2330》,《暦日1》,十四／,つちのえね,さたん,火,　,きしく  けんふく くさかりよし
《2340》,《食記》,凡そく皆既
《2350》,《暦日1》,十五／,つちのとのうし,とる,火,　,●
《2360》,《暦日2》,十六／,かのえとら,やふる,木,二百十日,ふく日  つめとりよし
《2370》,《暦日0》,十七／,かのとのう,あやふ,,　,神よし
《2380》,《暦日2》,十八／,みつのえたつ,なる,水,　,大みやう 母倉 月とく 五む日 ちいみ
《2390》,《暦日0》,十九／,みつのとのみ,おさん,,天一天上,大くわ ちう日  たねまきよし
《2400》,《暦日1》,廿／,きのえむま,おさん,金,　,めつもん
《2410》,《節中》,白露八月せついの三刻ニ入日の出より日入まて,昼五十二刻余/夜四十七刻余,六より六まて,昼五十七刻余/夜四十二刻余
《2420》,《暦日1》,廿一／,きのとのひつし,ひらく,金,　,●
《2430》,《暦日2》,廿二／,ひのえさる,とつ,火,　,神よし
