«1724-0000»,【 カンマ区切りテキスト形式です。】
«1724-2310»,«暦日0»,廿八〳,つちのとのい,たいら,,　,神よし ちう日 めつもん 地火
«1724-2320»,«暦日2»,廿九〳,かのえね,さたん,土,　,神よし ふく日
«1724-2330»,«暦日0»,卅〳,かのとのうし,とる,,　,●
«1724-2340»,«月序»,七月,小,建,壬申,鬼宿　胃　土よう
«1724-2350»,«暦日2»,一〳,みつのえとら,やふる,金,　,大みやう  やたて  つめとりよし
«1724-2360»,«暦日0»,二〳,みつのとのう,あやふ,,　,神よし  わたまし みそすつくりよし
«1724-2370»,«暦日2»,三〳,きのえたつ,なる,火,七月中いぬの五刻,大みやう くゑ日 ちいみ ふく日
«1724-2380»,«暦日0»,四〳,きのとのみ,おさん,,　,神よし 大みやう 大くわ ちう日  けんふくよし
«1724-2390»,«暦日2»,五〳,ひのえむま,ひらく,水,　,神よし 大みやう 天火 らうしやく  かといてよし
«1724-2400»,«暦日0»,六〳,ひのとのひつし,とつ,,　,神よし  いちたちよし
«1724-2410»,«暦日2»,七〳,つちのえさる,たつ,土,　,天しや よろつよし
«1724-2420»,«暦日0»,八〳,つちのとのとり,のそく,,　,十し
«1724-2430»,«暦日2»,九〳,かのえいぬ,みつ,金,　,大みやう ふく日
«1724-2440»,«暦日0»,十〳,かのとのい,たいら,,　,神よし 大みやう ちう日 めつもん 地火
«1724-2450»,«暦日2»,十一〳,みつのえね,さたん,木,八せんのはしめ,神よし  くらたてよし
«1724-2460»,«暦日0»,十二〳,みつのとのうし,とる,,ま日,●
«1724-2470»,«暦日2»,十三〳,きのえとら,やふる,水,　,ふく日  かといて  つめとりよし
«1724-2480»,«暦日0»,十四〳,きのとのう,あやふ,,　,神よし  くらたて かまぬりよし
«1724-2490»,«暦日2»,十五〳,ひのえたつ,なる,土,二百十日|ま日,大みやう ちいみ  くさかりよし
«1724-2500»,«暦日0»,十六〳,ひのとのみ,おさん,,　,さい下しき 大くわ ちう日  ものたちよし
«1724-2510»,«暦日2»,十七〳,つちのえむま,ひらく,火,ま日,神よし 天火 らうしやく  入学よし
«1724-2520»,«暦日0»,十八〳,つちのとのひつし,とつ,,　,神よし 大みやう  みそすつくりよし
«1724-2530»,«暦日2»,十九〳,かのえさる,とつ,木,八月せつうしの二刻ニ入,神よし 大みやう  入学よし
«1724-2540»,«暦日0»,廿〳,かのとのとり,たつ,,　,大みやう くゑ日 ふく日 天火 らうしやく 下しきむまの時
«1724-2550»,«暦日2»,廿一〳,みつのえいぬ,のそく,水,ま日,ちいみ  たねまきよし
«1724-2560»,«暦日0»,廿二〳,みつのとのい,みつ,,八せんのおはり,ちう日  いちたちよし
«1724-2570»,«暦日2»,廿三〳,きのえね,たいら,金,　,大くわ 地火  わたましよし
«1724-2580»,«暦日0»,廿四〳,きのとのうし,さたん,,　,神よし ふく日  つめとりよし
«1724-2590»,«暦日2»,廿五〳,ひのえとら,とる,火,二百廿日,きこ  つめとりよし
«1724-2600»,«暦日0»,廿六〳,ひのとのう,やふる,,　, 田かりよし
«1724-2610»,«暦日2»,廿七〳,つちのえたつ,あやふ,木,　,五む日  みそすつくりよし
«1724-2620»,«暦日0»,廿八〳,つちのとのみ,なる,,　,十し
«1724-2630»,«暦日1»,廿九〳,かのえむま,おさん,土,　,めつもん  竹木こりよし
«1724-2640»,«月序»,八月,大,建,癸酉,柳宿　昴　日よう
«1724-2650»,«暦日1»,一〳,かのとのひつし,ひらく,土,　,●
«1724-2660»,«暦日2»,二〳,みつのえさる,とつ,金,　,神よし 大みやう
«1724-2670»,«暦日0»,三〳,みつのとのとり,たつ,,　,大みやう 天火 らうしやく 下しきむまの時
«1724-2680»,«暦日2»,四〳,きのえいぬ,のそく,火,　,ちいみ  竹木こりよし
«1724-2690»,«暦日0»,五〳,きのとのい,みつ,,秋分八月中うの七刻,ちう日 ふく日  入学よし
«1724-2700»,«暦日2»,六〳,ひのえね,たいら,水,　,きしく 大くわ 地火
«1724-2710»,«暦日0»,七〳,ひのとのうし,さたん,,ひかんニなる,大みやう わうまう  ものたち  つめとりよし
«1724-2720»,«暦日2»,八〳,つちのえとら,とる,土,社日,きこ  田かり  つめとりよし
«1724-2730»,«暦日0»,九〳,つちのとのう,やふる,,　,大みやう
«1724-2740»,«暦日2»,十〳,かのえたつ,あやふ,金,　
«1724-2750»,«暦日0»,十一〳,かのとのみ,なる,,　,十し
«1724-2760»,«暦日2»,十二〳,みつのえむま,おさん,木,　,大みやう めつもん
«1724-2770»,«暦日0»,十三〳,みつのとのひつし,ひらく,,　,●
«1724-2780»,«暦日2»,十四〳,きのえさる,とつ,水,十方くれニ入,神よし 大みやう  竹木こり 田かりよし
«1724-2790»,«暦日0»,十五〳,きのとのとり,たつ,,　,ふく日 天火 らうしやく 下しきむまの時
«1724-2800»,«暦日2»,十六〳,ひのえいぬ,のそく,土,　,五む日 ちいみ
«1724-2810»,«暦日0»,十七〳,ひのとのい,みつ,,　,大みやう ちう日  入学よし
«1724-2820»,«暦日2»,十八〳,つちのえね,たいら,火,　,大くわ 地火
«1724-2830»,«暦日0»,十九〳,つちのとのうし,さたん,,　, かまぬり  つめとりよし
«1724-2840»,«暦日2»,廿〳,かのえとら,さたん,木,かん露九月せつむまの四刻ニ入,●
«1724-2850»,«暦日0»,廿一〳,かのとのう,とる,,　,くゑ日
«1724-2860»,«暦日2»,廿二〳,みつのえたつ,やふる,水,　,大みやう 五む日 くゑ日
«1724-2870»,«暦日0»,廿三〳,みつのとのみ,あやふ,,天一天上,くゑ日 ちいみ ちう日 下しきひつしの時
«1724-2880»,«暦日2»,廿四〳,きのえむま,なる,金,　,くゑ日
