«1817-0000»,【 カンマ区切りテキスト形式です。】
«1817-0010»,【 ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。】
«1817-0020»,【 ・表の区画内での改行は“|”で表記します。】
«1817-0030»,【 ・«行番号»とその次のカラム(«暦首»など)は表成型に用いますので削除しないでください。】
«1817-0040»,【 ・カンマ","を追加・削除すると、その行が表成型できない場合があります。】
«1817-0050»,【 外部リンク　】
«1817-0060»,【 ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546786/52 ～ 56】
«1817-0070»,【 ・hosi.org　 : http://hosi.org:3000/Note/1817h　(翻刻編集終了データを表成型して表示します)】
«1817-0080»,【 　　　　　　 　http://hosi.org:3000/Note/1817ht (翻刻編集中データを表成型して表示します)】
«1817-0090»,【 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png 】
«1817-0100»,«版元»,出版地○○,出版元□□□,　
«1817-1290»,«節中»,小満四月中今暁とらの一刻日の出より日入まて,昼五十八刻余|夜四十一刻半余,六より六まて,昼六十四刻|夜三十六刻
«1817-1300»,«暦日2»,九〳,みつのえむま,のそく,木,　,神よし 大みやう 天おん ふく日
«1817-1310»,«暦日0»,十〳,みつのとのひつし,みつ,,　,くゑ日
«1817-1320»,«暦日2»,十一〳,きのえさる,たいら,水,十方くれニ入,神よし 大みやう ちいみ 大くわ 地火
«1817-1330»,«暦日0»,十二〳,きのとのとり,さたん,,　,十し
«1817-1340»,«暦日2»,十三〳,ひのえいぬ,とる,土,　,五む日 ふく日  くさかりよし
«1817-1350»,«暦日0»,十四〳,ひのとのい,やふる,,　,大みやう ちう日
«1817-1360»,«暦日2»,十五〳,つちのえね,あやふ,火,　,きしく  けんふくよし
«1817-1370»,«暦日0»,十六〳,つちのとのうし,なる,,　,きこ  つめとりよし
«1817-1380»,«暦日2»,十七〳,かのえとら,おさん,木,　,さい下しき 母倉 月とく めつもん  さひらき  つめとりよし
«1817-1390»,«暦日0»,十八〳,かのとのう,ひらく,,　,神よし 母倉  やたて ものたちよし
«1817-1400»,«暦日2»,十九〳,みつのえたつ,とつ,水,　,大みやう 五む日 ふく日
«1817-1410»,«暦日0»,廿〳,みつのとのみ,たつ,,天一天上,●
«1817-1420»,«暦日2»,廿一〳,きのえむま,のそく,金,　,天しや よろつよし
«1817-1430»,«暦日0»,廿二〳,きのとのひつし,みつ,,　,大みやう 五む日 くゑ日
«1817-1440»,«暦日1»,廿三〳,ひのえさる,みつ,火,　,神よし 月とく  入学 いちたちよし
«1817-1450»,«節中»,芒種五月せつたつの七刻ニ入日の出より日入まて,昼五十九刻半|夜四十刻半,六より六まて,昼六十五刻余|夜三十四刻半余
«1817-1460»,«暦日1»,廿四〳,ひのとのとり,たいら,火,　,神よし ふく日 めつもん 地火
«1817-1470»,«暦日2»,廿五〳,つちのえいぬ,さたん,木,　, かまぬり 田うへよし
«1817-1480»,«暦日0»,廿六〳,つちのとのい,とる,,　,神よし ちう日
«1817-1490»,«暦日2»,廿七〳,かのえね,やふる,土,　,●
«1817-1500»,«暦日0»,廿八〳,かのとのうし,あやふ,,　,神よし 月とく 五む日  つめとりよし
«1817-1510»,«暦日2»,廿九〳,みつのえとら,なる,金,入梅,大みやう 母倉 きこ  くさかり  つめとりよし
«1817-1520»,«暦日0»,卅〳,みつのとのう,おさん,,　,母倉 ちいみ 大くわ ふく日
«1817-1530»,«月序»,五月,小,建,丙午,胃宿　虛　日よう
«1817-1540»,«暦日2»,一〳,きのえたつ,ひらく,火,　,大みやう  むきかり 田うへよし
«1817-1550»,«暦日0»,二〳,きのとのみ,とつ,,　,十し
«1817-1560»,«暦日2»,三〳,ひのえむま,たつ,水,　,大みやう くゑ日 下しきうの時
«1817-1570»,«暦日0»,四〳,ひのとのひつし,のそく,,　,神よし ふく日
