《1766-0000》,# カンマ区切りテキスト形式です。
《1766-0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《1766-0020》,# ・表の区画内での改行は“/”で表記します。
《1766-0030》,# ・《行番号》とその次のカラム(《暦首》など)は表成型に用いますので削除しないでください。
《1766-0040》,# ・カンマ","を追加・削除すると、その行が表成型できない場合があります。
《1766-0050》,# 外部リンク
《1766-0060》,# ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546785/101 ～ 105
《1766-0070》,# ・hosi.org　 : http://hosi.org:3000/Note/1766g　(GitHub上データを表成型)
《1766-0080》,# 　　　　　　 　http://hosi.org:3000/Note/1766h　(翻刻編集データを表成型 - 未実装)
《1766-0090》,# 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png
《1766-0100》,《版元》,出版地○○,出版元□□□,　
《1766-1690》,《節中》,夏至五月中今暁うしの一刻日の出より日入まて,昼六十刻/夜四十刻,六より六まて,昼六十五刻/夜三十五刻
《1766-1700》,《暦日1》,十七／,きのとのとり,たいら,水,　,神よし めつもん 地火
《1766-1710》,《暦日2》,十八／,ひのえいぬ,さたん,土,　,月とく 五む日  むきかりよし
《1766-1720》,《暦日0》,十九／,ひのとのい,とる,,　,大みやう ちう日 ふく日
《1766-1730》,《暦日2》,廿／,つちのえね,やふる,火,　,●
《1766-1740》,《暦日0》,廿一／,つちのとのうし,あやふ,,　, 田うへ  つめとりよし
《1766-1750》,《暦日2》,廿二／,かのえとら,なる,木,　,母倉 きこ  井ほり  つめとりよし
《1766-1760》,《暦日0》,廿三／,かのとのう,おさん,,　,母倉 月とく ちいみ 大くわ  ものたちよし
《1766-1770》,《暦日2》,廿四／,みつのえたつ,ひらく,水,　,大みやう 五む日
《1766-1780》,《暦日0》,廿五／,みつのとのみ,とつ,,天一天上,十し
《1766-1790》,《暦日2》,廿六／,きのえむま,たつ,金,はんけしやう,天しや よろつよし
《1766-1800》,《暦日0》,廿七／,きのとのひつし,のそく,,　,大みやう 五む日  むきかりよし
《1766-1810》,《暦日2》,廿八／,ひのえさる,みつ,火,　,神よし きしく 月とく  入学 いちたちよし
《1766-1820》,《暦日0》,廿九／,ひのとのとり,たいら,,　,神よし ふく日 めつもん 地火
《1766-1830》,《暦日1》,卅／,つちのえいぬ,さたん,木,　, かまぬり 田うへよし
《1766-1840》,《月序》,六月,大,建,乙未,井宿　張　月よう
《1766-1850》,《暦日1》,一／,つちのとのい,さたん,木,　,月とく ちう日 ふく日  ふねのりよし
《1766-1860》,《節中》,小暑六月せつうの七刻ニ入日の出より日入まて,昼五十九刻余/夜四十刻余,六より六まて,昼六十四刻余/夜三十五刻余
《1766-1870》,《暦日2》,二／,かのえね,とる,土,　,きこ 下しきたつの時
《1766-1880》,《暦日0》,三／,かのとのうし,やふる,,　,十し
《1766-1890》,《暦日2》,四／,みつのえとら,あやふ,金,　,大みやう  けんふく  つめとりよし
《1766-1900》,《暦日0》,五／,みつのとのう,なる,,　,神よし 天火 らうしやく
《1766-1910》,《暦日2》,六／,きのえたつ,おさん,火,　,大みやう 月とく めつもん  わたましよし
《1766-1920》,《暦日0》,七／,きのとのみ,ひらく,,　,大みやう 母倉 ちう日
《1766-1930》,《暦日2》,八／,ひのえむま,とつ,水,　,●
《1766-1940》,《暦日0》,九／,ひのとのひつし,たつ,,　,くゑ日
《1766-1950》,《暦日2》,十／,つちのえさる,のそく,土,　,神よし ふく日  たねまきよし
《1766-1960》,《暦日0》,十一／,つちのとのとり,みつ,,　,神よし 大みやう 天おん 月とく ちいみ ふく日
《1766-1970》,《暦日2》,十二／,かのえいぬ,たいら,金,初伏,大みやう 天おん 大くわ 地火
《1766-1980》,《暦日0》,十三／,かのとのい,さたん,,とようみの七刻ニ入,さい下しき 大みやう 天おん ちう日
《1766-1990》,《暦日2》,十四／,みつのえね,とる,木,八せんのはしめ,天おん きこ 下しきたつの時
《1766-2000》,《暦日0》,十五／,みつのとのうし,やふる,,ま日,十し
《1766-2010》,《暦日1》,十六／,きのえとら,あやふ,水,　,母倉 月とく  やたて  つめとりよし
《1766-2020》,《節中》,大暑六月中むまの三刻日の出より日入まて,昼五十八刻余/夜四十一刻余,六より六まて,昼六十三刻余/夜三十六刻余
《1766-2030》,《暦日1》,十七／,きのとのう,なる,水,　,神よし 母倉 天火 らうしやく
《1766-2040》,《暦日2》,十八／,ひのえたつ,おさん,土,ま日,大みやう めつもん  けんふくよし
《1766-2050》,《暦日0》,十九／,ひのとのみ,ひらく,,　,くゑ日 ちう日
《1766-2060》,《暦日2》,廿／,つちのえむま,とつ,火,ま日,●
《1766-2070》,《暦日0》,廿一／,つちのとのひつし,たつ,,　,大みやう くゑ日 ふく日
《1766-2080》,《暦日2》,廿二／,かのえさる,のそく,木,中伏,神よし 大みやう  くさかりよし
《1766-2090》,《暦日0》,廿三／,かのとのとり,みつ,,　,神よし 大みやう ちいみ  ものたち 井ほりよし
《1766-2100》,《暦日2》,廿四／,みつのえいぬ,たいら,水,ま日,大くわ 地火 わうまう
《1766-2110》,《暦日0》,廿五／,みつのとのい,さたん,,八せんのおはり,ちう日
