《0000》,# カンマ区切りテキスト形式です。
《0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《0020》,# ・表の区画内での改行は“/”で表記します。
《2050》,《暦日0》,十九／,かのとのとり,みつ,,　,神よし 大みやう ちいみ  ものたち 井ほりよし
《2060》,《暦日2》,廿／,みつのえいぬ,たいら,水,ま日,大くわ 地火
《2070》,《暦日0》,廿一／,みつのとのい,さたん,,八せんのおはり,ちう日
《2080》,《暦日2》,廿二／,きのえね,とる,金,　,きしく 天おん 月とく きこ 下しきたつの時
《2090》,《暦日0》,廿三／,きのとのうし,やふる,,　,十し
《2100》,《暦日2》,廿四／,ひのえとら,あやふ,火,　,天おん  わたまし  つめとりよし
《2110》,《暦日0》,廿五／,ひのとのう,なる,,　,神よし 天おん 天火 らうしやく
《2120》,《暦日2》,廿六／,つちのえたつ,おさん,木,　,天おん 五む日 ふく日 めつもん
《2130》,《暦日0》,廿七／,つちのとのみ,ひらく,,　,くゑ日 ちう日 ふく日
《2140》,《暦日2》,廿八／,かのえむま,とつ,土,初伏/とよううの一刻ニ入,●
《2150》,《暦日0》,廿九／,かのとのひつし,たつ,,　,大みやう  かといて ふねのりよし
《2160》,《月序》,六月,大,建,乙未,尾宿　氐　土よう
《2170》,《暦日2》,一／,みつのえさる,のそく,金,　,神よし 大みやう  くさかりよし
《2180》,《暦日0》,二／,みつのとのとり,みつ,,　,神よし 大みやう ちいみ  みそすつくりよし
《2190》,《節中》,大暑六月中うの五刻日の出より日入まて,昼五十八刻余/夜四十一刻余,六より六まて,昼六十三刻余/夜三十六刻余
《2200》,《暦日2》,三／,きのえいぬ,たいら,火,　,月とく 大くわ 地火  わたましよし
《2210》,《暦日0》,四／,きのとのい,さたん,,　,ちう日
《2220》,《暦日2》,五／,ひのえね,とる,水,　,きこ 下しきたつの時
《2230》,《暦日0》,六／,ひのとのうし,やふる,,　,十し
《2240》,《暦日2》,七／,つちのえとら,あやふ,土,　,ふく日  たねまき  つめとりよし
《2250》,《暦日0》,八／,つちのとのう,なる,,　,神よし 大みやう 天おん 月とく ふく日 天火 らうしやく
《2260》,《暦日2》,九／,かのえたつ,おさん,金,中伏,天おん めつもん  けんふくよし
《2270》,《暦日0》,十／,かのとのみ,ひらく,,　,天おん 母倉 ちう日 わうまう  ものたちよし
《2280》,《暦日2》,十一／,みつのえむま,とつ,木,　,●
《2290》,《暦日0》,十二／,みつのとのひつし,たつ,,　,天おん  たねまきよし
《2300》,《暦日2》,十三／,きのえさる,のそく,水,十方くれニ入,神よし 大みやう 月とく
《2310》,《暦日0》,十四／,きのとのとり,みつ,,　,神よし ちいみ
《2320》,《暦日2》,十五／,ひのえいぬ,たいら,土,　,五む日 大くわ 地火
《2330》,《暦日0》,十六／,ひのとのい,さたん,,　,大みやう ちう日
《2340》,《暦日1》,十七／,つちのえね,さたん,火,　, けんふく くさかりよし
《2350》,《節中》,立秋七月せつむまの二刻ニ入日の出より日入まて,昼五十七刻余/夜四十二刻余,六より六まて,昼六十二刻余/夜三十七刻余
《2360》,《暦日1》,十八／,つちのとのうし,とる,火,　,●
《2370》,《暦日2》,十九／,かのえとら,やふる,木,末伏,さい下しき ふく日  つめとりよし
《2380》,《暦日0》,廿／,かのとのう,あやふ,,　,神よし
《2390》,《暦日2》,廿一／,みつのえたつ,なる,水,　,きしく 大みやう 母倉 月とく 五む日 ちいみ
《2400》,《暦日0》,廿二／,みつのとのみ,おさん,,天一天上,大くわ ちう日  たねまきよし
《2410》,《暦日2》,廿三／,きのえむま,ひらく,金,　,神よし ふく日 天火 らうしやく  かといてよし
《2420》,《暦日0》,廿四／,きのとのひつし,とつ,,　,大みやう 母倉 五む日
《2430》,《暦日2》,廿五／,ひのえさる,たつ,火,　,わうまう 下しきみの時  入学よし
《2440》,《暦日0》,廿六／,ひのとのとり,のそく,,　,十し
《2450》,《暦日2》,廿七／,つちのえいぬ,みつ,木,　,母倉  くらたて かまぬりよし
《2460》,《暦日0》,廿八／,つちのとのい,たいら,,　,神よし ちう日 めつもん 地火
《2470》,《暦日2》,廿九／,かのえね,さたん,土,　,神よし ふく日
《2480》,《暦日0》,卅／,かのとのうし,とる,,　,●
《2490》,《月序》,七月,小,建,丙申,箕宿　心　月よう
《2500》,《暦日2》,一／,みつのえとら,やふる,金,　,大みやう 月とく  やたて  つめとりよし
《2510》,《暦日0》,二／,みつのとのう,あやふ,,　,神よし  わたまし みそすつくりよし
《2520》,《節中》,処暑七月中さるの七刻日の出より日入まて,昼五十五刻余/夜四十四刻余,六より六まて,昼六十刻余/夜三十九刻余
《2530》,《暦日2》,三／,きのえたつ,なる,火,　,大みやう くゑ日 ちいみ ふく日
《2540》,《暦日0》,四／,きのとのみ,おさん,,　,神よし 大みやう 大くわ ちう日  けんふくよし
《2550》,《暦日2》,五／,ひのえむま,ひらく,水,　,神よし 大みやう 天火 らうしやく  かといてよし
《2560》,《暦日0》,六／,ひのとのひつし,とつ,,　,神よし 母倉 月とく  いちたちよし
《2570》,《暦日2》,七／,つちのえさる,たつ,土,　,天しや よろつよし
《2580》,《暦日0》,八／,つちのとのとり,のそく,,　,十し
《2590》,《暦日2》,九／,かのえいぬ,みつ,金,　,大みやう 天おん 母倉 ふく日
《2600》,《暦日0》,十／,かのとのい,たいら,,　,神よし 大みやう 天おん ちう日 めつもん 地火
《2610》,《暦日2》,十一／,みつのえね,さたん,木,八せんのはしめ,神よし 天おん 月とく  くらたてよし
《2620》,《暦日0》,十二／,みつのとのうし,とる,,ま日,●
《2630》,《暦日2》,十三／,きのえとら,やふる,水,二百十日,ふく日  かといて  つめとりよし
《2640》,《暦日0》,十四／,きのとのう,あやふ,,　,神よし  くらたて かまぬりよし
《2650》,《暦日2》,十五／,ひのえたつ,なる,土,ま日,大みやう 母倉 ちいみ  くさかりよし
《2660》,《暦日0》,十六／,ひのとのみ,おさん,,　,月とく 大くわ ちう日  ものたちよし
《2670》,《暦日1》,十七／,つちのえむま,おさん,火,ま日,めつもん
《2680》,《節中》,白露八月せついの四刻ニ入日の出より日入まて,昼五十二刻余/夜四十七刻余,六より六まて,昼五十七刻余/夜四十二刻余
《2690》,《暦日1》,十八／,つちのとのひつし,ひらく,火,　,●
《2700》,《暦日2》,十九／,かのえさる,とつ,木,　,神よし きしく 大みやう 月とく  入学よし
《2710》,《暦日0》,廿／,かのとのとり,たつ,,　,大みやう くゑ日 ふく日 天火 らうしやく 下しきむまの時
《2720》,《暦日2》,廿一／,みつのえいぬ,のそく,水,ま日,母倉 ちいみ  たねまきよし
《2730》,《暦日0》,廿二／,みつのとのい,みつ,,八せんのおはり,ちう日  いちたちよし
《2740》,《暦日2》,廿三／,きのえね,たいら,金,二百廿日,天おん 大くわ 地火  わたましよし
《2750》,《暦日0》,廿四／,きのとのうし,さたん,,　,神よし 天おん 母倉 月とく ふく日  つめとりよし
《2760》,《暦日2》,廿五／,ひのえとら,とる,火,　,天おん きこ  つめとりよし
《2770》,《暦日0》,廿六／,ひのとのう,やふる,,　,天おん  田かりよし
《2780》,《暦日2》,廿七／,つちのえたつ,あやふ,木,　,天おん 母倉 五む日  みそすつくりよし
《2790》,《暦日0》,廿八／,つちのとのみ,なる,,　,十し
《2800》,《暦日1》,廿九／,かのえむま,おさん,土,　,月とく めつもん  竹木こりよし
《2810》,《月序》,八月,小,建,丁酉,斗宿　尾　火よう
《2820》,《暦日1》,一／,かのとのひつし,ひらく,土,　,●
《2830》,《暦日2》,二／,みつのえさる,とつ,金,　,神よし 大みやう
《2840》,《暦日0》,三／,みつのとのとり,たつ,,ひかんニなる,大みやう 天火 らうしやく 下しきむまの時
《2850》,《暦日1》,四／,きのえいぬ,のそく,火,　,母倉 ちいみ  竹木こりよし
《2860》,《節中》,秋分八月中今暁とらの一刻日の出より日入まて,昼五十刻/夜五十刻,六より六まて,昼五十五刻/夜四十五刻
《2870》,《暦日1》,五／,きのとのい,みつ,火,　,月とく ちう日 ふく日 わうまう  入学よし
《2880》,《暦日2》,六／,ひのえね,たいら,水,　,大くわ 地火
《2890》,《暦日0》,七／,ひのとのうし,さたん,,　,神よし 大みやう 母倉  ものたち  つめとりよし
《2900》,《暦日2》,八／,つちのえとら,とる,土,社日,きこ  田かり  つめとりよし
《2910》,《暦日0》,九／,つちのとのう,やふる,,　,大みやう 天おん
《2920》,《暦日2》,十／,かのえたつ,あやふ,金,　,天おん 母倉 月とく
《2930》,《暦日0》,十一／,かのとのみ,なる,,　,十し
《2940》,《暦日2》,十二／,みつのえむま,おさん,木,　,大みやう 天おん めつもん
《2950》,《暦日0》,十三／,みつのとのひつし,ひらく,,　,●
