《0000》,# カンマ区切りテキスト形式です。
《0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《0020》,# ・表の区画内での改行は“/”で表記します。
《0030》,# ・《行番号》とその次のカラム(《暦首》など)は表成型に用いますので削除しないでください。
《0040》,# ・カンマ","を追加・削除すると、その行が表成型できない場合があります。
《0050》,# 外部リンク
《0060》,# ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546784/186 ～ 190
《0070》,# ・hosi.org　 : http://hosi.org:3000/Note/1740g　(GitHub上データを表成型)
《0080》,# 　　　　　　 　http://hosi.org:3000/Note/1740h　(翻刻編集データを表成型 - 未実装)
《0090》,# 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png
《0100》,《版元》,出版地○○,出版元□□□,　
《1590》,《暦日0》,八／,ひのとのひつし,みつ,,　,くゑ日
《1600》,《暦日2》,九／,つちのえさる,たいら,土,　,神よし ちいみ 大くわ 地火
《1610》,《暦日0》,十／,つちのとのとり,さたん,,　,十し
《1620》,《暦日2》,十一／,かのえいぬ,とる,金,　,大みやう  やたて くさかりよし
《1630》,《暦日0》,十二／,かのとのい,やふる,,　,神よし 大みやう ちう日  さひらきよし
《1640》,《暦日1》,十三／,みつのえね,やふる,木,入梅/八せんのはしめ,●
《1650》,《節中》,芒種五月せつひつしの八刻ニ入日の出より日入まて,昼五十九刻余/夜四十刻余,六より六まて,昼六十四刻余/夜三十五刻余
《1660》,《暦日1》,十四／,みつのとのうし,あやふ,木,ま日,神よし ふく日  むきかり  つめとりよし
《1670》,《暦日2》,十五／,きのえとら,なる,水,　,きこ  田うへ  つめとりよし
《1680》,《暦日0》,十六／,きのとのう,おさん,,　,ちいみ 大くわ  ものたちよし
《1690》,《暦日2》,十七／,ひのえたつ,ひらく,土,ま日,きしく 大みやう  けんふく いちたちよし
《1700》,《暦日0》,十八／,ひのとのみ,とつ,,　,十し
《1710》,《暦日2》,十九／,つちのえむま,たつ,火,ま日,くゑ日 下しきうの時
《1720》,《暦日0》,廿／,つちのとのひつし,のそく,,　,神よし 大みやう  みそすつくり 田うへよし
《1730》,《暦日2》,廿一／,かのえさる,みつ,木,　,神よし 大みやう  入学 むきかりよし
《1740》,《暦日0》,廿二／,かのとのとり,たいら,,　,神よし 大みやう めつもん 地火
《1750》,《暦日2》,廿三／,みつのえいぬ,さたん,水,ま日, むきかりよし
《1760》,《暦日0》,廿四／,みつのとのい,とる,,八せんのおはり,ちう日 ふく日
《1770》,《暦日2》,廿五／,きのえね,やふる,金,　,●
《1780》,《暦日0》,廿六／,きのとのうし,あやふ,,　,神よし  つめとりよし
《1790》,《暦日2》,廿七／,ひのえとら,なる,火,　,きこ  つめとりよし
《1800》,《暦日0》,廿八／,ひのとのう,おさん,,　,ちいみ 大くわ ふく日 わうまう
《1810》,《節中》,夏至五月中いぬの五刻日の出より日入まて,昼六十刻/夜四十刻,六より六まて,昼六十五刻/夜三十五刻
《1820》,《暦日2》,廿九／,つちのえたつ,ひらく,木,　,五む日  かまぬり 田うへよし
《1830》,《暦日0》,卅／,つちのとのみ,とつ,,　,十し
《1840》,《月序》,六月,大,建,癸未,昴宿　牛　金よう
《1850》,《暦日2》,一／,かのえむま,たつ,土,　,下しきうの時  むきかりよし
《1860》,《暦日0》,二／,かのとのひつし,のそく,,　,大みやう  ふねのり 井ほりよし
《1870》,《暦日2》,三／,みつのえさる,みつ,金,　,神よし 大みやう  くさかりよし
《1880》,《暦日0》,四／,みつのとのとり,たいら,,　,神よし 大みやう ふく日 めつもん 地火
《1890》,《暦日2》,五／,きのえいぬ,さたん,火,　, わたまし くらたてよし
《1900》,《暦日0》,六／,きのとのい,とる,,　,ちう日  むきかり 田うへよし
《1910》,《暦日2》,七／,ひのえね,やふる,水,　,●
《1920》,《暦日0》,八／,ひのとのうし,あやふ,,はんけしやう,神よし 大みやう ふく日  ものたち  つめとりよし
《1930》,《暦日2》,九／,つちのえとら,なる,土,　,きこ  みそすつくり  つめとりよし
《1940》,《暦日0》,十／,つちのとのう,おさん,,　,大みやう ちいみ 大くわ
《1950》,《暦日2》,十一／,かのえたつ,ひらく,金,　, けんふく かといてよし
《1960》,《暦日0》,十二／,かのとのみ,とつ,,　,十し
《1970》,《暦日1》,十三／,みつのえむま,たつ,木,　,大みやう 下しきうの時
《1980》,《節中》,小暑六月せつ翌うしの一刻ニ入日の出より日入まて,昼五十九刻余/夜四十刻余,六より六まて,昼六十四刻余/夜三十五刻余
《1990》,《暦日1》,十四／,みつのとのひつし,たつ,木,　, たねまきよし
《2000》,《暦日2》,十五／,きのえさる,のそく,水,十方くれニ入,神よし きしく 大みやう
《2010》,《暦日0》,十六／,きのとのとり,みつ,,　,ちいみ
《2020》,《食記》,月帯そく皆つきて出
《2030》,《暦日2》,十七／,ひのえいぬ,たいら,土,　,五む日 大くわ 地火
《2040》,《暦日0》,十八／,ひのとのい,さたん,,　,大みやう ちう日
《2050》,《暦日2》,十九／,つちのえね,とる,火,　,きこ ふく日 下しきたつの時
《2060》,《暦日0》,廿／,つちのとのうし,やふる,,　,十し
《2070》,《暦日2》,廿一／,かのえとら,あやふ,木,初伏, やたて  つめとりよし
《2080》,《暦日0》,廿二／,かのとのう,なる,,　,神よし 天火 らうしやく
《2090》,《暦日2》,廿三／,みつのえたつ,おさん,水,　,大みやう 五む日 めつもん
《2100》,《暦日0》,廿四／,みつのとのみ,ひらく,,天一天上,ちう日  いちたちよし
《2110》,《暦日2》,廿五／,きのえむま,とつ,金,とよう翌うの二刻ニ入,●
《2120》,《暦日0》,廿六／,きのとのひつし,たつ,,　,大みやう 五む日
《2130》,《暦日2》,廿七／,ひのえさる,のそく,火,　,神よし
《2140》,《暦日0》,廿八／,ひのとのとり,みつ,,　,さい下しき 神よし ちいみ  くさかりよし
《2150》,《暦日1》,廿九／,つちのえいぬ,たいら,木,　,大くわ ふく日 地火
《2160》,《節中》,大暑六月中翌うの七刻日の出より日入まて,昼五十八刻余/夜四十一刻余,六より六まて,昼六十三刻余/夜三十六刻余
《2170》,《暦日1》,卅／,つちのとのい,さたん,木,　,ちう日 ふく日  ふねのりよし
《2180》,《月序》,七月,小,建,甲申,畢宿　虛　日よう
《2190》,《暦日2》,一／,かのえね,とる,土,中伏,きこ 下しきたつの時
《2200》,《暦日0》,二／,かのとのうし,やふる,,　,十し
《2210》,《暦日2》,三／,みつのえとら,あやふ,金,　,大みやう  けんふく  つめとりよし
《2220》,《暦日0》,四／,みつのとのう,なる,,　,神よし 天火 らうしやく
《2230》,《暦日2》,五／,きのえたつ,おさん,火,　,大みやう めつもん  わたましよし
《2240》,《暦日0》,六／,きのとのみ,ひらく,,　,大みやう ちう日
《2250》,《暦日2》,七／,ひのえむま,とつ,水,　,●
《2260》,《暦日0》,八／,ひのとのひつし,たつ,,　,くゑ日
《2270》,《暦日2》,九／,つちのえさる,のそく,土,　,神よし ふく日  たねまきよし
《2280》,《暦日0》,十／,つちのとのとり,みつ,,　,神よし 大みやう ちいみ ふく日
《2290》,《暦日2》,十一／,かのえいぬ,たいら,金,　,大みやう 大くわ 地火
《2300》,《暦日0》,十二／,かのとのい,さたん,,　,大みやう ちう日
《2310》,《暦日2》,十三／,みつのえね,とる,木,八せんのはしめ,きしく きこ 下しきたつの時
《2320》,《暦日0》,十四／,みつのとのうし,とる,,ま日,●
《2330》,《節中》,立秋七月せつむまの三刻ニ入日の出より日入まて,昼五十七刻余/夜四十二刻余,六より六まて,昼六十二刻余/夜三十七刻余
《2340》,《暦日2》,十五／,きのえとら,やふる,水,　,ふく日  かといて  つめとりよし
《2350》,《暦日0》,十六／,きのとのう,あやふ,,　,神よし  くらたて かまぬりよし
《2360》,《暦日2》,十七／,ひのえたつ,なる,土,ま日,大みやう ちいみ  くさかりよし
《2370》,《暦日0》,十八／,ひのとのみ,おさん,,　,大くわ ちう日  ものたちよし
《2380》,《暦日2》,十九／,つちのえむま,ひらく,火,ま日,神よし 天火 らうしやく  入学よし
《2390》,《暦日0》,廿／,つちのとのひつし,とつ,,　,神よし 大みやう  みそすつくりよし
《2400》,《暦日2》,廿一／,かのえさる,たつ,木,末伏,大みやう くゑ日 ふく日 下しきみの時
《2410》,《暦日0》,廿二／,かのとのとり,のそく,,　,十し
《2420》,《暦日2》,廿三／,みつのえいぬ,みつ,水,ま日
《2430》,《暦日0》,廿四／,みつのとのい,たいら,,八せんのおはり,ちう日 めつもん 地火
《2440》,《暦日2》,廿五／,きのえね,さたん,金,　,ふく日  ふねのりよし
《2450》,《暦日0》,廿六／,きのとのうし,とる,,　,●
《2460》,《暦日2》,廿七／,ひのえとら,やふる,火,　, けんふく  つめとりよし
《2470》,《暦日0》,廿八／,ひのとのう,あやふ,,　,神よし  わたましよし
《2480》,《暦日1》,廿九／,つちのえたつ,なる,木,　,五む日 ちいみ  いちたちよし
《2490》,《節中》,処暑七月中とりの初刻日の出より日入まて,昼五十五刻余/夜四十四刻余,六より六まて,昼六十刻余/夜三十九刻余
《2500》,《月序》,閏七月,大,隨節用之,危　月よう
《2510》,《暦日1》,一／,つちのとのみ,おさん,木,　,神よし 大くわ ちう日
《2520》,《暦日2》,二／,かのえむま,ひらく,土,　,神よし ふく日 天火 らうしやく
《2530》,《暦日0》,三／,かのとのひつし,とつ,,　,大みやう  ものたちよし
《2540》,《暦日2》,四／,みつのえさる,たつ,金,　,神よし 大みやう 下しきみの時
《2550》,《暦日0》,五／,みつのとのとり,のそく,,　,十し
《2560》,《暦日2》,六／,きのえいぬ,みつ,火,　,ふく日  くらたてよし
《2570》,《暦日0》,七／,きのとのい,たいら,,　,ちう日 めつもん 地火
《2580》,《暦日2》,八／,ひのえね,さたん,水,　, 田かりよし
《2590》,《暦日0》,九／,ひのとのうし,とる,,　,●
《2600》,《暦日2》,十／,つちのえとら,やふる,土,　, たねまき  つめとりよし
《2610》,《暦日0》,十一／,つちのとのう,あやふ,,二百十日,神よし 大みやう  みそすつくりよし
《2620》,《暦日2》,十二／,かのえたつ,なる,金,　,きしく ちいみ ふく日  かといてよし
《2630》,《暦日0》,十三／,かのとのみ,おさん,,　,大くわ ちう日
《2640》,《暦日2》,十四／,みつのえむま,ひらく,木,　,神よし 大みやう 天火 らうしやく
《2650》,《暦日0》,十五／,みつのとのひつし,ひらく,,　,●
《2660》,《節中》,白露八月せついの五刻ニ入日の出より日入まて,昼五十二刻余/夜四十七刻余,六より六まて,昼五十七刻余/夜四十二刻余
《2670》,《暦日2》,十六／,きのえさる,とつ,水,十方くれニ入,神よし 大みやう  竹木こり 田かりよし
《2680》,《暦日0》,十七／,きのとのとり,たつ,,　,ふく日 天火 らうしやく 下しきむまの時
《2690》,《暦日2》,十八／,ひのえいぬ,のそく,土,　,五む日 ちいみ
《2700》,《暦日0》,十九／,ひのとのい,みつ,,　,大みやう ちう日  入学よし
《2710》,《暦日2》,廿／,つちのえね,たいら,火,　,大くわ 地火
《2720》,《暦日0》,廿一／,つちのとのうし,さたん,,二百廿日, かまぬり  つめとりよし
《2730》,《暦日2》,廿二／,かのえとら,とる,木,　,きこ  つめとりよし
《2740》,《暦日0》,廿三／,かのとのう,やふる,,　,ふく日  田かりよし
《2750》,《暦日2》,廿四／,みつのえたつ,あやふ,水,　,大みやう 五む日
《2760》,《暦日0》,廿五／,みつのとのみ,なる,,天一天上,十し
《2770》,《暦日2》,廿六／,きのえむま,おさん,金,　,めつもん
《2780》,《暦日0》,廿七／,きのとのひつし,ひらく,,　,●
《2790》,《暦日2》,廿八／,ひのえさる,とつ,火,　,神よし
《2800》,《暦日0》,廿九／,ひのとのとり,たつ,,　,さい下しき 天火 らうしやく 下しきむまの時
