«1686-0000»,【 カンマ区切りテキスト形式です。】
«1686-0010»,【 ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。】
«1686-1410»,«暦日0»,廿七〳,かのとのい,やふる,,　,神よし 大みやう ちう日  さひらきよし
«1686-1420»,«暦日2»,廿八〳,みつのえね,あやふ,木,八せんのはしめ,神よし ふく日  くらたてよし
«1686-1430»,«暦日0»,廿九〳,みつのとのうし,なる,,ま日,きこ  つめとりよし
«1686-1440»,«月序»,四月,大,建,癸巳,危宿　參　水よう
«1686-1450»,«暦日2»,一〳,きのえとら,おさん,水,四月中たつの五刻,めつもん  つめとりよし
«1686-1460»,«暦日0»,二〳,きのとのう,ひらく,,　,神よし  さひらきよし
«1686-1470»,«暦日2»,三〳,ひのえたつ,とつ,土,ま日,きしく 大みやう ふく日
«1686-1480»,«暦日0»,四〳,ひのとのみ,たつ,,　,●
«1686-1490»,«暦日2»,五〳,つちのえむま,のそく,火,ま日,くゑ日
«1686-1500»,«暦日0»,六〳,つちのとのひつし,みつ,,　,大みやう くゑ日
«1686-1510»,«暦日2»,七〳,かのえさる,たいら,木,　,神よし 大みやう ちいみ 大くわ 地火
«1686-1520»,«暦日0»,八〳,かのとのとり,さたん,,　,十し
«1686-1530»,«暦日2»,九〳,みつのえいぬ,とる,水,ま日,ふく日
«1686-1540»,«暦日0»,十〳,みつのとのい,やふる,,八せんのおはり,くゑ日 ちう日
«1686-1550»,«暦日2»,十一〳,きのえね,あやふ,金,　
«1686-1560»,«暦日0»,十二〳,きのとのうし,なる,,　,きこ  かまぬり  つめとりよし
«1686-1570»,«暦日2»,十三〳,ひのえとら,おさん,火,　,ふく日 めつもん  つめとりよし
«1686-1580»,«暦日0»,十四〳,ひのとのう,ひらく,,　,さい下しき 神よし  わたましよし
«1686-1590»,«暦日2»,十五〳,つちのえたつ,とつ,木,　,五む日 くゑ日
«1686-1600»,«暦日0»,十六〳,つちのとのみ,とつ,,五月せつひつしの一刻ニ入,十し
«1686-1610»,«食記»,月そく
«1686-1620»,«暦日2»,十七〳,かのえむま,たつ,土,　,下しきうの時  むきかりよし
«1686-1630»,«暦日0»,十八〳,かのとのひつし,のそく,,　,大みやう  ふねのり 井ほりよし
«1686-1640»,«暦日2»,十九〳,みつのえさる,みつ,金,入梅,神よし 大みやう  くさかりよし
«1686-1650»,«暦日0»,廿〳,みつのとのとり,たいら,,　,神よし 大みやう ふく日 めつもん 地火
«1686-1660»,«暦日2»,廿一〳,きのえいぬ,さたん,火,　, わたまし くらたてよし
«1686-1670»,«暦日0»,廿二〳,きのとのい,とる,,　,ちう日  むきかり 田うへよし
«1686-1680»,«暦日2»,廿三〳,ひのえね,やふる,水,　,●
«1686-1690»,«暦日0»,廿四〳,ひのとのうし,あやふ,,　,神よし 大みやう ふく日  ものたち  つめとりよし
«1686-1700»,«暦日2»,廿五〳,つちのえとら,なる,土,　,きこ  みそすつくり  つめとりよし
«1686-1710»,«暦日0»,廿六〳,つちのとのう,おさん,,　,大みやう ちいみ 大くわ
«1686-1720»,«暦日2»,廿七〳,かのえたつ,ひらく,金,　, けんふく かといてよし
«1686-1730»,«暦日0»,廿八〳,かのとのみ,とつ,,　,十し
«1686-1740»,«暦日2»,廿九〳,みつのえむま,たつ,木,　,大みやう 下しきうの時
«1686-1750»,«暦日0»,卅〳,みつのとのひつし,のそく,,　,ふく日  田うへよし
«1686-1760»,«月序»,五月,小,建,甲午,室宿　鬼　金よう
«1686-1770»,«暦日2»,一〳,きのえさる,みつ,水,夏至五月中とりの七刻|十方くれニ入,きしく 大みやう わうまう
«1686-1780»,«暦日0»,二〳,きのとのとり,たいら,,　,神よし めつもん 地火
«1686-1790»,«暦日2»,三〳,ひのえいぬ,さたん,土,　,五む日  むきかりよし
