《0000》,# カンマ区切りテキスト形式です。
《0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《0020》,# ・表の区画内での改行は“/”で表記します。
《1330》,《暦日0》,十四／,みつのとのひつし,みつ,,　,くゑ日
《1340》,《暦日2》,十五／,きのえさる,たいら,水,十方くれニ入,神よし 大みやう ちいみ 大くわ 地火
《1350》,《暦日0》,十六／,きのとのとり,さたん,,　,十し
《1360》,《暦日2》,十七／,ひのえいぬ,とる,土,　,五む日 ふく日  くさかりよし
《1370》,《暦日0》,十八／,ひのとのい,やふる,,　,大みやう ちう日
《1380》,《節中》,小満四月中みの四刻日の出より日入まて,昼五十八刻余/夜四十一刻余,六より六まて,昼六十三刻余/夜三十六刻余
《1390》,《暦日2》,十九／,つちのえね,あやふ,火,　, けんふくよし
《1400》,《暦日0》,廿／,つちのとのうし,なる,,　,きこ  つめとりよし
《1410》,《暦日2》,廿一／,かのえとら,おさん,木,　,母倉 月とく めつもん  さひらき  つめとりよし
《1420》,《暦日0》,廿二／,かのとのう,ひらく,,　,神よし 母倉  やたて ものたちよし
《1430》,《暦日2》,廿三／,みつのえたつ,とつ,水,　,大みやう 五む日 ふく日
《1440》,《暦日0》,廿四／,みつのとのみ,たつ,,天一天上,●
《1450》,《暦日2》,廿五／,きのえむま,のそく,金,　,天しや よろつよし
《1460》,《暦日0》,廿六／,きのとのひつし,みつ,,　,大みやう 五む日 くゑ日
《1470》,《暦日2》,廿七／,ひのえさる,たいら,火,　,神よし ちいみ 大くわ ふく日 地火  入学よし
《1480》,《暦日0》,廿八／,ひのとのとり,さたん,,　,十し
《1490》,《暦日1》,廿九／,つちのえいぬ,とる,木,　, くらたて かまぬりよし
《1500》,《月序》,五月,小,建,甲午,胃宿　壁　水よう
《1510》,《暦日1》,一／,つちのとのい,やふる,木,　,くゑ日 ちう日
《1520》,《暦日2》,二／,かのえね,あやふ,土,　,神よし 月とく  わたまし たねまきよし
《1530》,《暦日0》,三／,かのとのうし,なる,,　,五む日 きこ  つめとりよし
《1540》,《暦日1》,四／,みつのえとら,なる,金,入梅,大みやう 母倉 きこ  くさかり  つめとりよし
《1550》,《節中》,芒種五月せつさるの初刻ニ入日の出より日入まて,昼五十九刻余/夜四十刻余,六より六まて,昼六十四刻余/夜三十五刻余
《1560》,《暦日1》,五／,みつのとのう,おさん,金,　,母倉 ちいみ 大くわ ふく日
《1570》,《暦日2》,六／,きのえたつ,ひらく,火,　,大みやう  むきかり 田うへよし
《1580》,《暦日0》,七／,きのとのみ,とつ,,　,十し
《1590》,《暦日2》,八／,ひのえむま,たつ,水,　,さい下しき 大みやう くゑ日 下しきうの時
《1600》,《暦日0》,九／,ひのとのひつし,のそく,,　,神よし ふく日
《1610》,《暦日2》,十／,つちのえさる,みつ,土,　,神よし きしく  入学よし
《1620》,《暦日0》,十一／,つちのとのとり,たいら,,　,神よし 大みやう 天おん めつもん 地火
《1630》,《暦日2》,十二／,かのえいぬ,さたん,金,　,大みやう 天おん  かといてよし
《1640》,《暦日0》,十三／,かのとのい,とる,,　,神よし 大みやう 天おん 月とく ちう日  入学よし
《1650》,《暦日2》,十四／,みつのえね,やふる,木,八せんのはしめ,●
《1660》,《暦日0》,十五／,みつのとのうし,あやふ,,ま日,神よし 天おん ふく日  むきかり  つめとりよし
《1670》,《暦日2》,十六／,きのえとら,なる,水,　,母倉 きこ  田うへ  つめとりよし
《1680》,《暦日0》,十七／,きのとのう,おさん,,　,母倉 ちいみ 大くわ  ものたちよし
《1690》,《暦日2》,十八／,ひのえたつ,ひらく,土,ま日,大みやう 月とく  けんふく いちたちよし
《1700》,《暦日0》,十九／,ひのとのみ,とつ,,　,十し
《1710》,《節中》,夏至五月中いぬの六刻日の出より日入まて,昼六十刻/夜四十刻,六より六まて,昼六十五刻/夜三十五刻
《1720》,《暦日2》,廿／,つちのえむま,たつ,火,ま日,くゑ日 下しきうの時
《1730》,《暦日0》,廿一／,つちのとのひつし,のそく,,　,神よし 大みやう  みそすつくり 田うへよし
《1740》,《暦日2》,廿二／,かのえさる,みつ,木,　,神よし 大みやう  入学 むきかりよし
《1750》,《暦日0》,廿三／,かのとのとり,たいら,,　,神よし 大みやう 月とく めつもん 地火
《1760》,《暦日2》,廿四／,みつのえいぬ,さたん,水,ま日, むきかりよし
《1770》,《暦日0》,廿五／,みつのとのい,とる,,八せんのおはり,ちう日 ふく日
《1780》,《暦日2》,廿六／,きのえね,やふる,金,　,●
《1790》,《暦日0》,廿七／,きのとのうし,あやふ,,　,神よし 天おん  つめとりよし
《1800》,《暦日2》,廿八／,ひのえとら,なる,火,　,天おん 母倉 月とく きこ  つめとりよし
《1810》,《暦日0》,廿九／,ひのとのう,おさん,,はんけしやう,天おん 母倉 ちいみ 大くわ ふく日
《1820》,《月序》,六月,大,建,乙未,昴宿　奎　木よう
《1830》,《暦日2》,一／,つちのえたつ,ひらく,木,　,天おん 五む日  かまぬり 田うへよし
《1840》,《暦日0》,二／,つちのとのみ,とつ,,　,十し
《1850》,《暦日2》,三／,かのえむま,たつ,土,　,下しきうの時  むきかりよし
《1860》,《暦日0》,四／,かのとのひつし,のそく,,　,大みやう 月とく  ふねのり 井ほりよし
《1870》,《暦日2》,五／,みつのえさる,みつ,金,　,神よし 大みやう  くさかりよし
《1880》,《暦日0》,六／,みつのとのとり,みつ,,　,神よし 大みやう ちいみ  みそすつくりよし
《1890》,《節中》,小暑六月せつ今暁うしの二刻ニ入日の出より日入まて,昼五十九刻余/夜四十刻余,六より六まて,昼六十四刻余/夜三十五刻余
《1900》,《暦日2》,七／,きのえいぬ,たいら,火,　,月とく 大くわ 地火  わたましよし
《1910》,《暦日0》,八／,きのとのい,さたん,,　,ちう日
《1920》,《暦日2》,九／,ひのえね,とる,水,　,きしく きこ 下しきたつの時
《1930》,《暦日0》,十／,ひのとのうし,やふる,,　,十し
《1940》,《暦日2》,十一／,つちのえとら,あやふ,土,　,ふく日  たねまき  つめとりよし
《1950》,《暦日0》,十二／,つちのとのう,なる,,　,神よし 大みやう 天おん 月とく ふく日 天火 らうしやく
《1960》,《暦日2》,十三／,かのえたつ,おさん,金,初伏,天おん めつもん  けんふくよし
《1970》,《暦日0》,十四／,かのとのみ,ひらく,,　,天おん 母倉 ちう日  ものたちよし
《1980》,《暦日2》,十五／,みつのえむま,とつ,木,　,●
《1990》,《暦日0》,十六／,みつのとのひつし,たつ,,　,天おん  たねまきよし
《2000》,《暦日2》,十七／,きのえさる,のそく,水,十方くれニ入,神よし 大みやう 月とく
《2010》,《暦日0》,十八／,きのとのとり,みつ,,とよううの三刻ニ入,神よし ちいみ
《2020》,《暦日2》,十九／,ひのえいぬ,たいら,土,　,五む日 大くわ 地火
《2030》,《暦日0》,廿／,ひのとのい,さたん,,　,大みやう ちう日
《2040》,《暦日1》,廿一／,つちのえね,とる,火,　,きこ ふく日 下しきたつの時
《2050》,《節中》,大暑六月中うの八刻日の出より日入まて,昼五十八刻余/夜四十一刻余,六より六まて,昼六十三刻余/夜三十六刻余
《2060》,《暦日1》,廿二／,つちのとのうし,やふる,火,　,十し
《2070》,《暦日2》,廿三／,かのえとら,あやふ,木,中伏,母倉  やたて  つめとりよし
《2080》,《暦日0》,廿四／,かのとのう,なる,,　,神よし 母倉 天火 らうしやく
《2090》,《暦日2》,廿五／,みつのえたつ,おさん,水,　,大みやう 五む日 めつもん
《2100》,《暦日0》,廿六／,みつのとのみ,ひらく,,天一天上,母倉 ちう日  いちたちよし
《2110》,《暦日2》,廿七／,きのえむま,とつ,金,　,●
《2120》,《暦日0》,廿八／,きのとのひつし,たつ,,　,大みやう 五む日
《2130》,《暦日2》,廿九／,ひのえさる,のそく,火,　,わうまう
《2140》,《暦日0》,卅／,ひのとのとり,みつ,,　,神よし ちいみ  くさかりよし
《2150》,《月序》,七月,小,建,丙申,畢宿　胃　土よう
《2160》,《暦日2》,一／,つちのえいぬ,たいら,木,　,大くわ ふく日 地火
《2170》,《暦日0》,二／,つちのとのい,さたん,,　,月とく ちう日 ふく日  ふねのりよし
《2180》,《暦日2》,三／,かのえね,とる,土,　,きこ 下しきたつの時
《2190》,《暦日0》,四／,かのとのうし,やふる,,　,十し
《2200》,《暦日2》,五／,みつのえとら,あやふ,金,　,大みやう  けんふく  つめとりよし
《2210》,《暦日0》,六／,みつのとのう,あやふ,,　,神よし  わたまし みそすつくりよし
《2220》,《節中》,立秋七月せつむまの四刻ニ入日の出より日入まて,昼五十七刻余/夜四十二刻余,六より六まて,昼六十二刻余/夜三十七刻余
《2230》,《暦日2》,七／,きのえたつ,なる,火,　,きしく 大みやう くゑ日 ちいみ ふく日
《2240》,《暦日0》,八／,きのとのみ,おさん,,　,神よし 大みやう 大くわ ちう日  けんふくよし
《2250》,《暦日2》,九／,ひのえむま,ひらく,水,　,さい下しき 神よし 大みやう 天火 らうしやく  かといてよし
《2260》,《暦日0》,十／,ひのとのひつし,とつ,,　,神よし 母倉 月とく  いちたちよし
《2270》,《暦日2》,十一／,つちのえさる,たつ,土,　,天しや よろつよし
《2280》,《暦日0》,十二／,つちのとのとり,のそく,,　,十し
《2290》,《暦日2》,十三／,かのえいぬ,みつ,金,末伏,大みやう 天おん 母倉 ふく日
《2300》,《暦日0》,十四／,かのとのい,たいら,,　,大みやう 天おん ちう日 めつもん 地火 わうまう
《2310》,《暦日2》,十五／,みつのえね,さたん,木,八せんのはしめ,神よし 天おん 月とく  くらたてよし
《2320》,《暦日0》,十六／,みつのとのうし,とる,,ま日,●
《2330》,《暦日2》,十七／,きのえとら,やふる,水,　,ふく日  かといて  つめとりよし
《2340》,《暦日0》,十八／,きのとのう,あやふ,,　,神よし  くらたて かまぬりよし
《2350》,《暦日2》,十九／,ひのえたつ,なる,土,ま日,大みやう 母倉 ちいみ  くさかりよし
《2360》,《暦日0》,廿／,ひのとのみ,おさん,,　,月とく 大くわ ちう日  ものたちよし
《2370》,《暦日1》,廿一／,つちのえむま,ひらく,火,ま日,神よし 天火 らうしやく  入学よし
《2380》,《節中》,処暑七月中とりの一刻日の出より日入まて,昼五十五刻余/夜四十四刻余,六より六まて,昼六十刻余/夜三十九刻余
《2390》,《暦日1》,廿二／,つちのとのひつし,とつ,火,　,神よし 大みやう 母倉  みそすつくりよし
《2400》,《暦日2》,廿三／,かのえさる,たつ,木,　,大みやう くゑ日 ふく日 下しきみの時
《2410》,《暦日0》,廿四／,かのとのとり,のそく,,　,十し
《2420》,《暦日2》,廿五／,みつのえいぬ,みつ,水,ま日,母倉 月とく
《2430》,《暦日0》,廿六／,みつのとのい,たいら,,八せんのおはり,ちう日 めつもん 地火
《2440》,《暦日2》,廿七／,きのえね,さたん,金,　,天おん ふく日  ふねのりよし
《2450》,《暦日0》,廿八／,きのとのうし,とる,,　,●
《2460》,《暦日1》,廿九／,ひのえとら,やふる,火,　,天おん  けんふく  つめとりよし
《2470》,《月序》,八月,小,建,丁酉,觜宿　昴　日よう
《2480》,《暦日1》,一／,ひのとのう,あやふ,火,　,神よし 天おん 月とく  わたましよし
《2490》,《暦日2》,二／,つちのえたつ,なる,木,　,天おん 母倉 五む日 ちいみ  いちたちよし
《2500》,《暦日0》,三／,つちのとのみ,おさん,,二百十日,神よし 大くわ ちう日
《2510》,《暦日2》,四／,かのえむま,ひらく,土,　,神よし ふく日 天火 らうしやく
