«1810-0000»,【 カンマ区切りテキスト形式です。】
«1810-0010»,【 ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。】
«1810-0020»,【 ・表の区画内での改行は“|”で表記します。】
«1810-0030»,【 ・«行番号»とその次のカラム(«暦首»など)は表成型に用いますので削除しないでください。】
«1810-0040»,【 ・カンマ","を追加・削除すると、その行が表成型できない場合があります。】
«1810-0050»,【 外部リンク　】
«1810-0060»,【 ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546786/24 ～ 27】
«1810-0070»,【 ・hosi.org　 : http://hosi.org:3000/Note/1810h　(翻刻編集終了データを表成型して表示します)】
«1810-0080»,【 　　　　　　 　http://hosi.org:3000/Note/1810ht (翻刻編集中データを表成型して表示します)】
«1810-0090»,【 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png 】
«1810-0100»,«版元»,出版地○○,出版元□□□,　
«1810-1240»,«暦日2»,五〳,つちのえね,なる,火,　,母倉 きこ ふく日
«1810-1250»,«暦日0»,六〳,つちのとのうし,なる,,　,きこ  つめとりよし
«1810-1260»,«節中»,立夏四月せつうの二刻ニ入日の出より日入まて,昼五十六刻半余|夜四十三刻余,六より六まて,昼六十二刻余|夜三十七刻半余
«1810-1270»,«暦日2»,七〳,かのえとら,おさん,木,　,母倉 月とく めつもん  さひらき  つめとりよし
«1810-1280»,«暦日0»,八〳,かのとのう,ひらく,,　,神よし 母倉  やたて ものたちよし
«1810-1290»,«暦日2»,九〳,みつのえたつ,とつ,水,　,きしく 大みやう 五む日 ふく日
«1810-1300»,«暦日0»,十〳,みつのとのみ,たつ,,天一天上,●
«1810-1310»,«暦日2»,十一〳,きのえむま,のそく,金,　,天しや よろつよし
«1810-1320»,«暦日0»,十二〳,きのとのひつし,みつ,,　,大みやう 五む日 くゑ日
«1810-1330»,«暦日2»,十三〳,ひのえさる,たいら,火,　,ちいみ 大くわ ふく日 地火 わうまう  入学よし
«1810-1340»,«暦日0»,十四〳,ひのとのとり,さたん,,　,十し
«1810-1350»,«暦日2»,十五〳,つちのえいぬ,とる,木,　, くらたて かまぬりよし
«1810-1360»,«暦日0»,十六〳,つちのとのい,やふる,,　,くゑ日 ちう日
«1810-1370»,«暦日2»,十七〳,かのえね,あやふ,土,　,神よし 月とく  わたまし たねまきよし
«1810-1380»,«暦日0»,十八〳,かのとのうし,なる,,　,五む日 きこ  つめとりよし
«1810-1390»,«暦日2»,十九〳,みつのえとら,おさん,金,　,大みやう 母倉 ふく日 めつもん  つめとりよし
«1810-1400»,«暦日0»,廿〳,みつのとのう,ひらく,,　,神よし 母倉  かといて さひらきよし
«1810-1410»,«暦日1»,廿一〳,きのえたつ,とつ,火,　,大みやう
«1810-1420»,«節中»,小満四月中みの七刻日の出より日入まて,昼五十八刻余|夜四十一刻半余,六より六まて,昼六十四刻|夜三十六刻
«1810-1430»,«暦日1»,廿二〳,きのとのみ,たつ,火,　,●
«1810-1440»,«暦日2»,廿三〳,ひのえむま,のそく,水,　,大みやう くゑ日 ふく日
«1810-1450»,«暦日0»,廿四〳,ひのとのひつし,みつ,,　,さい下しき くゑ日
«1810-1460»,«暦日2»,廿五〳,つちのえさる,たいら,土,　,神よし ちいみ 大くわ 地火
«1810-1470»,«暦日0»,廿六〳,つちのとのとり,さたん,,　,十し
«1810-1480»,«暦日2»,廿七〳,かのえいぬ,とる,金,　,大みやう 天おん 月とく  やたて くさかりよし
«1810-1490»,«暦日0»,廿八〳,かのとのい,やふる,,　,神よし 大みやう 天おん ちう日  さひらきよし
