《0000》,# カンマ区切りテキスト形式です。
《0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《0020》,# ・表の区画内での改行は“/”で表記します。
《0030》,# ・《行番号》とその次のカラム(《暦首》など)は表成型に用いますので削除しないでください。
《0040》,# ・カンマ","を追加・削除すると、その行が表成型できない場合があります。
《0050》,# 外部リンク
《0060》,# ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546785/105 ～ 111
《0070》,# ・hosi.org　 : http://hosi.org:3000/Note/1767g　(GitHub上データを表成型)
《0080》,# 　　　　　　 　http://hosi.org:3000/Note/1767h　(翻刻編集データを表成型 - 未実装)
《0090》,# 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png
《0100》,《版元》,出版地○○,出版元□□□,　
《1510》,《暦日2》,廿九／,みつのえいぬ,とる,水,ま日,ふく日
《1520》,《暦日0》,卅／,みつのとのい,やふる,,八せんのおはり,くゑ日 ちう日
《1530》,《月序》,五月,小,建,丙午,心宿　奎　木よう
《1540》,《暦日2》,一／,きのえね,あやふ,金,　,天おん
《1550》,《暦日0》,二／,きのとのうし,なる,,　,天おん 月とく きこ  かまぬり  つめとりよし
《1560》,《暦日2》,三／,ひのえとら,おさん,火,　,天おん 母倉 ふく日 めつもん  つめとりよし
《1570》,《暦日0》,四／,ひのとのう,ひらく,,　,神よし 天おん 母倉  わたましよし
《1580》,《暦日2》,五／,つちのえたつ,とつ,木,　,五む日 くゑ日
《1590》,《暦日0》,六／,つちのとのみ,たつ,,　,●
《1600》,《暦日2》,七／,かのえむま,のそく,土,　,神よし 月とく  さひらき みそすつくりよし
《1610》,《暦日0》,八／,かのとのひつし,みつ,,　,大みやう くゑ日
《1620》,《暦日2》,九／,みつのえさる,たいら,金,　,神よし きしく 大みやう ちいみ 大くわ ふく日 地火
《1630》,《暦日0》,十／,みつのとのとり,さたん,,　,十し
《1640》,《暦日1》,十一／,きのえいぬ,さたん,火,　, わたまし くらたてよし
