《0000》,# カンマ区切りテキスト形式です。
《0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《0020》,# ・表の区画内での改行は“/”で表記します。
《2700》,《節中》,白露八月せつ夕七時九分ニ入日の出より日入まて,昼五十二刻余/夜四十七刻半余,六より六まて,昼五十七刻半/夜四十二刻半
《2710》,《暦日1》,廿二／,ひのとのとり,たつ,火,　,天火 らうしやく 下しきむまの時
《2720》,《暦日2》,廿三／,つちのえいぬ,のそく,木,　,母倉 ちいみ  ふねのり 田かりよし
《2730》,《暦日0》,廿四／,つちのとのい,みつ,,二百廿日,神よし ちう日  いちたちよし
《2740》,《暦日2》,廿五／,かのえね,たいら,土,　,神よし きしく 月とく 大くわ 地火
《2750》,《暦日0》,廿六／,かのとのうし,さたん,,　,神よし 母倉 五む日 ふく日  ものたち  つめとりよし
《2760》,《暦日2》,廿七／,みつのえとら,とる,金,　,大みやう きこ  やたて  つめとりよし
《2770》,《暦日0》,廿八／,みつのとのう,やふる,,　, くらたて 田かりよし
《2780》,《暦日1》,廿九／,きのえたつ,あやふ,火,　,大みやう 母倉  けんふく わたましよし
《2790》,《月序》,八月,大,建,辛酉,婁宿　軫　水よう
《2800》,《暦日1》,一／,きのとのみ,なる,火,　,十し
《2810》,《暦日2》,二／,ひのえむま,おさん,水,　,大みやう めつもん
《2820》,《暦日0》,三／,ひのとのひつし,ひらく,,　,●
《2830》,《暦日2》,四／,つちのえさる,とつ,土,社日,天しや よろつよし
《2840》,《暦日0》,五／,つちのとのとり,たつ,,ひかんニなる,大みやう くゑ日 天火 らうしやく 下しきむまの時
《2850》,《暦日2》,六／,かのえいぬ,のそく,金,　,大みやう 天おん 母倉 月とく ちいみ
《2860》,《暦日0》,七／,かのとのい,みつ,,　,神よし 大みやう 天おん ちう日 ふく日
《2870》,《暦日1》,八／,みつのえね,たいら,木,八せんのはしめ,神よし 天おん 大くわ 地火
《2880》,《節中》,秋分八月中今暁七時一分日の出より日入まて,昼五十刻/夜五十刻,六より六まて,昼五十五刻/夜四十五刻
《2890》,《暦日1》,九／,みつのとのうし,さたん,木,ま日,天おん 母倉 わうまう  たねまき 竹木こり  つめとりよし
《2900》,《暦日2》,十／,きのえとら,とる,水,　,きこ  かまぬり 田かり  つめとりよし
