《1866-0000》,# カンマ区切りテキスト形式です。
《1866-0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《1866-1880》,《暦日2》,五／,みつのえたつ,おさん,水,　,大みやう 五む日 めつもん
《1866-1890》,《暦日0》,六／,みつのとのみ,ひらく,,天一天上,母倉 ちう日  いちたちよし
《1866-1900》,《暦日2》,七／,きのえむま,とつ,金,　,●
《1866-1910》,《暦日0》,八／,きのとのひつし,たつ,,とよう夜五時四分ニ入,大みやう 五む日
《1866-1920》,《暦日2》,九／,ひのえさる,のそく,火,　,神よし きしく
《1866-1930》,《暦日0》,十／,ひのとのとり,みつ,,　,神よし ちいみ  くさかりよし
《1866-1940》,《暦日2》,十一／,つちのえいぬ,たいら,木,　,大くわ ふく日 地火
《1866-1950》,《暦日0》,十二／,つちのとのい,さたん,,　,月とく ちう日 ふく日  ふねのりよし
《1866-1960》,《節中》,大暑六月中昼九時二分日の出より日入まて,昼五十八刻余/夜四十一刻半余,六より六まて,昼六十四刻/夜三十六刻
《1866-1970》,《暦日2》,十三／,かのえね,とる,土,中伏,きこ 下しきたつの時
《1866-1980》,《暦日0》,十四／,かのとのうし,やふる,,　,十し
《1866-1990》,《暦日2》,十五／,みつのえとら,あやふ,金,　,大みやう  けんふく  つめとりよし
《1866-2000》,《暦日0》,十六／,みつのとのう,なる,,　,神よし 天火 らうしやく
《1866-2010》,《暦日2》,十七／,きのえたつ,おさん,火,　,大みやう 月とく めつもん  わたましよし
《1866-2020》,《暦日0》,十八／,きのとのみ,ひらく,,　,大みやう 母倉 ちう日
《1866-2030》,《暦日2》,十九／,ひのえむま,とつ,水,　,●
《1866-2040》,《暦日0》,廿／,ひのとのひつし,たつ,,　,くゑ日
《1866-2050》,《暦日2》,廿一／,つちのえさる,のそく,土,　,神よし ふく日  たねまきよし
《1866-2060》,《暦日0》,廿二／,つちのとのとり,みつ,,　,神よし 大みやう 天おん 月とく ちいみ ふく日
《1866-2070》,《暦日2》,廿三／,かのえいぬ,たいら,金,　,大みやう 天おん 大くわ 地火
《1866-2080》,《暦日0》,廿四／,かのとのい,さたん,,　,大みやう 天おん ちう日
《1866-2090》,《暦日2》,廿五／,みつのえね,とる,木,八せんのはしめ,天おん きこ 下しきたつの時
《1866-2100》,《暦日0》,廿六／,みつのとのうし,やふる,,ま日,十し
《1866-2110》,《暦日2》,廿七／,きのえとら,あやふ,水,　,母倉 月とく  やたて  つめとりよし
《1866-2120》,《暦日0》,廿八／,きのとのう,あやふ,,　,神よし  くらたて かまぬりよし
《1866-2130》,《節中》,立秋七月せつ明六時一分ニ入日の出より日入まて,昼五十六刻半/夜四十三刻半,六より六まて,昼六十二刻/夜三十八刻
《1866-2140》,《暦日1》,廿九／,ひのえたつ,なる,土,ま日,大みやう 母倉 ちいみ  くさかりよし
《1866-2150》,《月序》,七月,大,建,丙申,畢宿　婁　金よう
《1866-2160》,《暦日1》,一／,ひのとのみ,おさん,土,　,月とく 大くわ ちう日  ものたちよし
《1866-2170》,《暦日2》,二／,つちのえむま,ひらく,火,ま日,神よし 天火 らうしやく  入学よし
《1866-2180》,《暦日0》,三／,つちのとのひつし,とつ,,　,神よし 大みやう 母倉  みそすつくりよし
《1866-2190》,《暦日2》,四／,かのえさる,たつ,木,末伏,大みやう くゑ日 ふく日 下しきみの時
《1866-2200》,《暦日0》,五／,かのとのとり,のそく,,　,十し
《1866-2210》,《暦日2》,六／,みつのえいぬ,みつ,水,ま日,母倉 月とく
《1866-2220》,《暦日0》,七／,みつのとのい,たいら,,八せんのおはり,ちう日 めつもん 地火 わうまう
《1866-2230》,《暦日2》,八／,きのえね,さたん,金,　,きしく 天おん ふく日  ふねのりよし
《1866-2240》,《暦日0》,九／,きのとのうし,とる,,　,●
《1866-2250》,《暦日2》,十／,ひのえとら,やふる,火,　,天おん  けんふく  つめとりよし
《1866-2260》,《暦日0》,十一／,ひのとのう,あやふ,,　,さい下しき 神よし 天おん 月とく  わたましよし
《1866-2270》,《暦日2》,十二／,つちのえたつ,なる,木,　,天おん 母倉 五む日 ちいみ  いちたちよし
《1866-2280》,《暦日0》,十三／,つちのとのみ,おさん,,　,神よし 大くわ ちう日
《1866-2290》,《暦日1》,十四／,かのえむま,ひらく,土,　,神よし ふく日 天火 らうしやく
《1866-2300》,《節中》,処暑七月中暮六時日の出より日入まて,昼五十四刻半/夜四十五刻半,六より六まて,昼五十九刻半余/夜四十刻余
《1866-2310》,《暦日1》,十五／,かのとのひつし,とつ,土,　,大みやう 母倉  ものたちよし
《1866-2320》,《暦日2》,十六／,みつのえさる,たつ,金,　,神よし 大みやう 月とく 下しきみの時
《1866-2330》,《暦日0》,十七／,みつのとのとり,のそく,,　,十し
《1866-2340》,《暦日2》,十八／,きのえいぬ,みつ,火,　,母倉 ふく日  くらたてよし
《1866-2350》,《暦日0》,十九／,きのとのい,たいら,,　,ちう日 めつもん 地火
《1866-2360》,《暦日2》,廿／,ひのえね,さたん,水,　, 田かりよし
《1866-2370》,《暦日0》,廿一／,ひのとのうし,とる,,　,●
《1866-2380》,《暦日2》,廿二／,つちのえとら,やふる,土,　, たねまき  つめとりよし
《1866-2390》,《暦日0》,廿三／,つちのとのう,あやふ,,二百十日,神よし 大みやう 天おん  みそすつくりよし
《1866-2400》,《暦日2》,廿四／,かのえたつ,なる,金,　,天おん 母倉 ちいみ ふく日  かといてよし
《1866-2410》,《暦日0》,廿五／,かのとのみ,おさん,,　,天おん 大くわ ちう日
《1866-2420》,《暦日2》,廿六／,みつのえむま,ひらく,木,　,神よし 大みやう 天おん 月とく 天火 らうしやく
《1866-2430》,《暦日0》,廿七／,みつのとのひつし,とつ,,　,天おん 母倉
《1866-2440》,《暦日2》,廿八／,きのえさる,たつ,水,十方くれニ入,神よし 大みやう ふく日 下しきみの時
《1866-2450》,《暦日0》,廿九／,きのとのとり,のそく,,　,十し
