《1836-0000》,# カンマ区切りテキスト形式です。
《1836-0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《1836-0020》,# ・表の区画内での改行は“/”で表記します。
《1836-0030》,# ・《行番号》とその次のカラム(《暦首》など)は表成型に用いますので削除しないでください。
《1836-0040》,# ・カンマ","を追加・削除すると、その行が表成型できない場合があります。
《1836-0050》,# 外部リンク
《1836-0060》,# ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546786/134 ～ 138
《1836-0070》,# ・hosi.org　 : http://hosi.org:3000/Note/1836g　(GitHub上データを表成型)
《1836-0080》,# 　　　　　　 　http://hosi.org:3000/Note/1836h　(翻刻編集データを表成型 - 未実装)
《1836-0090》,# 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png
《1836-0100》,《版元》,出版地○○,出版元□□□,　
《1836-1420》,《暦日0》,廿三／,きのとのい,とる,,　,ちう日  むきかり 田うへよし
《1836-1430》,《節中》,芒種五月せつ今夜ねの初刻ニ入日の出より日入まて,昼五十九刻半/夜四十刻半,六より六まて,昼六十五刻余/夜三十四刻半余
《1836-1440》,《暦日2》,廿四／,ひのえね,やふる,水,　,●
《1836-1450》,《暦日0》,廿五／,ひのとのうし,あやふ,,　,神よし 大みやう ふく日  ものたち  つめとりよし
《1836-1460》,《暦日2》,廿六／,つちのえとら,なる,土,　,母倉 きこ  みそすつくり  つめとりよし
《1836-1470》,《暦日0》,廿七／,つちのとのう,おさん,,　,大みやう 天おん 母倉 ちいみ 大くわ
《1836-1480》,《暦日2》,廿八／,かのえたつ,ひらく,金,　,天おん  けんふく かといてよし
《1836-1490》,《暦日0》,廿九／,かのとのみ,とつ,,　,十し
《1836-1500》,《暦日1》,卅／,みつのえむま,たつ,木,入梅,大みやう 天おん 下しきうの時
《1836-1510》,《月序》,五月,大,建,甲午,參宿　尾　火よう
《1836-1520》,《暦日1》,一／,みつのとのひつし,のそく,木,　,天おん ふく日  田うへよし
《1836-1530》,《暦日2》,二／,きのえさる,みつ,水,十方くれニ入,神よし 大みやう
《1836-1540》,《暦日0》,三／,きのとのとり,たいら,,　,神よし めつもん 地火
《1836-1550》,《暦日2》,四／,ひのえいぬ,さたん,土,　,月とく 五む日  むきかりよし
《1836-1560》,《暦日0》,五／,ひのとのい,とる,,　,大みやう ちう日 ふく日
《1836-1570》,《暦日2》,六／,つちのえね,やふる,火,　,●
《1836-1580》,《暦日0》,七／,つちのとのうし,あやふ,,　, 田うへ  つめとりよし
《1836-1590》,《暦日2》,八／,かのえとら,なる,木,　,母倉 きこ わうまう  井ほり  つめとりよし
《1836-1600》,《暦日0》,九／,かのとのう,おさん,,　,母倉 月とく ちいみ 大くわ  ものたちよし
《1836-1610》,《節中》,夏至五月中今暁とらの六刻日の出より日入まて,昼五十九刻半余/夜四十刻余,六より六まて,昼六十五刻半余/夜三十四刻余
《1836-1620》,《暦日2》,十／,みつのえたつ,ひらく,水,　,大みやう 五む日
《1836-1630》,《暦日0》,十一／,みつのとのみ,とつ,,天一天上,十し
《1836-1640》,《暦日2》,十二／,きのえむま,たつ,金,　,天しや よろつよし
《1836-1650》,《暦日0》,十三／,きのとのひつし,のそく,,　,大みやう 五む日  むきかりよし
《1836-1660》,《暦日2》,十四／,ひのえさる,みつ,火,　,神よし 月とく  入学 いちたちよし
《1836-1670》,《暦日0》,十五／,ひのとのとり,たいら,,　,さい下しき 神よし ふく日 めつもん 地火
《1836-1680》,《暦日2》,十六／,つちのえいぬ,さたん,木,　, かまぬり 田うへよし
《1836-1690》,《暦日0》,十七／,つちのとのい,とる,,　,神よし ちう日
《1836-1700》,《暦日2》,十八／,かのえね,やふる,土,　,●
《1836-1710》,《暦日0》,十九／,かのとのうし,あやふ,,はんけしやう,神よし 月とく 五む日  つめとりよし
《1836-1720》,《暦日2》,廿／,みつのえとら,なる,金,　,大みやう 母倉 きこ  くさかり  つめとりよし
