«1799-0000»,【 カンマ区切りテキスト形式です。】
«1799-0010»,【 ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。】
«1799-0020»,【 ・表の区画内での改行は“|”で表記します。】
«1799-0030»,【 ・«行番号»とその次のカラム(«暦首»など)は表成型に用いますので削除しないでください。】
«1799-0040»,【 ・カンマ","を追加・削除すると、その行が表成型できない場合があります。】
«1799-0050»,【 外部リンク　】
«1799-0060»,【 ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546785/256 ～ 261】
«1799-0070»,【 ・hosi.org　 : http://hosi.org:3000/Note/1799h　(翻刻編集終了データを表成型して表示します)】
«1799-0080»,【 　　　　　　 　http://hosi.org:3000/Note/1799ht (翻刻編集中データを表成型して表示します)】
«1799-0090»,【 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png 】
«1799-0100»,«版元»,出版地○○,出版元□□□,　
«1799-0950»,«暦日0»,七〳,きのとのうし,おさん,,　,十し
«1799-0960»,«暦日2»,八〳,ひのえとら,ひらく,火,　,くゑ日 ちいみ
«1799-0970»,«暦日0»,九〳,ひのとのう,とつ,,　,くゑ日  たねまきよし
«1799-0980»,«暦日2»,十〳,つちのえたつ,たつ,木,　,五む日 くゑ日 ふく日
«1799-0990»,«暦日0»,十一〳,つちのとのみ,のそく,,　,神よし 母倉 ちう日 ふく日  かといてよし
«1799-1000»,«暦日2»,十二〳,かのえむま,みつ,土,　,神よし 母倉 天火 らうしやく  みそすつくりよし
«1799-1010»,«暦日0»,十三〳,かのとのひつし,たいら,,　,大みやう めつもん 地火
«1799-1020»,«暦日2»,十四〳,みつのえさる,さたん,金,　,大みやう くゑ日
«1799-1030»,«暦日0»,十五〳,みつのとのとり,とる,,とようたつの初刻ニ入,神よし 大みやう
«1799-1040»,«暦日2»,十六〳,きのえいぬ,やふる,火,　, くさかりよし
«1799-1050»,«暦日0»,十七〳,きのとのい,あやふ,,　,●
«1799-1060»,«暦日1»,十八〳,ひのえね,なる,水,　,きこ
«1799-1070»,«節中»,穀雨三月中たつの五刻日の出より日入まて,昼五十四刻半余|夜四十五刻余,六より六まて,昼六十刻|夜四十刻
«1799-1080»,«暦日1»,十九〳,ひのとのうし,おさん,水,　,十し
«1799-1090»,«暦日2»,廿〳,つちのえとら,ひらく,土,　,天しや よろつよし
«1799-1100»,«暦日0»,廿一〳,つちのとのう,とつ,,　,神よし 大みやう 天おん ふく日
«1799-1110»,«暦日2»,廿二〳,かのえたつ,たつ,金,　,きしく くゑ日
«1799-1120»,«暦日0»,廿三〳,かのとのみ,のそく,,　,天おん 母倉 ちう日 わうまう
«1799-1130»,«暦日2»,廿四〳,みつのえむま,みつ,木,　,神よし 大みやう 天おん 母倉 月とく 天火 らうしやく
«1799-1140»,«暦日0»,廿五〳,みつのとのひつし,たいら,,　,天おん めつもん 地火
«1799-1150»,«暦日2»,廿六〳,きのえさる,さたん,水,十方くれニ入,大みやう くゑ日
«1799-1160»,«暦日0»,廿七〳,きのとのとり,とる,,　,神よし  くさかりよし
«1799-1170»,«暦日2»,廿八〳,ひのえいぬ,やふる,土,　,五む日
«1799-1180»,«暦日0»,廿九〳,ひのとのい,あやふ,,八十八や,●
«1799-1190»,«暦日1»,卅〳,つちのえね,なる,火,　,母倉 きこ ふく日
«1799-1200»,«月序»,四月,大,建,己巳,柳宿　房　日よう
«1799-1210»,«暦日1»,一〳,つちのとのうし,おさん,火,　,十し
«1799-1220»,«暦日2»,二〳,かのえとら,ひらく,木,　,ちいみ  いちたち  つめとりよし
«1799-1230»,«暦日0»,三〳,かのとのう,ひらく,,　,神よし 母倉  やたて ものたちよし
«1799-1240»,«節中»,立夏四月せつひつしの二刻ニ入日の出より日入まて,昼五十六刻半余|夜四十三刻余,六より六まて,昼六十二刻余|夜三十七刻半余
«1799-1250»,«暦日2»,四〳,みつのえたつ,とつ,水,　,大みやう 五む日 ふく日
«1799-1260»,«暦日0»,五〳,みつのとのみ,たつ,,天一天上,●
«1799-1270»,«暦日2»,六〳,きのえむま,のそく,金,　,天しや よろつよし
«1799-1280»,«暦日0»,七〳,きのとのひつし,みつ,,　,大みやう 五む日 くゑ日
«1799-1290»,«暦日2»,八〳,ひのえさる,たいら,火,　,神よし ちいみ 大くわ ふく日 地火  入学よし
