《1778-0000》,# カンマ区切りテキスト形式です。
《1778-0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《1778-0020》,# ・表の区画内での改行は“/”で表記します。
《1778-0030》,# ・《行番号》とその次のカラム(《暦首》など)は表成型に用いますので削除しないでください。
《1778-0040》,# ・カンマ","を追加・削除すると、その行が表成型できない場合があります。
《1778-0050》,# 外部リンク
《1778-0060》,# ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546785/160 ～ 164
《1778-0070》,# ・hosi.org　 : http://hosi.org:3000/Note/1778g　(GitHub上データを表成型)
《1778-0080》,# 　　　　　　 　http://hosi.org:3000/Note/1778h　(翻刻編集データを表成型 - 未実装)
《1778-0090》,# 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png
《1778-0100》,《版元》,出版地○○,出版元□□□,　
《1778-2140》,《節中》,大暑六月中むまの八刻日の出より日入まて,昼五十八刻余/夜四十一刻余,六より六まて,昼六十三刻余/夜三十六刻余
《1778-2150》,《暦日1》,廿九／,つちのえむま,とつ,火,ま日,●
《1778-2160》,《月序》,七月,小,建,庚申,翼宿　亢　金よう
《1778-2170》,《暦日1》,一／,つちのとのひつし,たつ,火,　,大みやう くゑ日 ふく日
《1778-2180》,《暦日2》,二／,かのえさる,のそく,木,中伏,神よし 大みやう  くさかりよし
《1778-2190》,《暦日0》,三／,かのとのとり,みつ,,　,神よし 大みやう ちいみ  ものたち 井ほりよし
《1778-2200》,《暦日2》,四／,みつのえいぬ,たいら,水,ま日,大くわ 地火
《1778-2210》,《暦日0》,五／,みつのとのい,さたん,,八せんのおはり,ちう日
《1778-2220》,《暦日2》,六／,きのえね,とる,金,　,天おん 月とく きこ 下しきたつの時
《1778-2230》,《暦日0》,七／,きのとのうし,やふる,,　,十し
《1778-2240》,《暦日2》,八／,ひのえとら,あやふ,火,　,天おん  わたまし  つめとりよし
《1778-2250》,《暦日0》,九／,ひのとのう,なる,,　,神よし 天おん 天火 らうしやく
《1778-2260》,《暦日2》,十／,つちのえたつ,おさん,木,　,天おん 五む日 ふく日 めつもん
《1778-2270》,《暦日0》,十一／,つちのとのみ,ひらく,,　,くゑ日 ちう日 ふく日
《1778-2280》,《暦日2》,十二／,かのえむま,とつ,土,　,●
《1778-2290》,《暦日0》,十三／,かのとのひつし,たつ,,　,大みやう  かといて ふねのりよし
《1778-2300》,《暦日1》,十四／,みつのえさる,たつ,金,　,神よし 大みやう 月とく 下しきみの時
《1778-2310》,《節中》,立秋七月せつとりの五刻ニ入日の出より日入まて,昼五十七刻余/夜四十二刻余,六より六まて,昼六十二刻余/夜三十七刻余
《1778-2320》,《暦日1》,十五／,みつのとのとり,のそく,金,　,十し
《1778-2330》,《暦日2》,十六／,きのえいぬ,みつ,火,　,母倉 ふく日  くらたてよし
《1778-2340》,《暦日0》,十七／,きのとのい,たいら,,　,ちう日 めつもん 地火
《1778-2350》,《暦日2》,十八／,ひのえね,さたん,水,　, 田かりよし
《1778-2360》,《暦日0》,十九／,ひのとのうし,とる,,　,●
《1778-2370》,《暦日2》,廿／,つちのえとら,やふる,土,　, たねまき  つめとりよし
《1778-2380》,《暦日0》,廿一／,つちのとのう,あやふ,,　,神よし 大みやう 天おん  みそすつくりよし
《1778-2390》,《暦日2》,廿二／,かのえたつ,なる,金,末伏,きしく 天おん 母倉 ちいみ ふく日 わうまう  かといてよし
《1778-2400》,《暦日0》,廿三／,かのとのみ,おさん,,　,天おん 大くわ ちう日
《1778-2410》,《暦日2》,廿四／,みつのえむま,ひらく,木,　,神よし 大みやう 天おん 月とく 天火 らうしやく
《1778-2420》,《暦日0》,廿五／,みつのとのひつし,とつ,,　,天おん 母倉
《1778-2430》,《暦日2》,廿六／,きのえさる,たつ,水,十方くれニ入,神よし 大みやう ふく日 下しきみの時
《1778-2440》,《暦日0》,廿七／,きのとのとり,のそく,,　,十し
《1778-2450》,《暦日2》,廿八／,ひのえいぬ,みつ,土,　,母倉 五む日
《1778-2460》,《暦日0》,廿九／,ひのとのい,たいら,,　,大みやう 月とく ちう日 めつもん 地火
《1778-2470》,《節中》,処暑七月中今夜ねの二刻日の出より日入まて,昼五十五刻余/夜四十四刻余,六より六まて,昼六十刻余/夜三十九刻余
《1778-2480》,《月序》,閏七月,大,隨節用之,氐　土よう
《1778-2490》,《暦日2》,一／,つちのえね,さたん,火,　, けんふく くさかりよし
《1778-2500》,《暦日0》,二／,つちのとのうし,とる,,　,●
《1778-2510》,《暦日2》,三／,かのえとら,やふる,木,　,ふく日  つめとりよし
《1778-2520》,《暦日0》,四／,かのとのう,あやふ,,　,神よし
《1778-2530》,《暦日2》,五／,みつのえたつ,なる,水,　,大みやう 母倉 月とく 五む日 ちいみ
《1778-2540》,《暦日0》,六／,みつのとのみ,おさん,,天一天上,大くわ ちう日  たねまきよし
《1778-2550》,《暦日2》,七／,きのえむま,ひらく,金,　,神よし ふく日 天火 らうしやく  かといてよし
《1778-2560》,《暦日0》,八／,きのとのひつし,とつ,,　,大みやう 母倉 五む日
《1778-2570》,《暦日2》,九／,ひのえさる,たつ,火,　,神よし 下しきみの時  入学よし
