«1750-0000»,【 カンマ区切りテキスト形式です。】
«1750-0010»,【 ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。】
«1750-0020»,【 ・表の区画内での改行は“|”で表記します。】
«1750-0030»,【 ・«行番号»とその次のカラム(«暦首»など)は表成型に用いますので削除しないでください。】
«1750-0040»,【 ・カンマ","を追加・削除すると、その行が表成型できない場合があります。】
«1750-0050»,【 外部リンク　】
«1750-0060»,【 ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546785/23 ～ 28】
«1750-0070»,【 ・hosi.org　 : http://hosi.org:3000/Note/1750h　(翻刻編集終了データを表成型して表示します)】
«1750-0080»,【 　　　　　　 　http://hosi.org:3000/Note/1750ht (翻刻編集中データを表成型して表示します)】
«1750-0090»,【 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png 】
«1750-0100»,«版元»,出版地○○,出版元□□□,　
«1750-2250»,«暦日0»,九〳,つちのとのとり,のそく,,　,十し
«1750-2260»,«暦日2»,十〳,かのえいぬ,みつ,金,末伏,大みやう ふく日
«1750-2270»,«暦日0»,十一〳,かのとのい,たいら,,　,神よし 大みやう ちう日 めつもん 地火
«1750-2280»,«暦日2»,十二〳,みつのえね,さたん,木,八せんのはしめ,神よし  くらたてよし
«1750-2290»,«暦日0»,十三〳,みつのとのうし,とる,,ま日,●
«1750-2300»,«暦日2»,十四〳,きのえとら,やふる,水,　,ふく日  かといて  つめとりよし
«1750-2310»,«暦日0»,十五〳,きのとのう,あやふ,,　,神よし  くらたて かまぬりよし
«1750-2320»,«暦日2»,十六〳,ひのえたつ,なる,土,ま日,大みやう ちいみ  くさかりよし
«1750-2330»,«暦日0»,十七〳,ひのとのみ,おさん,,　,大くわ ちう日  ものたちよし
«1750-2340»,«暦日2»,十八〳,つちのえむま,ひらく,火,ま日,神よし 天火 らうしやく  入学よし
«1750-2350»,«暦日0»,十九〳,つちのとのひつし,とつ,,　,神よし 大みやう  みそすつくりよし
«1750-2360»,«暦日1»,廿〳,かのえさる,たつ,木,　,きしく 大みやう くゑ日 ふく日 下しきみの時
«1750-2370»,«節中»,処暑七月中翌とらの初刻日の出より日入まて,昼五十五刻余|夜四十四刻余,六より六まて,昼六十刻余|夜三十九刻余
«1750-2380»,«暦日1»,廿一〳,かのとのとり,のそく,木,　,十し
«1750-2390»,«暦日2»,廿二〳,みつのえいぬ,みつ,水,ま日
«1750-2400»,«暦日0»,廿三〳,みつのとのい,たいら,,八せんのおはり,ちう日 めつもん 地火
«1750-2410»,«暦日2»,廿四〳,きのえね,さたん,金,　,ふく日  ふねのりよし
«1750-2420»,«暦日0»,廿五〳,きのとのうし,とる,,　,●
«1750-2430»,«暦日2»,廿六〳,ひのえとら,やふる,火,　, けんふく  つめとりよし
«1750-2440»,«暦日0»,廿七〳,ひのとのう,あやふ,,　,神よし  わたましよし
«1750-2450»,«暦日2»,廿八〳,つちのえたつ,なる,木,　,五む日 ちいみ  いちたちよし
«1750-2460»,«暦日0»,廿九〳,つちのとのみ,おさん,,　,神よし 大くわ ちう日
«1750-2470»,«暦日1»,卅〳,かのえむま,ひらく,土,　,神よし ふく日 天火 らうしやく
«1750-2480»,«月序»,八月,小,建,乙酉,軫宿　尾　火よう
«1750-2490»,«暦日1»,一〳,かのとのひつし,とつ,土,　,大みやう  ものたちよし
«1750-2500»,«暦日2»,二〳,みつのえさる,たつ,金,二百十日,神よし 大みやう 下しきみの時
«1750-2510»,«暦日0»,三〳,みつのとのとり,のそく,,　,十し
«1750-2520»,«暦日2»,四〳,きのえいぬ,みつ,火,　,ふく日  くらたてよし
«1750-2530»,«暦日0»,五〳,きのとのい,たいら,,　,ちう日 めつもん 地火
«1750-2540»,«暦日1»,六〳,ひのえね,たいら,水,　,大くわ 地火
«1750-2550»,«節中»,白露八月せつたつの五刻ニ入日の出より日入まて,昼五十二刻余|夜四十七刻余,六より六まて,昼五十七刻余|夜四十二刻余
«1750-2560»,«暦日1»,七〳,ひのとのうし,さたん,水,　,神よし 大みやう  ものたち  つめとりよし
