«1711-0000»,【 カンマ区切りテキスト形式です。】
«1711-2120»,«暦日0»,六〳,みつのとのみ,おさん,,天一天上,大くわ ちう日  たねまきよし
«1711-2130»,«暦日2»,七〳,きのえむま,ひらく,金,　,神よし ふく日 天火 らうしやく  かといてよし
«1711-2140»,«暦日0»,八〳,きのとのひつし,とつ,,　,大みやう 五む日
«1711-2150»,«暦日2»,九〳,ひのえさる,たつ,火,七月中とりの初刻,神よし 下しきみの時  入学よし
«1711-2160»,«暦日0»,十〳,ひのとのとり,のそく,,　,十し
«1711-2170»,«暦日2»,十一〳,つちのえいぬ,みつ,木,　, くらたて かまぬりよし
«1711-2180»,«暦日0»,十二〳,つちのとのい,たいら,,　,神よし ちう日 めつもん 地火
«1711-2190»,«暦日2»,十三〳,かのえね,さたん,土,　,神よし ふく日
«1711-2200»,«暦日0»,十四〳,かのとのうし,とる,,　,●
«1711-2210»,«暦日2»,十五〳,みつのえとら,やふる,金,　,大みやう  やたて  つめとりよし
«1711-2220»,«暦日0»,十六〳,みつのとのう,あやふ,,　,神よし  わたまし みそすつくりよし
«1711-2230»,«暦日2»,十七〳,きのえたつ,なる,火,　,大みやう くゑ日 ちいみ ふく日
«1711-2240»,«暦日0»,十八〳,きのとのみ,おさん,,　,神よし 大みやう 大くわ ちう日  けんふくよし
«1711-2250»,«暦日2»,十九〳,ひのえむま,ひらく,水,　,神よし 大みやう 天火 らうしやく  かといてよし
«1711-2260»,«暦日0»,廿〳,ひのとのひつし,とつ,,二百十日,神よし  いちたちよし
«1711-2270»,«暦日2»,廿一〳,つちのえさる,たつ,土,　,天しや よろつよし
«1711-2280»,«暦日0»,廿二〳,つちのとのとり,のそく,,　,十し
«1711-2290»,«暦日2»,廿三〳,かのえいぬ,みつ,金,　,大みやう ふく日
«1711-2300»,«暦日0»,廿四〳,かのとのい,みつ,,八月せついの五刻ニ入,神よし 大みやう ちう日 ふく日
«1711-2310»,«暦日2»,廿五〳,みつのえね,たいら,木,八せんのはしめ,神よし 大くわ 地火
«1711-2320»,«暦日0»,廿六〳,みつのとのうし,さたん,,ま日,神よし  たねまき 竹木こり  つめとりよし
«1711-2330»,«暦日2»,廿七〳,きのえとら,とる,水,　,きこ  かまぬり 田かり  つめとりよし
«1711-2340»,«暦日0»,廿八〳,きのとのう,やふる,,　,くゑ日 ふく日
«1711-2350»,«暦日2»,廿九〳,ひのえたつ,あやふ,土,ま日,きしく 大みやう
«1711-2360»,«暦日0»,卅〳,ひのとのみ,なる,,二百廿日,十し
«1711-2370»,«月序»,八月,小,建,丁酉,斗宿　星　日よう
«1711-2380»,«暦日2»,一〳,つちのえむま,おさん,火,ま日,めつもん
«1711-2390»,«暦日0»,二〳,つちのとのひつし,ひらく,,　,●
«1711-2400»,«暦日2»,三〳,かのえさる,とつ,木,　,神よし 大みやう  入学よし
«1711-2410»,«暦日0»,四〳,かのとのとり,たつ,,　,大みやう くゑ日 ふく日 天火 らうしやく 下しきむまの時
«1711-2420»,«暦日2»,五〳,みつのえいぬ,のそく,水,ま日,ちいみ  たねまきよし
«1711-2430»,«暦日0»,六〳,みつのとのい,みつ,,八せんのおはり,ちう日  いちたちよし
«1711-2440»,«暦日2»,七〳,きのえね,たいら,金,　,大くわ 地火  わたましよし
«1711-2450»,«暦日0»,八〳,きのとのうし,さたん,,　,神よし ふく日  つめとりよし
«1711-2460»,«暦日2»,九〳,ひのえとら,とる,火,　,きこ  つめとりよし
«1711-2470»,«暦日0»,十〳,ひのとのう,やふる,,秋分八月中とらの二刻, 田かりよし
«1711-2480»,«暦日2»,十一〳,つちのえたつ,あやふ,木,社日,五む日 わうまう  みそすつくりよし
«1711-2490»,«暦日0»,十二〳,つちのとのみ,なる,,ひかんニなる,十し
«1711-2500»,«暦日2»,十三〳,かのえむま,おさん,土,　,めつもん  竹木こりよし
«1711-2510»,«暦日0»,十四〳,かのとのひつし,ひらく,,　,●
«1711-2520»,«暦日2»,十五〳,みつのえさる,とつ,金,　,神よし 大みやう
«1711-2530»,«暦日0»,十六〳,みつのとのとり,たつ,,　,大みやう 天火 らうしやく 下しきむまの時
«1711-2540»,«暦日2»,十七〳,きのえいぬ,のそく,火,　,ちいみ  竹木こりよし
«1711-2550»,«暦日0»,十八〳,きのとのい,みつ,,　,ちう日 ふく日  入学よし
«1711-2560»,«暦日2»,十九〳,ひのえね,たいら,水,　,大くわ 地火
«1711-2570»,«暦日0»,廿〳,ひのとのうし,さたん,,　,神よし 大みやう  ものたち  つめとりよし
«1711-2580»,«暦日2»,廿一〳,つちのえとら,とる,土,　,きこ  田かり  つめとりよし
«1711-2590»,«暦日0»,廿二〳,つちのとのう,やふる,,　,大みやう
«1711-2600»,«暦日2»,廿三〳,かのえたつ,あやふ,金,　
«1711-2610»,«暦日0»,廿四〳,かのとのみ,なる,,　,十し
«1711-2620»,«暦日2»,廿五〳,みつのえむま,なる,木,かん露九月せつたつの七刻ニ入,神よし 大みやう  けんふくよし
«1711-2630»,«暦日0»,廿六〳,みつのとのひつし,おさん,,　,大くわ  むきまき 田かりよし
«1711-2640»,«暦日2»,廿七〳,きのえさる,ひらく,水,十方くれニ入,きしく 大みやう
«1711-2650»,«暦日0»,廿八〳,きのとのとり,とつ,,　,神よし  田かりよし
«1711-2660»,«暦日1»,廿九〳,ひのえいぬ,たつ,土,　,五む日  竹木こりよし
«1711-2670»,«月序»,九月,小,建,戊戌,牛宿　張　月よう
«1711-2680»,«暦日1»,一〳,ひのとのい,のそく,土,　,大みやう ちう日
«1711-2690»,«暦日2»,二〳,つちのえね,みつ,火,　,きこ ふく日 天火 らうしやく
«1711-2700»,«暦日0»,三〳,つちのとのうし,たいら,,　,十し
«1711-2710»,«暦日2»,四〳,かのえとら,さたん,木,　,●
«1711-2720»,«暦日0»,五〳,かのとのう,とる,,　,くゑ日
«1711-2730»,«暦日2»,六〳,みつのえたつ,やふる,水,　,さい下しき 大みやう 五む日 くゑ日
«1711-2740»,«暦日0»,七〳,みつのとのみ,あやふ,,天一天上,くゑ日 ちいみ ちう日 下しきひつしの時
