«1700-0000»,【 カンマ区切りテキスト形式です。】
«1700-0010»,【 ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。】
«1700-1950»,«暦日0»,廿〳,かのとのみ,ひらく,,　,ちう日  ものたちよし
«1700-1960»,«暦日2»,廿一〳,みつのえむま,とつ,木,　,●
«1700-1970»,«暦日0»,廿二〳,みつのとのひつし,とつ,,立秋七月せついぬの四刻ニ入
«1700-1980»,«暦日2»,廿三〳,きのえさる,たつ,水,十方くれニ入,神よし 大みやう ふく日 下しきみの時
«1700-1990»,«暦日0»,廿四〳,きのとのとり,のそく,,　,十し
«1700-2000»,«暦日2»,廿五〳,ひのえいぬ,みつ,土,　,五む日
«1700-2010»,«暦日0»,廿六〳,ひのとのい,たいら,,　,大みやう ちう日 めつもん 地火
«1700-2020»,«暦日2»,廿七〳,つちのえね,さたん,火,　, けんふく くさかりよし
«1700-2030»,«暦日0»,廿八〳,つちのとのうし,とる,,　,●
«1700-2040»,«暦日2»,廿九〳,かのえとら,やふる,木,末伏,ふく日  つめとりよし
«1700-2050»,«暦日0»,卅〳,かのとのう,あやふ,,　,わうまう
«1700-2060»,«月序»,七月,小,建,甲申,奎宿　虛　日よう
«1700-2070»,«暦日2»,一〳,みつのえたつ,なる,水,　,大みやう 五む日 ちいみ
«1700-2080»,«暦日0»,二〳,みつのとのみ,おさん,,天一天上,大くわ ちう日  たねまきよし
«1700-2090»,«暦日2»,三〳,きのえむま,ひらく,金,　,神よし ふく日 天火 らうしやく  かといてよし
«1700-2100»,«暦日0»,四〳,きのとのひつし,とつ,,　,大みやう 五む日
«1700-2110»,«暦日2»,五〳,ひのえさる,たつ,火,　,神よし 下しきみの時  入学よし
«1700-2120»,«暦日0»,六〳,ひのとのとり,のそく,,　,十し
«1700-2130»,«暦日2»,七〳,つちのえいぬ,みつ,木,　, くらたて かまぬりよし
«1700-2140»,«暦日0»,八〳,つちのとのい,たいら,,七月中うしの初刻,神よし ちう日 めつもん 地火
«1700-2150»,«暦日2»,九〳,かのえね,さたん,土,　,神よし ふく日
«1700-2160»,«暦日0»,十〳,かのとのうし,とる,,　,●
«1700-2170»,«暦日2»,十一〳,みつのえとら,やふる,金,　,大みやう  やたて  つめとりよし
«1700-2180»,«暦日0»,十二〳,みつのとのう,あやふ,,　,神よし  わたまし みそすつくりよし
«1700-2190»,«暦日2»,十三〳,きのえたつ,なる,火,　,きしく 大みやう くゑ日 ちいみ ふく日
«1700-2200»,«暦日0»,十四〳,きのとのみ,おさん,,　,神よし 大みやう 大くわ ちう日  けんふくよし
«1700-2210»,«暦日1»,十五〳,ひのえむま,ひらく,水,　,大みやう 天火 らうしやく
«1700-2220»,«食記»,月そく,　
«1700-2230»,«暦日1»,十六〳,ひのとのひつし,とつ,水,　,神よし  いちたちよし
