《1831-0000》,# カンマ区切りテキスト形式です。
《1831-0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《1831-0020》,# ・表の区画内での改行は“/”で表記します。
《1831-0030》,# ・《行番号》とその次のカラム(《暦首》など)は表成型に用いますので削除しないでください。
《1831-0040》,# ・カンマ","を追加・削除すると、その行が表成型できない場合があります。
《1831-0050》,# 外部リンク
《1831-0060》,# ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546786/113 ～ 117
《1831-0070》,# ・hosi.org　 : http://hosi.org:3000/Note/1831g　(GitHub上データを表成型)
《1831-0080》,# 　　　　　　 　http://hosi.org:3000/Note/1831h　(翻刻編集データを表成型 - 未実装)
《1831-0090》,# 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png
《1831-0100》,《版元》,出版地○○,出版元□□□,　
《1831-1420》,《暦日2》,廿二／,きのえたつ,とつ,火,　,大みやう
《1831-1430》,《暦日0》,廿三／,きのとのみ,たつ,,　,●
《1831-1440》,《暦日2》,廿四／,ひのえむま,のそく,水,　,大みやう くゑ日 ふく日
《1831-1450》,《暦日0》,廿五／,ひのとのひつし,みつ,,　,くゑ日
《1831-1460》,《暦日2》,廿六／,つちのえさる,たいら,土,　,神よし ちいみ 大くわ 地火
《1831-1470》,《暦日0》,廿七／,つちのとのとり,たいら,,　,神よし 大みやう 天おん めつもん 地火
《1831-1480》,《節中》,芒種五月せつとりの四刻ニ入日の出より日入まて,昼五十九刻半/夜四十刻半,六より六まて,昼六十五刻余/夜三十四刻半余
《1831-1490》,《暦日2》,廿八／,かのえいぬ,さたん,金,　,大みやう 天おん  かといてよし
《1831-1500》,《暦日0》,廿九／,かのとのい,とる,,　,神よし 大みやう 天おん 月とく ちう日  入学よし
《1831-1510》,《月序》,五月,小,建,甲午,胃宿　鬼　金よう
《1831-1520》,《暦日2》,一／,みつのえね,やふる,木,入梅/八せんのはしめ,●
《1831-1530》,《暦日0》,二／,みつのとのうし,あやふ,,ま日,神よし 天おん ふく日  むきかり  つめとりよし
《1831-1540》,《暦日2》,三／,きのえとら,なる,水,　,母倉 きこ  田うへ  つめとりよし
《1831-1550》,《暦日0》,四／,きのとのう,おさん,,　,母倉 ちいみ 大くわ  ものたちよし
《1831-1560》,《暦日2》,五／,ひのえたつ,ひらく,土,ま日,大みやう 月とく  けんふく いちたちよし
