《1802-0000》,# カンマ区切りテキスト形式です。
《1802-0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《1802-0020》,# ・表の区画内での改行は“/”で表記します。
《1802-0030》,# ・《行番号》とその次のカラム(《暦首》など)は表成型に用いますので削除しないでください。
《1802-0040》,# ・カンマ","を追加・削除すると、その行が表成型できない場合があります。
《1802-0050》,# 外部リンク
《1802-0060》,# ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546785/271 ～ 275
《1802-0070》,# ・hosi.org　 : http://hosi.org:3000/Note/1802g　(GitHub上データを表成型)
《1802-0080》,# 　　　　　　 　http://hosi.org:3000/Note/1802h　(翻刻編集データを表成型 - 未実装)
《1802-0090》,# 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png
《1802-0100》,《版元》,出版地○○,出版元□□□,　
《1802-1350》,《暦日0》,十五／,きのとのう,ひらく,,　,神よし 母倉 月とく  さひらきよし
《1802-1360》,《暦日2》,十六／,ひのえたつ,とつ,土,ま日,大みやう ふく日
《1802-1370》,《暦日0》,十七／,ひのとのみ,たつ,,　,●
《1802-1380》,《暦日2》,十八／,つちのえむま,のそく,火,ま日,くゑ日
《1802-1390》,《暦日0》,十九／,つちのとのひつし,みつ,,　,大みやう くゑ日
《1802-1400》,《暦日2》,廿／,かのえさる,たいら,木,　,神よし きしく 大みやう 月とく ちいみ 大くわ 地火
《1802-1410》,《暦日0》,廿一／,かのとのとり,さたん,,　,十し
《1802-1420》,《暦日1》,廿二／,みつのえいぬ,とる,水,ま日,ふく日
《1802-1430》,《節中》,小満四月中むまの四刻日の出より日入まて,昼五十八刻余/夜四十一刻半余,六より六まて,昼六十四刻/夜三十六刻
《1802-1440》,《暦日1》,廿三／,みつのとのい,やふる,水,八せんのおはり,くゑ日 ちう日
《1802-1450》,《暦日2》,廿四／,きのえね,あやふ,金,　,天おん
《1802-1460》,《暦日0》,廿五／,きのとのうし,なる,,　,天おん 月とく きこ  かまぬり  つめとりよし
《1802-1470》,《暦日2》,廿六／,ひのえとら,おさん,火,　,天おん 母倉 ふく日 めつもん  つめとりよし
《1802-1480》,《暦日0》,廿七／,ひのとのう,ひらく,,　,神よし 天おん 母倉  わたましよし
《1802-1490》,《暦日2》,廿八／,つちのえたつ,とつ,木,　,五む日 くゑ日
《1802-1500》,《暦日0》,廿九／,つちのとのみ,たつ,,　,●
《1802-1510》,《月序》,五月,大,建,丙午,心宿　心　月よう
《1802-1520》,《暦日2》,一／,かのえむま,のそく,土,　,神よし 月とく  さひらき みそすつくりよし
《1802-1530》,《暦日0》,二／,かのとのひつし,みつ,,　,大みやう くゑ日
《1802-1540》,《暦日2》,三／,みつのえさる,たいら,金,　,神よし 大みやう ちいみ 大くわ ふく日 地火
《1802-1550》,《暦日0》,四／,みつのとのとり,さたん,,　,十し
《1802-1560》,《暦日2》,五／,きのえいぬ,とる,火,　, やたて くらたてよし
《1802-1570》,《暦日0》,六／,きのとのい,やふる,,　,月とく ちう日
《1802-1580》,《暦日2》,七／,ひのえね,あやふ,水,　,ふく日  さひらきよし
《1802-1590》,《暦日0》,八／,ひのとのうし,あやふ,,　,神よし 大みやう ふく日  ものたち  つめとりよし
《1802-1600》,《節中》,芒種五月せつとりの一刻ニ入日の出より日入まて,昼五十九刻半/夜四十刻半,六より六まて,昼六十五刻余/夜三十四刻半余
《1802-1610》,《暦日2》,九／,つちのえとら,なる,土,　,母倉 きこ  みそすつくり  つめとりよし
《1802-1620》,《暦日0》,十／,つちのとのう,おさん,,　,大みやう 天おん 母倉 ちいみ 大くわ
《1802-1630》,《暦日2》,十一／,かのえたつ,ひらく,金,　,天おん  けんふく かといてよし
《1802-1640》,《暦日0》,十二／,かのとのみ,とつ,,　,十し
《1802-1650》,《暦日2》,十三／,みつのえむま,たつ,木,入梅,大みやう 天おん 下しきうの時
《1802-1660》,《暦日0》,十四／,みつのとのひつし,のそく,,　,天おん ふく日  田うへよし
《1802-1670》,《暦日2》,十五／,きのえさる,みつ,水,十方くれニ入,神よし 大みやう
《1802-1680》,《暦日0》,十六／,きのとのとり,たいら,,　,神よし めつもん 地火
《1802-1690》,《暦日2》,十七／,ひのえいぬ,さたん,土,　,月とく 五む日  むきかりよし
《1802-1700》,《暦日0》,十八／,ひのとのい,とる,,　,大みやう ちう日 ふく日
《1802-1710》,《暦日2》,十九／,つちのえね,やふる,火,　,●
《1802-1720》,《暦日0》,廿／,つちのとのうし,あやふ,,　, 田うへ  つめとりよし
《1802-1730》,《暦日2》,廿一／,かのえとら,なる,木,　,母倉 きこ  井ほり  つめとりよし
《1802-1740》,《暦日0》,廿二／,かのとのう,おさん,,　,母倉 月とく ちいみ 大くわ  ものたちよし
《1802-1750》,《暦日1》,廿三／,みつのえたつ,ひらく,水,　,大みやう 五む日 わうまう
