《1859-0000》,# カンマ区切りテキスト形式です。
《1859-0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《1859-0020》,# ・表の区画内での改行は“/”で表記します。
《1859-0030》,# ・《行番号》とその次のカラム(《暦首》など)は表成型に用いますので削除しないでください。
《1859-0040》,# ・カンマ","を追加・削除すると、その行が表成型できない場合があります。
《1859-0050》,# 外部リンク
《1859-0060》,# ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546787/56 ～ 64
《1859-0070》,# ・hosi.org　 : http://hosi.org:3000/Note/1859g　(GitHub上データを表成型)
《1859-0080》,# 　　　　　　 　http://hosi.org:3000/Note/1859h　(翻刻編集データを表成型 - 未実装)
《1859-0090》,# 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png
《1859-0100》,《版元》,出版地○○,出版元□□□,　
《1859-1630》,《暦日0》,十／,つちのとのう,おさん,,　,大みやう 天おん 母倉 ちいみ 大くわ
《1859-1640》,《暦日2》,十一／,かのえたつ,ひらく,金,　,天おん  けんふく かといてよし
《1859-1650》,《暦日0》,十二／,かのとのみ,とつ,,　,十し
《1859-1660》,《暦日2》,十三／,みつのえむま,たつ,木,入梅,大みやう 天おん 下しきうの時
《1859-1670》,《暦日0》,十四／,みつのとのひつし,のそく,,　,天おん ふく日  田うへよし
《1859-1680》,《暦日2》,十五／,きのえさる,みつ,水,十方くれニ入,神よし 大みやう
《1859-1690》,《暦日0》,十六／,きのとのとり,たいら,,　,神よし めつもん 地火
《1859-1700》,《暦日2》,十七／,ひのえいぬ,さたん,土,　,月とく 五む日  むきかりよし
《1859-1710》,《暦日0》,十八／,ひのとのい,とる,,　,大みやう ちう日 ふく日
《1859-1720》,《暦日2》,十九／,つちのえね,やふる,火,　,●
《1859-1730》,《暦日0》,廿／,つちのとのうし,あやふ,,　, 田うへ  つめとりよし
《1859-1740》,《暦日2》,廿一／,かのえとら,なる,木,　,母倉 きこ わうまう  井ほり  つめとりよし
《1859-1750》,《暦日0》,廿二／,かのとのう,おさん,,　,母倉 月とく ちいみ 大くわ  ものたちよし
《1859-1760》,《節中》,夏至五月中朝五時八分日の出より日入まて,昼五十九刻半余/夜四十刻余,六より六まて,昼六十五刻半余/夜三十四刻余
《1859-1770》,《暦日2》,廿三／,みつのえたつ,ひらく,水,　,大みやう 五む日
《1859-1780》,《暦日0》,廿四／,みつのとのみ,とつ,,天一天上,十し
《1859-1790》,《暦日2》,廿五／,きのえむま,たつ,金,　,天しや よろつよし
《1859-1800》,《暦日0》,廿六／,きのとのひつし,のそく,,　,大みやう 五む日  むきかりよし
《1859-1810》,《暦日2》,廿七／,ひのえさる,みつ,火,　,神よし 月とく  入学 いちたちよし
《1859-1820》,《暦日0》,廿八／,ひのとのとり,たいら,,　,神よし ふく日 めつもん 地火
《1859-1830》,《暦日1》,廿九／,つちのえいぬ,さたん,木,　, かまぬり 田うへよし
《1859-1840》,《月序》,六月,大,建,辛未,昴宿　井　木よう
《1859-1850》,《暦日1》,一／,つちのとのい,とる,木,　,神よし ちう日
《1859-1860》,《暦日2》,二／,かのえね,やふる,土,　,●
《1859-1870》,《暦日0》,三／,かのとのうし,あやふ,,はんけしやう,神よし 月とく 五む日  つめとりよし
《1859-1880》,《暦日2》,四／,みつのえとら,なる,金,　,大みやう 母倉 きこ  くさかり  つめとりよし
《1859-1890》,《暦日0》,五／,みつのとのう,おさん,,　,母倉 ちいみ 大くわ ふく日
《1859-1900》,《暦日2》,六／,きのえたつ,ひらく,火,　,大みやう  むきかり 田うへよし
《1859-1910》,《暦日0》,七／,きのとのみ,とつ,,　,十し
《1859-1920》,《暦日2》,八／,ひのえむま,たつ,水,　,大みやう くゑ日 下しきうの時
《1859-1930》,《暦日0》,九／,ひのとのひつし,たつ,,　,くゑ日
《1859-1940》,《節中》,小暑六月せつ今暁八時八分ニ入日の出より日入まて,昼五十九刻半/夜四十刻半,六より六まて,昼六十五刻余/夜三十四刻半余
《1859-1950》,《暦日2》,十／,つちのえさる,のそく,土,　,神よし ふく日  たねまきよし
《1859-1960》,《暦日0》,十一／,つちのとのとり,みつ,,　,神よし 大みやう 天おん 月とく ちいみ ふく日
《1859-1970》,《暦日2》,十二／,かのえいぬ,たいら,金,　,大みやう 天おん 大くわ 地火
《1859-1980》,《暦日0》,十三／,かのとのい,さたん,,　,大みやう 天おん ちう日
《1859-1990》,《暦日2》,十四／,みつのえね,とる,木,八せんのはしめ,天おん きこ 下しきたつの時
《1859-2000》,《暦日0》,十五／,みつのとのうし,やふる,,ま日,十し
《1859-2010》,《暦日2》,十六／,きのえとら,あやふ,水,　,母倉 月とく  やたて  つめとりよし
《1859-2020》,《暦日0》,十七／,きのとのう,なる,,　,神よし 母倉 天火 らうしやく
《1859-2030》,《暦日2》,十八／,ひのえたつ,おさん,土,ま日,大みやう めつもん  けんふくよし
《1859-2040》,《暦日0》,十九／,ひのとのみ,ひらく,,　,くゑ日 ちう日
《1859-2050》,《暦日2》,廿／,つちのえむま,とつ,火,ま日,●
《1859-2060》,《暦日0》,廿一／,つちのとのひつし,たつ,,とよう明六時七分ニ入,大みやう くゑ日 ふく日
《1859-2070》,《暦日2》,廿二／,かのえさる,のそく,木,初伏,さい下しき 神よし 大みやう  くさかりよし
《1859-2080》,《暦日0》,廿三／,かのとのとり,みつ,,　,神よし 大みやう ちいみ  ものたち 井ほりよし
《1859-2090》,《暦日1》,廿四／,みつのえいぬ,たいら,水,ま日,大くわ 地火
《1859-2100》,《節中》,大暑六月中暮六時一分日の出より日入まて,昼五十八刻余/夜四十一刻半余,六より六まて,昼六十四刻/夜三十六刻
《1859-2110》,《暦日1》,廿五／,みつのとのい,さたん,水,八せんのおはり,ちう日
《1859-2120》,《暦日2》,廿六／,きのえね,とる,金,　,天おん 月とく きこ 下しきたつの時
《1859-2130》,《暦日0》,廿七／,きのとのうし,やふる,,　,十し
《1859-2140》,《暦日2》,廿八／,ひのえとら,あやふ,火,　,天おん  わたまし  つめとりよし
《1859-2150》,《暦日0》,廿九／,ひのとのう,なる,,　,神よし 天おん 天火 らうしやく
《1859-2160》,《暦日1》,卅／,つちのえたつ,おさん,木,　,きしく 天おん 五む日 ふく日 めつもん
《1859-2170》,《月序》,七月,小,建,壬申,畢宿　柳　土よう
《1859-2180》,《暦日1》,一／,つちのとのみ,ひらく,木,　,くゑ日 ちう日 ふく日
《1859-2190》,《暦日2》,二／,かのえむま,とつ,土,中伏,●
《1859-2200》,《暦日0》,三／,かのとのひつし,たつ,,　,大みやう  かといて ふねのりよし
《1859-2210》,《暦日2》,四／,みつのえさる,のそく,金,　,神よし 大みやう  くさかりよし
《1859-2220》,《暦日0》,五／,みつのとのとり,みつ,,　,神よし 大みやう ちいみ  みそすつくりよし
《1859-2230》,《暦日2》,六／,きのえいぬ,たいら,火,　,月とく 大くわ 地火  わたましよし
《1859-2240》,《暦日0》,七／,きのとのい,さたん,,　,ちう日
《1859-2250》,《暦日2》,八／,ひのえね,とる,水,　,きこ 下しきたつの時
《1859-2260》,《暦日0》,九／,ひのとのうし,やふる,,　,十し
《1859-2270》,《暦日1》,十／,つちのえとら,やふる,土,　, たねまき  つめとりよし
《1859-2280》,《節中》,立秋七月せつ昼九時ニ入日の出より日入まて,昼五十六刻半/夜四十三刻半,六より六まて,昼六十二刻/夜三十八刻
《1859-2290》,《暦日1》,十一／,つちのとのう,あやふ,土,　,神よし 大みやう 天おん  みそすつくりよし
《1859-2300》,《暦日2》,十二／,かのえたつ,なる,金,末伏,天おん 母倉 ちいみ ふく日  かといてよし
《1859-2310》,《暦日0》,十三／,かのとのみ,おさん,,　,天おん 大くわ ちう日
《1859-2320》,《暦日2》,十四／,みつのえむま,ひらく,木,　,神よし 大みやう 天おん 月とく 天火 らうしやく
《1859-2330》,《暦日0》,十五／,みつのとのひつし,とつ,,　,天おん 母倉
《1859-2340》,《食記》,月蝕皆既
《1859-2350》,《暦日2》,十六／,きのえさる,たつ,水,十方くれニ入,神よし 大みやう ふく日 下しきみの時
《1859-2360》,《暦日0》,十七／,きのとのとり,のそく,,　,十し
《1859-2370》,《暦日2》,十八／,ひのえいぬ,みつ,土,　,母倉 五む日 わうまう
《1859-2380》,《暦日0》,十九／,ひのとのい,たいら,,　,大みやう 月とく ちう日 めつもん 地火
《1859-2390》,《暦日2》,廿／,つちのえね,さたん,火,　, けんふく くさかりよし
《1859-2400》,《暦日0》,廿一／,つちのとのうし,とる,,　,●
《1859-2410》,《暦日2》,廿二／,かのえとら,やふる,木,　,ふく日  つめとりよし
《1859-2420》,《暦日0》,廿三／,かのとのう,あやふ,,　,神よし
《1859-2430》,《暦日2》,廿四／,みつのえたつ,なる,水,　,大みやう 母倉 月とく 五む日 ちいみ
《1859-2440》,《暦日0》,廿五／,みつのとのみ,おさん,,天一天上,大くわ ちう日  たねまきよし
《1859-2450》,《暦日1》,廿六／,きのえむま,ひらく,金,　,神よし ふく日 天火 らうしやく  かといてよし
《1859-2460》,《節中》,処暑七月中今暁八時六分日の出より日入まて,昼五十四刻半/夜四十五刻半,六より六まて,昼五十九刻半余/夜四十刻余
《1859-2470》,《暦日1》,廿七／,きのとのひつし,とつ,金,　,大みやう 母倉 五む日
《1859-2480》,《暦日2》,廿八／,ひのえさる,たつ,火,　,神よし きしく 下しきみの時  入学よし
《1859-2490》,《暦日0》,廿九／,ひのとのとり,のそく,,　,十し
《1859-2500》,《月序》,八月,小,建,癸酉,觜宿　星　日よう
《1859-2510》,《暦日2》,一／,つちのえいぬ,みつ,木,　,母倉  くらたて かまぬりよし
《1859-2520》,《暦日0》,二／,つちのとのい,たいら,,　,神よし ちう日 めつもん 地火
《1859-2530》,《暦日2》,三／,かのえね,さたん,土,　,神よし ふく日
《1859-2540》,《暦日0》,四／,かのとのうし,とる,,　,●
《1859-2550》,《暦日2》,五／,みつのえとら,やふる,金,二百十日,大みやう 月とく  やたて  つめとりよし
《1859-2560》,《暦日0》,六／,みつのとのう,あやふ,,　,神よし  わたまし みそすつくりよし
《1859-2570》,《暦日2》,七／,きのえたつ,なる,火,　,大みやう くゑ日 ちいみ ふく日
