《0000》,# カンマ区切りテキスト形式です。
《0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《0020》,# ・表の区画内での改行は“/”で表記します。
《2450》,《暦日2》,廿七／,みつのえいぬ,みつ,水,ま日,母倉 月とく
《2460》,《暦日0》,廿八／,みつのとのい,たいら,,八せんのおはり,ちう日 めつもん 地火
《2470》,《暦日1》,廿九／,きのえね,たいら,金,　,きしく 天おん 大くわ 地火  わたましよし
《2480》,《節中》,白露八月せつ今暁とらの三刻ニ入日の出より日入まて,昼五十二刻余/夜四十七刻余,六より六まて,昼五十七刻余/夜四十二刻余
《2490》,《月序》,八月,大,建,己酉,觜宿　柳　土よう
《2500》,《暦日1》,一／,きのとのうし,さたん,金,　,神よし 天おん 母倉 月とく ふく日  つめとりよし
《2510》,《暦日2》,二／,ひのえとら,とる,火,　,天おん きこ  つめとりよし
《2520》,《暦日0》,三／,ひのとのう,やふる,,　,さい下しき 天おん  田かりよし
《2530》,《暦日2》,四／,つちのえたつ,あやふ,木,　,天おん 母倉 五む日  みそすつくりよし
《2540》,《暦日0》,五／,つちのとのみ,なる,,　,十し
《2550》,《暦日2》,六／,かのえむま,おさん,土,二百廿日,月とく めつもん  竹木こりよし
《2560》,《暦日0》,七／,かのとのひつし,ひらく,,　,●
《2570》,《暦日2》,八／,みつのえさる,とつ,金,　,神よし 大みやう
《2580》,《暦日0》,九／,みつのとのとり,たつ,,　,大みやう 天火 らうしやく 下しきむまの時
《2590》,《暦日2》,十／,きのえいぬ,のそく,火,　,母倉 ちいみ  竹木こりよし
《2600》,《暦日0》,十一／,きのとのい,みつ,,　,月とく ちう日 ふく日  入学よし
《2610》,《暦日2》,十二／,ひのえね,たいら,水,　,大くわ 地火
《2620》,《暦日0》,十三／,ひのとのうし,さたん,,　,神よし 大みやう 母倉  ものたち  つめとりよし
《2630》,《暦日2》,十四／,つちのえとら,とる,土,社日/ひかんニなる,きこ  田かり  つめとりよし
《2640》,《暦日0》,十五／,つちのとのう,やふる,,　,大みやう 天おん
《2650》,《節中》,秋分八月中みの初刻日の出より日入まて,昼五十刻/夜五十刻,六より六まて,昼五十五刻/夜四十五刻
《2660》,《食記》,月そく四分半
《2670》,《暦日2》,十六／,かのえたつ,あやふ,金,　,天おん 母倉 月とく
《2680》,《暦日0》,十七／,かのとのみ,なる,,　,十し
《2690》,《暦日2》,十八／,みつのえむま,おさん,木,　,大みやう 天おん めつもん
《2700》,《暦日0》,十九／,みつのとのひつし,ひらく,,　,●
《2710》,《暦日2》,廿／,きのえさる,とつ,水,十方くれニ入,神よし 大みやう  竹木こり 田かりよし
《2720》,《暦日0》,廿一／,きのとのとり,たつ,,　,月とく ふく日 天火 らうしやく 下しきむまの時
《2730》,《暦日2》,廿二／,ひのえいぬ,のそく,土,　,母倉 五む日 ちいみ
《2740》,《暦日0》,廿三／,ひのとのい,みつ,,　,大みやう ちう日  入学よし
《2750》,《暦日2》,廿四／,つちのえね,たいら,火,　,大くわ 地火
《2760》,《暦日0》,廿五／,つちのとのうし,さたん,,　,母倉  かまぬり  つめとりよし
《2770》,《暦日2》,廿六／,かのえとら,とる,木,　,月とく きこ  つめとりよし
《2780》,《暦日0》,廿七／,かのとのう,やふる,,　,ふく日  田かりよし
《2790》,《暦日2》,廿八／,みつのえたつ,あやふ,水,　,きしく 大みやう 母倉 五む日
《2800》,《暦日0》,廿九／,みつのとのみ,なる,,天一天上,十し
《2810》,《暦日1》,卅／,きのえむま,なる,金,　,くゑ日
《2820》,《節中》,寒露九月せつひつしの五刻ニ入日の出より日入まて,昼四十七刻余/夜五十二刻余,六より六まて,昼五十二刻余/夜四十七刻余
《2830》,《月序》,九月,小,建,庚戌,參宿　張　月よう
《2840》,《暦日1》,一／,きのとのひつし,おさん,金,　,大みやう 五む日 くゑ日 大くわ
《2850》,《暦日2》,二／,ひのえさる,ひらく,火,　,くゑ日
《2860》,《暦日0》,三／,ひのとのとり,とつ,,　,くゑ日
《2870》,《暦日2》,四／,つちのえいぬ,たつ,木,　,くゑ日 ふく日  田かりよし
《2880》,《暦日0》,五／,つちのとのい,のそく,,　,神よし ちう日 ふく日  むきまきよし
《2890》,《暦日2》,六／,かのえね,みつ,土,　,神よし きこ 天火 らうしやく
《2900》,《暦日0》,七／,かのとのうし,たいら,,　,十し
《2910》,《暦日2》,八／,みつのえとら,さたん,金,　,●
《2920》,《暦日0》,九／,みつのとのう,とる,,　,神よし  けんふく かといてよし
《2930》,《暦日2》,十／,きのえたつ,やふる,火,　,大みやう
《2940》,《暦日0》,十一／,きのとのみ,あやふ,,　,神よし 大みやう 母倉 ちいみ ちう日 下しきひつしの時
