«1827-0000»,【 カンマ区切りテキスト形式です。】
«1827-1070»,«暦日0»,廿〳,きのとのひつし,たいら,,　,大みやう 五む日 めつもん 地火  ものたちよし
«1827-1080»,«暦日2»,廿一〳,ひのえさる,さたん,火,　,くゑ日
«1827-1090»,«暦日0»,廿二〳,ひのとのとり,とる,,　,神よし 月とく  いちたちよし
«1827-1100»,«暦日2»,廿三〳,つちのえいぬ,やふる,木,　,ふく日
«1827-1110»,«暦日0»,廿四〳,つちのとのい,あやふ,,　,●
«1827-1120»,«暦日2»,廿五〳,かのえね,なる,土,とよう今暁うしの四刻ニ入,さい下しき 神よし きしく きこ
«1827-1130»,«暦日0»,廿六〳,かのとのうし,おさん,,　,十し
«1827-1140»,«暦日2»,廿七〳,みつのえとら,ひらく,金,　,大みやう 月とく ちいみ  つめとりよし
«1827-1150»,«暦日0»,廿八〳,みつのとのう,とつ,,　,神よし  けんふく かといてよし
«1827-1160»,«節中»,穀雨三月中今暁とらの初刻日の出より日入まて,昼五十四刻半余|夜四十五刻余,六より六まて,昼六十刻|夜四十刻
«1827-1170»,«暦日2»,廿九〳,きのえたつ,たつ,火,　,大みやう くゑ日
«1827-1180»,«暦日0»,卅〳,きのとのみ,のそく,,　,神よし 大みやう 母倉 ちう日  ふねのりよし
«1827-1190»,«月序»,四月,大,建,乙巳,柳宿　角　木よう
«1827-1200»,«暦日2»,一〳,ひのえむま,みつ,水,　,神よし 大みやう 母倉 天火 らうしやく
«1827-1210»,«暦日0»,二〳,ひのとのひつし,たいら,,　,月とく めつもん 地火 わうまう
«1827-1220»,«暦日2»,三〳,つちのえさる,さたん,土,　,くゑ日 ふく日
«1827-1230»,«暦日0»,四〳,つちのとのとり,とる,,　,神よし 大みやう 天おん ふく日
«1827-1240»,«暦日2»,五〳,かのえいぬ,やふる,金,　,大みやう 天おん
«1827-1250»,«暦日0»,六〳,かのとのい,あやふ,,　,●
«1827-1260»,«暦日2»,七〳,みつのえね,なる,木,八せんのはしめ,神よし 天おん 母倉 月とく きこ
«1827-1270»,«暦日0»,八〳,みつのとのうし,おさん,,ま日,十し
«1827-1280»,«暦日2»,九〳,きのえとら,ひらく,水,八十八や,ちいみ  やたて  つめとりよし
«1827-1290»,«暦日0»,十〳,きのとのう,とつ,,　,神よし  ものたちよし
«1827-1300»,«暦日2»,十一〳,ひのえたつ,たつ,土,ま日,大みやう  わたましよし
«1827-1310»,«暦日0»,十二〳,ひのとのみ,のそく,,　,母倉 月とく ちう日  いちたちよし
«1827-1320»,«暦日1»,十三〳,つちのえむま,のそく,火,ま日,くゑ日
«1827-1330»,«節中»,立夏四月せつたつの五刻ニ入日の出より日入まて,昼五十六刻半余|夜四十三刻余,六より六まて,昼六十二刻余|夜三十七刻半余
«1827-1340»,«暦日1»,十四〳,つちのとのひつし,みつ,火,　,大みやう くゑ日
«1827-1350»,«暦日2»,十五〳,かのえさる,たいら,木,　,神よし 大みやう 月とく ちいみ 大くわ 地火
«1827-1360»,«暦日0»,十六〳,かのとのとり,さたん,,　,十し
«1827-1370»,«食記»,月帯そく,　
«1827-1380»,«暦日2»,十七〳,みつのえいぬ,とる,水,ま日,ふく日
«1827-1390»,«暦日0»,十八〳,みつのとのい,やふる,,八せんのおはり,くゑ日 ちう日
«1827-1400»,«暦日2»,十九〳,きのえね,あやふ,金,　,天おん
«1827-1410»,«暦日0»,廿〳,きのとのうし,なる,,　,天おん 月とく きこ わうまう  かまぬり  つめとりよし
«1827-1420»,«暦日2»,廿一〳,ひのえとら,おさん,火,　,天おん 母倉 ふく日 めつもん  つめとりよし
«1827-1430»,«暦日0»,廿二〳,ひのとのう,ひらく,,　,神よし 天おん 母倉  わたましよし
«1827-1440»,«暦日2»,廿三〳,つちのえたつ,とつ,木,　,きしく 五む日 くゑ日
«1827-1450»,«暦日0»,廿四〳,つちのとのみ,たつ,,　,●
«1827-1460»,«暦日2»,廿五〳,かのえむま,のそく,土,　,神よし 月とく  さひらき みそすつくりよし
«1827-1470»,«暦日0»,廿六〳,かのとのひつし,みつ,,　,大みやう くゑ日
«1827-1480»,«暦日2»,廿七〳,みつのえさる,たいら,金,　,神よし 大みやう ちいみ 大くわ ふく日 地火
«1827-1490»,«暦日0»,廿八〳,みつのとのとり,さたん,,　,十し
«1827-1500»,«節中»,小満四月中ひつしの二刻日の出より日入まて,昼五十八刻余|夜四十一刻半余,六より六まて,昼六十四刻|夜三十六刻
«1827-1510»,«暦日2»,廿九〳,きのえいぬ,とる,火,　, やたて くらたてよし
«1827-1520»,«暦日0»,卅〳,きのとのい,やふる,,　,月とく ちう日
«1827-1530»,«月序»,五月,小,建,丙午,星宿　氐　土よう
«1827-1540»,«暦日2»,一〳,ひのえね,あやふ,水,　,ふく日  さひらきよし
