«1776-0000»,【 カンマ区切りテキスト形式です。】
«1776-1190»,«月序»,四月,小,建,癸巳,軫宿　胃　土よう
«1776-1200»,«暦日2»,一〳,みつのえとら,おさん,金,　,大みやう 母倉 ふく日 めつもん  つめとりよし
«1776-1210»,«暦日0»,二〳,みつのとのう,ひらく,,　,神よし 母倉  かといて さひらきよし
«1776-1220»,«暦日2»,三〳,きのえたつ,とつ,火,　,大みやう
«1776-1230»,«暦日0»,四〳,きのとのみ,たつ,,　,●
«1776-1240»,«暦日1»,五〳,ひのえむま,のそく,水,　,大みやう くゑ日 ふく日
«1776-1250»,«節中»,小満四月中今暁とらの六刻日の出より日入まて,昼五十八刻余|夜四十一刻余,六より六まて,昼六十三刻余|夜三十六刻余
«1776-1260»,«暦日1»,六〳,ひのとのひつし,みつ,水,　,くゑ日
«1776-1270»,«暦日2»,七〳,つちのえさる,たいら,土,　,神よし きしく ちいみ 大くわ 地火
«1776-1280»,«暦日0»,八〳,つちのとのとり,さたん,,　,十し
«1776-1290»,«暦日2»,九〳,かのえいぬ,とる,金,　,大みやう 天おん 月とく  やたて くさかりよし
«1776-1300»,«暦日0»,十〳,かのとのい,やふる,,　,神よし 大みやう 天おん ちう日  さひらきよし
«1776-1310»,«暦日2»,十一〳,みつのえね,あやふ,木,八せんのはしめ,神よし 天おん ふく日  くらたてよし
«1776-1320»,«暦日0»,十二〳,みつのとのうし,なる,,ま日,天おん きこ  つめとりよし
«1776-1330»,«暦日2»,十三〳,きのえとら,おさん,水,　,母倉 めつもん  つめとりよし
«1776-1340»,«暦日0»,十四〳,きのとのう,ひらく,,　,神よし 母倉 月とく  さひらきよし
«1776-1350»,«暦日2»,十五〳,ひのえたつ,とつ,土,ま日,大みやう ふく日
«1776-1360»,«暦日0»,十六〳,ひのとのみ,たつ,,　,●
«1776-1370»,«暦日2»,十七〳,つちのえむま,のそく,火,ま日,くゑ日
«1776-1380»,«暦日0»,十八〳,つちのとのひつし,みつ,,　,大みやう くゑ日
«1776-1390»,«暦日2»,十九〳,かのえさる,たいら,木,　,神よし 大みやう 月とく ちいみ 大くわ 地火
«1776-1400»,«暦日0»,廿〳,かのとのとり,たいら,,　,神よし 大みやう 月とく めつもん 地火
«1776-1410»,«節中»,芒種五月せつみの二刻ニ入日の出より日入まて,昼五十九刻余|夜四十刻余,六より六まて,昼六十四刻余|夜三十五刻余
«1776-1420»,«暦日2»,廿一〳,みつのえいぬ,さたん,水,入梅|ま日, むきかりよし
«1776-1430»,«暦日0»,廿二〳,みつのとのい,とる,,八せんのおはり,ちう日 ふく日
«1776-1440»,«暦日2»,廿三〳,きのえね,やふる,金,　,●
«1776-1450»,«暦日0»,廿四〳,きのとのうし,あやふ,,　,神よし 天おん  つめとりよし
«1776-1460»,«暦日2»,廿五〳,ひのえとら,なる,火,　,天おん 母倉 月とく きこ  つめとりよし
«1776-1470»,«暦日0»,廿六〳,ひのとのう,おさん,,　,天おん 母倉 ちいみ 大くわ ふく日
«1776-1480»,«暦日2»,廿七〳,つちのえたつ,ひらく,木,　,天おん 五む日  かまぬり 田うへよし
«1776-1490»,«暦日0»,廿八〳,つちのとのみ,とつ,,　,十し
«1776-1500»,«暦日1»,廿九〳,かのえむま,たつ,土,　,下しきうの時  むきかりよし
«1776-1510»,«月序»,五月,大,建,甲午,角宿　昴　日よう
«1776-1520»,«暦日1»,一〳,かのとのひつし,のそく,土,　,大みやう 月とく  ふねのり 井ほりよし
«1776-1530»,«暦日2»,二〳,みつのえさる,みつ,金,　,神よし 大みやう  くさかりよし
«1776-1540»,«暦日0»,三〳,みつのとのとり,たいら,,　,神よし 大みやう ふく日 めつもん 地火
«1776-1550»,«暦日2»,四〳,きのえいぬ,さたん,火,　, わたまし くらたてよし
«1776-1560»,«暦日0»,五〳,きのとのい,とる,,　,ちう日  むきかり 田うへよし
