《0000》,# カンマ区切りテキスト形式です。
《0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《0020》,# ・表の区画内での改行は“/”で表記します。
《1670》,《暦日2》,十五／,みつのえとら,なる,金,　,大みやう 母倉 きこ  くさかり  つめとりよし
《1680》,《暦日0》,十六／,みつのとのう,おさん,,　,母倉 ちいみ 大くわ ふく日
《1690》,《暦日2》,十七／,きのえたつ,ひらく,火,　,大みやう  むきかり 田うへよし
《1700》,《暦日0》,十八／,きのとのみ,とつ,,　,十し
《1710》,《暦日2》,十九／,ひのえむま,たつ,水,　,大みやう くゑ日 下しきうの時
《1720》,《暦日0》,廿／,ひのとのひつし,のそく,,　,神よし ふく日
《1730》,《暦日2》,廿一／,つちのえさる,みつ,土,　,神よし きしく  入学よし
《1740》,《暦日0》,廿二／,つちのとのとり,たいら,,　,神よし 大みやう 天おん めつもん 地火
《1750》,《暦日2》,廿三／,かのえいぬ,さたん,金,　,大みやう 天おん  かといてよし
《1760》,《暦日0》,廿四／,かのとのい,とる,,　,神よし 大みやう 天おん 月とく ちう日  入学よし
《1770》,《暦日2》,廿五／,みつのえね,やふる,木,はんけしやう/八せんのはしめ,●
《1780》,《暦日0》,廿六／,みつのとのうし,あやふ,,ま日,神よし 天おん ふく日  むきかり  つめとりよし
《1790》,《暦日2》,廿七／,きのえとら,なる,水,　,母倉 きこ  田うへ  つめとりよし
《1800》,《暦日0》,廿八／,きのとのう,おさん,,　,母倉 ちいみ 大くわ  ものたちよし
《1810》,《暦日2》,廿九／,ひのえたつ,ひらく,土,ま日,大みやう 月とく  けんふく いちたちよし
《1820》,《暦日0》,卅／,ひのとのみ,ひらく,,　,くゑ日 ちう日
《1830》,《節中》,小暑六月せつ昼九時八分ニ入日の出より日入まて,昼五十九刻半/夜四十刻半,六より六まて,昼六十五刻余/夜三十四刻半余
《1840》,《月序》,六月,小,建,乙未,壁宿　心　月よう
《1850》,《暦日1》,一／,つちのえむま,とつ,火,ま日,●
《1860》,《食記》,日そく三分
《1870》,《暦日1》,二／,つちのとのひつし,たつ,火,　,大みやう くゑ日 ふく日
《1880》,《暦日2》,三／,かのえさる,のそく,木,　,神よし 大みやう  くさかりよし
《1890》,《暦日0》,四／,かのとのとり,みつ,,　,神よし 大みやう ちいみ  ものたち 井ほりよし
《1900》,《暦日2》,五／,みつのえいぬ,たいら,水,ま日,大くわ 地火
《1910》,《暦日0》,六／,みつのとのい,さたん,,八せんのおはり,ちう日
《1920》,《暦日2》,七／,きのえね,とる,金,　,天おん 月とく きこ 下しきたつの時
《1930》,《暦日0》,八／,きのとのうし,やふる,,　,十し
《1940》,《暦日2》,九／,ひのえとら,あやふ,火,　,天おん  わたまし  つめとりよし
《1950》,《暦日0》,十／,ひのとのう,なる,,　,神よし 天おん 天火 らうしやく
《1960》,《暦日2》,十一／,つちのえたつ,おさん,木,　,天おん 五む日 ふく日 めつもん
