«1834-0000»,【 カンマ区切りテキスト形式です。】
«1834-0010»,【 ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。】
«1834-0020»,【 ・表の区画内での改行は“|”で表記します。】
«1834-0030»,【 ・«行番号»とその次のカラム(«暦首»など)は表成型に用いますので削除しないでください。】
«1834-0040»,【 ・カンマ","を追加・削除すると、その行が表成型できない場合があります。】
«1834-0050»,【 外部リンク　】
«1834-0060»,【 ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546786/126 ～ 130】
«1834-0070»,【 ・hosi.org　 : http://hosi.org:3000/Note/1834h　(翻刻編集終了データを表成型して表示します)】
«1834-0080»,【 　　　　　　 　http://hosi.org:3000/Note/1834ht (翻刻編集中データを表成型して表示します)】
«1834-0090»,【 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png 】
«1834-0100»,«版元»,出版地○○,出版元□□□,　
«1834-2060»,«暦日2»,廿〳,きのえとら,あやふ,水,　,母倉 月とく  やたて  つめとりよし
«1834-2070»,«暦日0»,廿一〳,きのとのう,なる,,　,神よし 母倉 天火 らうしやく
«1834-2080»,«暦日2»,廿二〳,ひのえたつ,おさん,土,ま日,大みやう めつもん  けんふくよし
«1834-2090»,«暦日0»,廿三〳,ひのとのみ,ひらく,,　,くゑ日 ちう日
«1834-2100»,«暦日2»,廿四〳,つちのえむま,とつ,火,ま日,●
«1834-2110»,«暦日0»,廿五〳,つちのとのひつし,たつ,,　,大みやう くゑ日 ふく日
«1834-2120»,«暦日2»,廿六〳,かのえさる,のそく,木,　,神よし きしく 大みやう  くさかりよし
«1834-2130»,«暦日0»,廿七〳,かのとのとり,みつ,,　,神よし 大みやう ちいみ  ものたち 井ほりよし
«1834-2140»,«暦日2»,廿八〳,みつのえいぬ,たいら,水,ま日,大くわ 地火
«1834-2150»,«暦日0»,廿九〳,みつのとのい,さたん,,八せんのおはり,ちう日
«1834-2160»,«月序»,七月,小,建,壬申,翼宿　翼　火よう
«1834-2170»,«暦日2»,一〳,きのえね,とる,金,　,天おん 月とく きこ 下しきたつの時
«1834-2180»,«暦日0»,二〳,きのとのうし,やふる,,　,十し
«1834-2190»,«暦日1»,三〳,ひのえとら,やふる,火,　,天おん  けんふく  つめとりよし
«1834-2200»,«節中»,立秋七月せつたつの六刻ニ入日の出より日入まて,昼五十六刻半余|夜四十三刻余,六より六まて,昼六十二刻余|夜三十七刻半余
«1834-2210»,«暦日1»,四〳,ひのとのう,あやふ,火,　,神よし 天おん 月とく  わたましよし
«1834-2220»,«暦日2»,五〳,つちのえたつ,なる,木,　,天おん 母倉 五む日 ちいみ  いちたちよし
«1834-2230»,«暦日0»,六〳,つちのとのみ,おさん,,　,神よし 大くわ ちう日
«1834-2240»,«暦日2»,七〳,かのえむま,ひらく,土,末伏,神よし ふく日 天火 らうしやく
«1834-2250»,«暦日0»,八〳,かのとのひつし,とつ,,　,大みやう 母倉  ものたちよし
«1834-2260»,«暦日2»,九〳,みつのえさる,たつ,金,　,神よし 大みやう 月とく 下しきみの時
«1834-2270»,«暦日0»,十〳,みつのとのとり,のそく,,　,十し
«1834-2280»,«暦日2»,十一〳,きのえいぬ,みつ,火,　,母倉 ふく日 わうまう  くらたてよし
«1834-2290»,«暦日0»,十二〳,きのとのい,たいら,,　,ちう日 めつもん 地火
«1834-2300»,«暦日2»,十三〳,ひのえね,さたん,水,　, 田かりよし
«1834-2310»,«暦日0»,十四〳,ひのとのうし,とる,,　,●
«1834-2320»,«暦日2»,十五〳,つちのえとら,やふる,土,　, たねまき  つめとりよし
«1834-2330»,«暦日0»,十六〳,つちのとのう,あやふ,,　,神よし 大みやう 天おん  みそすつくりよし
«1834-2340»,«暦日2»,十七〳,かのえたつ,なる,金,　,天おん 母倉 ちいみ ふく日  かといてよし
«1834-2350»,«暦日0»,十八〳,かのとのみ,おさん,,　,天おん 大くわ ちう日
«1834-2360»,«節中»,処暑七月中ひつしの三刻日の出より日入まて,昼五十四刻半余|夜四十五刻余,六より六まて,昼六十刻|夜四十刻
«1834-2370»,«暦日2»,十九〳,みつのえむま,ひらく,木,　,神よし 大みやう 天おん 月とく 天火 らうしやく
«1834-2380»,«暦日0»,廿〳,みつのとのひつし,とつ,,　,天おん 母倉
«1834-2390»,«暦日2»,廿一〳,きのえさる,たつ,水,十方くれニ入,神よし 大みやう ふく日 下しきみの時
«1834-2400»,«暦日0»,廿二〳,きのとのとり,のそく,,　,十し
«1834-2410»,«暦日2»,廿三〳,ひのえいぬ,みつ,土,　,母倉 五む日
«1834-2420»,«暦日0»,廿四〳,ひのとのい,たいら,,　,大みやう 月とく ちう日 めつもん 地火
«1834-2430»,«暦日2»,廿五〳,つちのえね,さたん,火,　,きしく  けんふく くさかりよし
«1834-2440»,«暦日0»,廿六〳,つちのとのうし,とる,,　,●
«1834-2450»,«暦日2»,廿七〳,かのえとら,やふる,木,　,ふく日  つめとりよし
«1834-2460»,«暦日0»,廿八〳,かのとのう,あやふ,,　,神よし
«1834-2470»,«暦日1»,廿九〳,みつのえたつ,なる,水,二百十日,大みやう 母倉 月とく 五む日 ちいみ
«1834-2480»,«月序»,八月,大,建,癸酉,軫宿　軫　水よう
«1834-2490»,«暦日1»,一〳,みつのとのみ,おさん,水,天一天上,大くわ ちう日  たねまきよし
«1834-2500»,«暦日2»,二〳,きのえむま,ひらく,金,　,神よし ふく日 天火 らうしやく  かといてよし
