《0000》,# カンマ区切りテキスト形式です。
《0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《0020》,# ・表の区画内での改行は“/”で表記します。
《0030》,# ・《行番号》とその次のカラム(《暦首》など)は表成型に用いますので削除しないでください。
《0040》,# ・カンマ","を追加・削除すると、その行が表成型できない場合があります。
《0050》,# 外部リンク
《0060》,# ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546786/69 ～ 73
《0070》,# ・hosi.org　 : http://hosi.org:3000/Note/1821g　(GitHub上データを表成型)
《0080》,# 　　　　　　 　http://hosi.org:3000/Note/1821h　(翻刻編集データを表成型 - 未実装)
《0090》,# 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png
《0100》,《版元》,出版地○○,出版元□□□,　
《2610》,《暦日1》,十一／,つちのとのうし,さたん,火,　,母倉  かまぬり  つめとりよし
《2620》,《暦日2》,十二／,かのえとら,とる,木,　,月とく きこ  つめとりよし
《2630》,《暦日0》,十三／,かのとのう,やふる,,　,ふく日  田かりよし
《2640》,《暦日2》,十四／,みつのえたつ,あやふ,水,　,大みやう 母倉 五む日
《2650》,《暦日0》,十五／,みつのとのみ,なる,,天一天上,十し
《2660》,《暦日2》,十六／,きのえむま,おさん,金,二百廿日,めつもん
《2670》,《暦日0》,十七／,きのとのひつし,ひらく,,　,●
《2680》,《暦日2》,十八／,ひのえさる,とつ,火,　,神よし きしく
《2690》,《暦日0》,十九／,ひのとのとり,たつ,,　,天火 らうしやく 下しきむまの時
《2700》,《暦日2》,廿／,つちのえいぬ,のそく,木,社日,母倉 ちいみ  ふねのり 田かりよし
《2710》,《暦日0》,廿一／,つちのとのい,みつ,,　,神よし ちう日  いちたちよし
《2720》,《暦日2》,廿二／,かのえね,たいら,土,　,神よし 月とく 大くわ 地火
《2730》,《暦日0》,廿三／,かのとのうし,さたん,,　,神よし 母倉 五む日 ふく日  ものたち  つめとりよし
