«1785-0000»,【 カンマ区切りテキスト形式です。】
«1785-0010»,【 ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。】
«1785-0020»,【 ・表の区画内での改行は“|”で表記します。】
«1785-0030»,【 ・«行番号»とその次のカラム(«暦首»など)は表成型に用いますので削除しないでください。】
«1785-0040»,【 ・カンマ","を追加・削除すると、その行が表成型できない場合があります。】
«1785-0050»,【 外部リンク　】
«1785-0060»,【 ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546785/193 ～ 197】
«1785-0070»,【 ・hosi.org　 : http://hosi.org:3000/Note/1785h　(翻刻編集終了データを表成型して表示します)】
«1785-0080»,【 　　　　　　 　http://hosi.org:3000/Note/1785ht (翻刻編集中データを表成型して表示します)】
«1785-0090»,【 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png 】
«1785-0100»,«版元»,出版地○○,出版元□□□,　
«1785-1430»,«暦日2»,廿三〳,みつのえとら,おさん,金,　,大みやう 母倉 ふく日 めつもん  つめとりよし
«1785-1440»,«暦日0»,廿四〳,みつのとのう,ひらく,,　,神よし 母倉  かといて さひらきよし
«1785-1450»,«暦日2»,廿五〳,きのえたつ,とつ,火,　,大みやう
«1785-1460»,«暦日0»,廿六〳,きのとのみ,たつ,,　,●
«1785-1470»,«暦日2»,廿七〳,ひのえむま,のそく,水,　,さい下しき 大みやう くゑ日 ふく日
«1785-1480»,«暦日0»,廿八〳,ひのとのひつし,みつ,,　,くゑ日
«1785-1490»,«暦日1»,廿九〳,つちのえさる,みつ,土,　,神よし  入学よし
«1785-1500»,«節中»,芒種五月せつひつしの三刻ニ入日の出より日入まて,昼五十九刻余|夜四十刻余,六より六まて,昼六十四刻余|夜三十五刻余
«1785-1510»,«月序»,五月,小,建,壬午,星宿　觜　火よう
«1785-1520»,«暦日1»,一〳,つちのとのとり,たいら,土,　,神よし 大みやう 天おん めつもん 地火
«1785-1530»,«暦日2»,二〳,かのえいぬ,さたん,金,　,大みやう 天おん  かといてよし
«1785-1540»,«暦日0»,三〳,かのとのい,とる,,　,神よし 大みやう 天おん 月とく ちう日  入学よし
«1785-1550»,«暦日2»,四〳,みつのえね,やふる,木,入梅|八せんのはしめ,●
«1785-1560»,«暦日0»,五〳,みつのとのうし,あやふ,,ま日,神よし 天おん ふく日  むきかり  つめとりよし
«1785-1570»,«暦日2»,六〳,きのえとら,なる,水,　,母倉 きこ  田うへ  つめとりよし
«1785-1580»,«暦日0»,七〳,きのとのう,おさん,,　,母倉 ちいみ 大くわ  ものたちよし
«1785-1590»,«暦日2»,八〳,ひのえたつ,ひらく,土,ま日,大みやう 月とく  けんふく いちたちよし
«1785-1600»,«暦日0»,九〳,ひのとのみ,とつ,,　,十し
«1785-1610»,«暦日2»,十〳,つちのえむま,たつ,火,ま日,くゑ日 下しきうの時
«1785-1620»,«暦日0»,十一〳,つちのとのひつし,のそく,,　,神よし 大みやう  みそすつくり 田うへよし
«1785-1630»,«暦日2»,十二〳,かのえさる,みつ,木,　,神よし 大みやう  入学 むきかりよし
«1785-1640»,«暦日0»,十三〳,かのとのとり,たいら,,　,神よし 大みやう 月とく めつもん 地火
«1785-1650»,«暦日2»,十四〳,みつのえいぬ,さたん,水,ま日, むきかりよし
«1785-1660»,«暦日0»,十五〳,みつのとのい,とる,,八せんのおはり,ちう日 ふく日 わうまう
«1785-1670»,«節中»,夏至五月中とりの八刻日の出より日入まて,昼六十刻|夜四十刻,六より六まて,昼六十五刻|夜三十五刻
«1785-1680»,«暦日2»,十六〳,きのえね,やふる,金,　,●
«1785-1690»,«暦日0»,十七〳,きのとのうし,あやふ,,　,神よし 天おん  つめとりよし
«1785-1700»,«暦日2»,十八〳,ひのえとら,なる,火,　,天おん 母倉 月とく きこ  つめとりよし
«1785-1710»,«暦日0»,十九〳,ひのとのう,おさん,,　,天おん 母倉 ちいみ 大くわ ふく日
«1785-1720»,«暦日2»,廿〳,つちのえたつ,ひらく,木,　,天おん 五む日  かまぬり 田うへよし
«1785-1730»,«暦日0»,廿一〳,つちのとのみ,とつ,,　,十し
