«1828-0000»,【 カンマ区切りテキスト形式です。】
«1828-2060»,«暦日0»,廿一〳,つちのとのうし,やふる,,　,十し
«1828-2070»,«暦日2»,廿二〳,かのえとら,あやふ,木,　,母倉  やたて  つめとりよし
«1828-2080»,«暦日0»,廿三〳,かのとのう,なる,,　,神よし 母倉 天火 らうしやく
«1828-2090»,«暦日2»,廿四〳,みつのえたつ,おさん,水,　,大みやう 五む日 めつもん
«1828-2100»,«暦日0»,廿五〳,みつのとのみ,ひらく,,天一天上,母倉 ちう日  いちたちよし
«1828-2110»,«暦日1»,廿六〳,きのえむま,ひらく,金,　,神よし ふく日 天火 らうしやく  かといてよし
«1828-2120»,«節中»,立秋七月せついの二刻ニ入日の出より日入まて,昼五十六刻半余|夜四十三刻余,六より六まて,昼六十二刻余|夜三十七刻半余
«1828-2130»,«暦日1»,廿七〳,きのとのひつし,とつ,金,　,大みやう 母倉 五む日
«1828-2140»,«暦日2»,廿八〳,ひのえさる,たつ,火,　,神よし きしく 下しきみの時  入学よし
«1828-2150»,«暦日0»,廿九〳,ひのとのとり,のそく,,　,十し
«1828-2160»,«暦日1»,卅〳,つちのえいぬ,みつ,木,　,母倉  くらたて かまぬりよし
«1828-2170»,«月序»,七月,小,建,庚申,虛宿　張　月よう
«1828-2180»,«暦日1»,一〳,つちのとのい,たいら,木,　,神よし ちう日 めつもん 地火
«1828-2190»,«暦日2»,二〳,かのえね,さたん,土,末伏,神よし ふく日
«1828-2200»,«暦日0»,三〳,かのとのうし,とる,,　,●
«1828-2210»,«暦日2»,四〳,みつのえとら,やふる,金,　,大みやう 月とく  やたて  つめとりよし
«1828-2220»,«暦日0»,五〳,みつのとのう,あやふ,,　,神よし  わたまし みそすつくりよし
«1828-2230»,«暦日2»,六〳,きのえたつ,なる,火,　,大みやう くゑ日 ちいみ ふく日
«1828-2240»,«暦日0»,七〳,きのとのみ,おさん,,　,神よし 大みやう 大くわ ちう日  けんふくよし
«1828-2250»,«暦日2»,八〳,ひのえむま,ひらく,水,　,神よし 大みやう 天火 らうしやく  かといてよし
«1828-2260»,«暦日0»,九〳,ひのとのひつし,とつ,,　,神よし 母倉 月とく  いちたちよし
«1828-2270»,«暦日2»,十〳,つちのえさる,たつ,土,　,天しや よろつよし
«1828-2280»,«暦日0»,十一〳,つちのとのとり,のそく,,　,十し
«1828-2290»,«暦日1»,十二〳,かのえいぬ,みつ,金,　,大みやう 天おん 母倉 ふく日
«1828-2300»,«節中»,処暑七月中今暁うしの七刻日の出より日入まて,昼五十四刻半余|夜四十五刻余,六より六まて,昼六十刻|夜四十刻
«1828-2310»,«暦日1»,十三〳,かのとのい,たいら,金,　,神よし 大みやう 天おん ちう日 めつもん 地火
«1828-2320»,«暦日2»,十四〳,みつのえね,さたん,木,八せんのはしめ,神よし 天おん 月とく  くらたてよし
«1828-2330»,«暦日0»,十五〳,みつのとのうし,とる,,ま日,●
«1828-2340»,«暦日2»,十六〳,きのえとら,やふる,水,　,ふく日  かといて  つめとりよし
«1828-2350»,«暦日0»,十七〳,きのとのう,あやふ,,　,神よし  くらたて かまぬりよし
«1828-2360»,«暦日2»,十八〳,ひのえたつ,なる,土,ま日,大みやう 母倉 ちいみ  くさかりよし
«1828-2370»,«暦日0»,十九〳,ひのとのみ,おさん,,　,月とく 大くわ ちう日  ものたちよし
«1828-2380»,«暦日2»,廿〳,つちのえむま,ひらく,火,ま日,神よし 天火 らうしやく  入学よし
«1828-2390»,«暦日0»,廿一〳,つちのとのひつし,とつ,,　,神よし 大みやう 母倉  みそすつくりよし
«1828-2400»,«暦日2»,廿二〳,かのえさる,たつ,木,　,大みやう くゑ日 ふく日 下しきみの時
«1828-2410»,«暦日0»,廿三〳,かのとのとり,のそく,,二百十日,十し
«1828-2420»,«暦日2»,廿四〳,みつのえいぬ,みつ,水,ま日,母倉 月とく
«1828-2430»,«暦日0»,廿五〳,みつのとのい,たいら,,八せんのおはり,ちう日 めつもん 地火
«1828-2440»,«暦日2»,廿六〳,きのえね,さたん,金,　,きしく 天おん ふく日  ふねのりよし
«1828-2450»,«暦日0»,廿七〳,きのとのうし,さたん,,　,神よし 天おん 母倉 月とく ふく日  つめとりよし
«1828-2460»,«節中»,白露八月せつたつの四刻ニ入日の出より日入まて,昼五十二刻半|夜四十七刻半,六より六まて,昼五十七刻半余|夜四十二刻余
«1828-2470»,«暦日2»,廿八〳,ひのえとら,とる,火,　,天おん きこ  つめとりよし
«1828-2480»,«暦日0»,廿九〳,ひのとのう,やふる,,　,天おん  田かりよし
«1828-2490»,«月序»,八月,大,建,辛酉,危宿　翼　火よう
«1828-2500»,«暦日2»,一〳,つちのえたつ,あやふ,木,　,天おん 母倉 五む日  みそすつくりよし
«1828-2510»,«暦日0»,二〳,つちのとのみ,なる,,　,十し
«1828-2520»,«暦日2»,三〳,かのえむま,おさん,土,　,月とく めつもん  竹木こりよし
«1828-2530»,«暦日0»,四〳,かのとのひつし,ひらく,,二百廿日,●
«1828-2540»,«暦日2»,五〳,みつのえさる,とつ,金,　,神よし 大みやう
«1828-2550»,«暦日0»,六〳,みつのとのとり,たつ,,　,大みやう 天火 らうしやく 下しきむまの時
«1828-2560»,«暦日2»,七〳,きのえいぬ,のそく,火,　,母倉 ちいみ  竹木こりよし
«1828-2570»,«暦日0»,八〳,きのとのい,みつ,,　,月とく ちう日 ふく日  入学よし
«1828-2580»,«暦日2»,九〳,ひのえね,たいら,水,　,大くわ 地火
«1828-2590»,«暦日0»,十〳,ひのとのうし,さたん,,　,さい下しき 神よし 大みやう 母倉  ものたち  つめとりよし
«1828-2600»,«暦日2»,十一〳,つちのえとら,とる,土,社日,きこ  田かり  つめとりよし
«1828-2610»,«暦日0»,十二〳,つちのとのう,やふる,,ひかんニなる,大みやう 天おん
«1828-2620»,«暦日1»,十三〳,かのえたつ,あやふ,金,　,天おん 母倉 月とく
«1828-2630»,«節中»,秋分八月中ひつしの一刻日の出より日入まて,昼五十刻余|夜四十九刻半余,六より六まて,昼五十五刻余|夜四十四刻半余
«1828-2640»,«暦日1»,十四〳,かのとのみ,なる,金,　,十し
«1828-2650»,«暦日2»,十五〳,みつのえむま,おさん,木,　,大みやう 天おん めつもん わうまう
«1828-2660»,«暦日0»,十六〳,みつのとのひつし,ひらく,,　,●
«1828-2670»,«暦日2»,十七〳,きのえさる,とつ,水,十方くれニ入,神よし 大みやう  竹木こり 田かりよし
«1828-2680»,«暦日0»,十八〳,きのとのとり,たつ,,　,月とく ふく日 天火 らうしやく 下しきむまの時
«1828-2690»,«暦日2»,十九〳,ひのえいぬ,のそく,土,　,母倉 五む日 ちいみ
«1828-2700»,«暦日0»,廿〳,ひのとのい,みつ,,　,大みやう ちう日  入学よし
«1828-2710»,«暦日2»,廿一〳,つちのえね,たいら,火,　,大くわ 地火
«1828-2720»,«暦日0»,廿二〳,つちのとのうし,さたん,,　,母倉  かまぬり  つめとりよし
«1828-2730»,«暦日2»,廿三〳,かのえとら,とる,木,　,月とく きこ  つめとりよし
