«1760-0000»,【 カンマ区切りテキスト形式です。】
«1760-1780»,«暦日2»,廿五〳,つちのえたつ,おさん,木,　,天おん 五む日 ふく日 めつもん
«1760-1790»,«暦日0»,廿六〳,つちのとのみ,ひらく,,　,くゑ日 ちう日 ふく日
«1760-1800»,«暦日2»,廿七〳,かのえむま,とつ,土,　,●
«1760-1810»,«暦日0»,廿八〳,かのとのひつし,たつ,,　,大みやう  かといて ふねのりよし
«1760-1820»,«暦日2»,廿九〳,みつのえさる,のそく,金,　,神よし きしく 大みやう  くさかりよし
«1760-1830»,«暦日0»,卅〳,みつのとのとり,みつ,,　,神よし 大みやう ちいみ  みそすつくりよし
«1760-1840»,«月序»,六月,小,建,癸未,尾宿　星　日よう
«1760-1850»,«暦日2»,一〳,きのえいぬ,たいら,火,　,月とく 大くわ 地火  わたましよし
«1760-1860»,«暦日0»,二〳,きのとのい,さたん,,　,ちう日
«1760-1870»,«暦日2»,三〳,ひのえね,とる,水,　,きこ 下しきたつの時
«1760-1880»,«暦日0»,四〳,ひのとのうし,やふる,,　,十し
«1760-1890»,«暦日2»,五〳,つちのえとら,あやふ,土,　,ふく日  たねまき  つめとりよし
«1760-1900»,«暦日0»,六〳,つちのとのう,なる,,とよう今夜ねの四刻ニ入,神よし 大みやう 天おん 月とく ふく日 天火 らうしやく
«1760-1910»,«暦日2»,七〳,かのえたつ,おさん,金,初伏,天おん めつもん  けんふくよし
«1760-1920»,«暦日0»,八〳,かのとのみ,ひらく,,　,天おん 母倉 ちう日  ものたちよし
«1760-1930»,«暦日2»,九〳,みつのえむま,とつ,木,　,●
«1760-1940»,«暦日0»,十〳,みつのとのひつし,たつ,,　,天おん  たねまきよし
«1760-1950»,«節中»,大暑六月中今暁うしの初刻日の出より日入まて,昼五十八刻余|夜四十一刻余,六より六まて,昼六十三刻余|夜三十六刻余
«1760-1960»,«暦日2»,十一〳,きのえさる,のそく,水,十方くれニ入,神よし 大みやう 月とく
«1760-1970»,«暦日0»,十二〳,きのとのとり,みつ,,　,神よし ちいみ
«1760-1980»,«暦日2»,十三〳,ひのえいぬ,たいら,土,　,五む日 大くわ 地火
«1760-1990»,«暦日0»,十四〳,ひのとのい,さたん,,　,大みやう ちう日
«1760-2000»,«暦日2»,十五〳,つちのえね,とる,火,　,きこ ふく日 下しきたつの時
«1760-2010»,«暦日0»,十六〳,つちのとのうし,やふる,,　,十し
«1760-2020»,«暦日2»,十七〳,かのえとら,あやふ,木,中伏,母倉 わうまう  やたて  つめとりよし
«1760-2030»,«暦日0»,十八〳,かのとのう,なる,,　,神よし 母倉 天火 らうしやく
«1760-2040»,«暦日2»,十九〳,みつのえたつ,おさん,水,　,大みやう 五む日 めつもん
«1760-2050»,«暦日0»,廿〳,みつのとのみ,ひらく,,天一天上,母倉 ちう日  いちたちよし
«1760-2060»,«暦日2»,廿一〳,きのえむま,とつ,金,　,●
«1760-2070»,«暦日0»,廿二〳,きのとのひつし,たつ,,　,大みやう 五む日
«1760-2080»,«暦日2»,廿三〳,ひのえさる,のそく,火,　,神よし
«1760-2090»,«暦日0»,廿四〳,ひのとのとり,みつ,,　,神よし ちいみ  くさかりよし
«1760-2100»,«暦日1»,廿五〳,つちのえいぬ,みつ,木,　,母倉  くらたて かまぬりよし
«1760-2110»,«節中»,立秋七月せつうの五刻ニ入日の出より日入まて,昼五十七刻余|夜四十二刻余,六より六まて,昼六十二刻余|夜三十七刻余
«1760-2120»,«暦日1»,廿六〳,つちのとのい,たいら,木,　,神よし ちう日 めつもん 地火
