《1701-0000》,# カンマ区切りテキスト形式です。
《1701-0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《1701-2170》,《暦日0》,十二／,ひのとのとり,のそく,,　,十し
《1701-2180》,《暦日2》,十三／,つちのえいぬ,みつ,木,　, くらたて かまぬりよし
《1701-2190》,《暦日0》,十四／,つちのとのい,たいら,,　,神よし ちう日 めつもん 地火
《1701-2200》,《暦日1》,十五／,かのえね,さたん,土,　,ふく日
《1701-2210》,《食記》,月そく四分
《1701-2220》,《暦日1》,十六／,かのとのうし,とる,土,　,●
《1701-2230》,《暦日2》,十七／,みつのえとら,やふる,金,　,大みやう  やたて  つめとりよし
《1701-2240》,《暦日0》,十八／,みつのとのう,あやふ,,　,神よし  わたまし みそすつくりよし
《1701-2250》,《暦日2》,十九／,きのえたつ,なる,火,七月中たつの初刻,大みやう くゑ日 ちいみ ふく日
《1701-2260》,《暦日0》,廿／,きのとのみ,おさん,,　,神よし 大みやう 大くわ ちう日  けんふくよし
《1701-2270》,《暦日2》,廿一／,ひのえむま,ひらく,水,　,さい下しき 神よし 大みやう 天火 らうしやく  かといてよし
《1701-2280》,《暦日0》,廿二／,ひのとのひつし,とつ,,　,神よし  いちたちよし
《1701-2290》,《暦日2》,廿三／,つちのえさる,たつ,土,　,天しや よろつよし
《1701-2300》,《暦日0》,廿四／,つちのとのとり,のそく,,　,十し
《1701-2310》,《暦日2》,廿五／,かのえいぬ,みつ,金,　,大みやう ふく日
《1701-2320》,《暦日0》,廿六／,かのとのい,たいら,,　,神よし 大みやう ちう日 めつもん 地火
《1701-2330》,《暦日2》,廿七／,みつのえね,さたん,木,八せんのはしめ,神よし  くらたてよし
《1701-2340》,《暦日0》,廿八／,みつのとのうし,とる,,ま日,●
《1701-2350》,《暦日2》,廿九／,きのえとら,やふる,水,　,ふく日  かといて  つめとりよし
《1701-2360》,《暦日0》,卅／,きのとのう,あやふ,,二百十日,神よし  くらたて かまぬりよし
《1701-2370》,《月序》,八月,小,建,丁酉,軫宿　氐　土よう
《1701-2380》,《暦日2》,一／,ひのえたつ,なる,土,ま日,大みやう ちいみ  くさかりよし
《1701-2390》,《暦日0》,二／,ひのとのみ,おさん,,　,大くわ ちう日  ものたちよし
《1701-2400》,《暦日2》,三／,つちのえむま,ひらく,火,ま日,神よし 天火 らうしやく  入学よし
《1701-2410》,《暦日0》,四／,つちのとのひつし,ひらく,,八月せつむまの五刻ニ入,●
《1701-2420》,《暦日2》,五／,かのえさる,とつ,木,　,神よし 大みやう  入学よし
《1701-2430》,《暦日0》,六／,かのとのとり,たつ,,　,大みやう くゑ日 ふく日 天火 らうしやく 下しきむまの時
《1701-2440》,《暦日2》,七／,みつのえいぬ,のそく,水,ま日,ちいみ  たねまきよし
《1701-2450》,《暦日0》,八／,みつのとのい,みつ,,八せんのおはり,ちう日  いちたちよし
《1701-2460》,《暦日2》,九／,きのえね,たいら,金,　,大くわ 地火  わたましよし
《1701-2470》,《暦日0》,十／,きのとのうし,さたん,,二百廿日,神よし ふく日  つめとりよし
《1701-2480》,《暦日2》,十一／,ひのえとら,とる,火,　,きこ  つめとりよし
《1701-2490》,《暦日0》,十二／,ひのとのう,やふる,,　, 田かりよし
《1701-2500》,《暦日2》,十三／,つちのえたつ,あやふ,木,　,五む日  みそすつくりよし
《1701-2510》,《暦日0》,十四／,つちのとのみ,なる,,　,十し
《1701-2520》,《暦日2》,十五／,かのえむま,おさん,土,　,めつもん  竹木こりよし
《1701-2530》,《暦日0》,十六／,かのとのひつし,ひらく,,　,●
《1701-2540》,《暦日2》,十七／,みつのえさる,とつ,金,　,神よし 大みやう
《1701-2550》,《暦日0》,十八／,みつのとのとり,たつ,,　,大みやう 天火 らうしやく 下しきむまの時
《1701-2560》,《暦日2》,十九／,きのえいぬ,のそく,火,秋分八月中とりの二刻,ちいみ  竹木こりよし
《1701-2570》,《暦日0》,廿／,きのとのい,みつ,,　,ちう日 ふく日  入学よし
《1701-2580》,《暦日2》,廿一／,ひのえね,たいら,水,ひかんニなる,きしく 大くわ 地火 わうまう
《1701-2590》,《暦日0》,廿二／,ひのとのうし,さたん,,　,神よし 大みやう  ものたち  つめとりよし
《1701-2600》,《暦日2》,廿三／,つちのえとら,とる,土,社日,きこ  田かり  つめとりよし
《1701-2610》,《暦日0》,廿四／,つちのとのう,やふる,,　,大みやう
《1701-2620》,《暦日2》,廿五／,かのえたつ,あやふ,金,　
《1701-2630》,《暦日0》,廿六／,かのとのみ,なる,,　,十し
《1701-2640》,《暦日2》,廿七／,みつのえむま,おさん,木,　,大みやう めつもん
《1701-2650》,《暦日0》,廿八／,みつのとのひつし,ひらく,,　,●
《1701-2660》,《暦日1》,廿九／,きのえさる,とつ,水,十方くれニ入,神よし 大みやう  竹木こり 田かりよし
《1701-2670》,《月序》,九月,小,建,戊戌,角宿　房　日よう
《1701-2680》,《暦日1》,一／,きのとのとり,たつ,水,　,ふく日 天火 らうしやく 下しきむまの時
《1701-2690》,《暦日2》,二／,ひのえいぬ,のそく,土,　,五む日 ちいみ
《1701-2700》,《暦日0》,三／,ひのとのい,みつ,,　,大みやう ちう日  入学よし
《1701-2710》,《暦日2》,四／,つちのえね,たいら,火,　,大くわ 地火
《1701-2720》,《暦日0》,五／,つちのとのうし,たいら,,かん露九月せついの七刻ニ入,十し
《1701-2730》,《暦日2》,六／,かのえとら,さたん,木,　,●
《1701-2740》,《暦日0》,七／,かのとのう,とる,,　,くゑ日
《1701-2750》,《暦日2》,八／,みつのえたつ,やふる,水,　,大みやう 五む日 くゑ日
《1701-2760》,《暦日0》,九／,みつのとのみ,あやふ,,天一天上,くゑ日 ちいみ ちう日 下しきひつしの時
《1701-2770》,《暦日2》,十／,きのえむま,なる,金,　,くゑ日
《1701-2780》,《暦日0》,十一／,きのとのひつし,おさん,,　,大みやう 五む日 くゑ日 大くわ
《1701-2790》,《暦日2》,十二／,ひのえさる,ひらく,火,　,くゑ日
《1701-2800》,《暦日0》,十三／,ひのとのとり,とつ,,　,くゑ日
《1701-2810》,《暦日2》,十四／,つちのえいぬ,たつ,木,　,くゑ日 ふく日  田かりよし
《1701-2820》,《暦日0》,十五／,つちのとのい,のそく,,　,神よし ちう日 ふく日  むきまきよし
《1701-2830》,《暦日2》,十六／,かのえね,みつ,土,　,神よし きこ 天火 らうしやく
《1701-2840》,《暦日0》,十七／,かのとのうし,たいら,,　,十し
《1701-2850》,《暦日2》,十八／,みつのえとら,さたん,金,とよううしの八刻ニ入,●
