«1702-0000»,【 カンマ区切りテキスト形式です。】
«1702-1850»,«暦日0»,十一〳,かのとのとり,たいら,,　,神よし 大みやう めつもん 地火
«1702-1860»,«暦日2»,十二〳,みつのえいぬ,さたん,水,ま日, むきかりよし
«1702-1870»,«暦日0»,十三〳,みつのとのい,さたん,,六月せついの初刻ニ入|八せんのおはり,ちう日
«1702-1880»,«暦日2»,十四〳,きのえね,とる,金,　,きこ 下しきたつの時
«1702-1890»,«暦日0»,十五〳,きのとのうし,やふる,,　,十し
«1702-1900»,«暦日2»,十六〳,ひのえとら,あやふ,火,　, わたまし  つめとりよし
«1702-1910»,«暦日0»,十七〳,ひのとのう,なる,,　,神よし 天火 らうしやく
«1702-1920»,«暦日2»,十八〳,つちのえたつ,おさん,木,　,五む日 ふく日 めつもん
«1702-1930»,«暦日0»,十九〳,つちのとのみ,ひらく,,　,くゑ日 ちう日 ふく日
«1702-1940»,«暦日2»,廿〳,かのえむま,とつ,土,初伏,●
«1702-1950»,«暦日0»,廿一〳,かのとのひつし,たつ,,　,大みやう  かといて ふねのりよし
«1702-1960»,«暦日2»,廿二〳,みつのえさる,のそく,金,　,神よし 大みやう  くさかりよし
«1702-1970»,«暦日0»,廿三〳,みつのとのとり,みつ,,　,神よし 大みやう ちいみ  みそすつくりよし
«1702-1980»,«暦日2»,廿四〳,きのえいぬ,たいら,火,　,大くわ 地火  わたましよし
«1702-1990»,«暦日0»,廿五〳,きのとのい,さたん,,　,ちう日
«1702-2000»,«暦日2»,廿六〳,ひのえね,とる,水,とよううしの一刻ニ入,きこ 下しきたつの時
«1702-2010»,«暦日0»,廿七〳,ひのとのうし,やふる,,　,十し
«1702-2020»,«暦日2»,廿八〳,つちのえとら,あやふ,土,　,ふく日  たねまき  つめとりよし
«1702-2030»,«暦日0»,廿九〳,つちのとのう,なる,,六月中うしの五刻,神よし 大みやう ふく日 天火 らうしやく
«1702-2040»,«暦日1»,卅〳,かのえたつ,おさん,金,中伏,めつもん  けんふくよし
«1702-2050»,«月序»,七月,小,建,戊申,虛宿　觜　火よう
«1702-2060»,«暦日1»,一〳,かのとのみ,ひらく,金,　,ちう日
«1702-2070»,«食記»,日帯そく七分,　
«1702-2080»,«暦日2»,二〳,みつのえむま,とつ,木,　,●
«1702-2090»,«暦日0»,三〳,みつのとのひつし,たつ,,　, たねまきよし
«1702-2100»,«暦日2»,四〳,きのえさる,のそく,水,十方くれニ入,神よし きしく 大みやう
«1702-2110»,«暦日0»,五〳,きのとのとり,みつ,,　,神よし ちいみ
«1702-2120»,«暦日2»,六〳,ひのえいぬ,たいら,土,　,五む日 大くわ 地火 わうまう
«1702-2130»,«暦日0»,七〳,ひのとのい,さたん,,　,大みやう ちう日
«1702-2140»,«暦日2»,八〳,つちのえね,とる,火,　,きこ ふく日 下しきたつの時
«1702-2150»,«暦日0»,九〳,つちのとのうし,やふる,,　,十し
«1702-2160»,«暦日2»,十〳,かのえとら,あやふ,木,　, やたて  つめとりよし
«1702-2170»,«暦日0»,十一〳,かのとのう,なる,,　,神よし 天火 らうしやく
«1702-2180»,«暦日2»,十二〳,みつのえたつ,おさん,水,　,大みやう 五む日 めつもん
«1702-2190»,«暦日0»,十三〳,みつのとのみ,ひらく,,天一天上,ちう日  いちたちよし
«1702-2200»,«暦日2»,十四〳,きのえむま,ひらく,金,立秋七月せつたつの二刻ニ入,神よし ふく日 天火 らうしやく  かといてよし
«1702-2210»,«暦日0»,十五〳,きのとのひつし,とつ,,　,大みやう 五む日
«1702-2220»,«暦日2»,十六〳,ひのえさる,たつ,火,　,神よし 下しきみの時  入学よし
«1702-2230»,«暦日0»,十七〳,ひのとのとり,のそく,,　,十し
«1702-2240»,«暦日2»,十八〳,つちのえいぬ,みつ,木,　, くらたて かまぬりよし
«1702-2250»,«暦日0»,十九〳,つちのとのい,たいら,,　,神よし ちう日 めつもん 地火
«1702-2260»,«暦日2»,廿〳,かのえね,さたん,土,末伏,神よし ふく日
«1702-2270»,«暦日0»,廿一〳,かのとのうし,とる,,　,●
«1702-2280»,«暦日2»,廿二〳,みつのえとら,やふる,金,　,大みやう わうまう  やたて  つめとりよし
«1702-2290»,«暦日0»,廿三〳,みつのとのう,あやふ,,　,神よし  わたまし みそすつくりよし
«1702-2300»,«暦日2»,廿四〳,きのえたつ,なる,火,　,大みやう くゑ日 ちいみ ふく日
«1702-2310»,«暦日0»,廿五〳,きのとのみ,おさん,,　,神よし 大みやう 大くわ ちう日  けんふくよし
«1702-2320»,«暦日2»,廿六〳,ひのえむま,ひらく,水,　,神よし 大みやう 天火 らうしやく  かといてよし
«1702-2330»,«暦日0»,廿七〳,ひのとのひつし,とつ,,　,さい下しき 神よし  いちたちよし
«1702-2340»,«暦日2»,廿八〳,つちのえさる,たつ,土,　,天しや よろつよし
«1702-2350»,«暦日0»,廿九〳,つちのとのとり,のそく,,七月中むまの七刻,十し
«1702-2360»,«月序»,八月,大,建,己酉,危宿　參　水よう
«1702-2370»,«暦日2»,一〳,かのえいぬ,みつ,金,　,大みやう ふく日
«1702-2380»,«暦日0»,二〳,かのとのい,たいら,,　,神よし 大みやう ちう日 めつもん 地火
«1702-2390»,«暦日2»,三〳,みつのえね,さたん,木,八せんのはしめ,神よし きしく  くらたてよし
«1702-2400»,«暦日0»,四〳,みつのとのうし,とる,,ま日,●
«1702-2410»,«暦日2»,五〳,きのえとら,やふる,水,　,ふく日  かといて  つめとりよし
«1702-2420»,«暦日0»,六〳,きのとのう,あやふ,,　,神よし  くらたて かまぬりよし
«1702-2430»,«暦日2»,七〳,ひのえたつ,なる,土,ま日,大みやう ちいみ  くさかりよし
«1702-2440»,«暦日0»,八〳,ひのとのみ,おさん,,　,大くわ ちう日  ものたちよし
«1702-2450»,«暦日2»,九〳,つちのえむま,ひらく,火,ま日,神よし 天火 らうしやく  入学よし
«1702-2460»,«暦日0»,十〳,つちのとのひつし,とつ,,　,神よし 大みやう  みそすつくりよし
«1702-2470»,«暦日2»,十一〳,かのえさる,たつ,木,二百十日,大みやう くゑ日 ふく日 下しきみの時
«1702-2480»,«暦日0»,十二〳,かのとのとり,のそく,,　,十し
«1702-2490»,«暦日2»,十三〳,みつのえいぬ,みつ,水,ま日
«1702-2500»,«暦日0»,十四〳,みつのとのい,たいら,,八せんのおはり,ちう日 めつもん 地火
«1702-2510»,«暦日2»,十五〳,きのえね,たいら,金,八月せつとりの四刻ニ入,大くわ 地火  わたましよし
«1702-2520»,«暦日0»,十六〳,きのとのうし,さたん,,　,神よし ふく日  つめとりよし
«1702-2530»,«暦日2»,十七〳,ひのえとら,とる,火,　,きこ  つめとりよし
«1702-2540»,«暦日0»,十八〳,ひのとのう,やふる,,　, 田かりよし
«1702-2550»,«暦日2»,十九〳,つちのえたつ,あやふ,木,　,五む日  みそすつくりよし
«1702-2560»,«暦日0»,廿〳,つちのとのみ,なる,,　,十し
«1702-2570»,«暦日2»,廿一〳,かのえむま,おさん,土,二百廿日,めつもん  竹木こりよし
«1702-2580»,«暦日0»,廿二〳,かのとのひつし,ひらく,,　,●
«1702-2590»,«暦日2»,廿三〳,みつのえさる,とつ,金,　,神よし 大みやう
«1702-2600»,«暦日0»,廿四〳,みつのとのとり,たつ,,　,大みやう 天火 らうしやく 下しきむまの時
«1702-2610»,«暦日2»,廿五〳,きのえいぬ,のそく,火,　,ちいみ  竹木こりよし
«1702-2620»,«暦日0»,廿六〳,きのとのい,みつ,,　,ちう日 ふく日  入学よし
«1702-2630»,«暦日2»,廿七〳,ひのえね,たいら,水,　,大くわ 地火
«1702-2640»,«暦日0»,廿八〳,ひのとのうし,さたん,,　,神よし 大みやう  ものたち  つめとりよし
«1702-2650»,«暦日2»,廿九〳,つちのえとら,とる,土,社日,きこ  田かり  つめとりよし
«1702-2660»,«暦日0»,卅〳,つちのとのう,やふる,,秋分八月中夜ねの一刻,大みやう
«1702-2670»,«月序»,閏八月,小,隨節用之,鬼　金よう
«1702-2680»,«暦日2»,一〳,かのえたつ,あやふ,金,　,きしく
«1702-2690»,«暦日0»,二〳,かのとのみ,なる,,ひかんニなる,十し
«1702-2700»,«暦日2»,三〳,みつのえむま,おさん,木,　,大みやう めつもん
«1702-2710»,«暦日0»,四〳,みつのとのひつし,ひらく,,　,●
«1702-2720»,«暦日2»,五〳,きのえさる,とつ,水,十方くれニ入,神よし 大みやう  竹木こり 田かりよし
«1702-2730»,«暦日0»,六〳,きのとのとり,たつ,,　,ふく日 天火 らうしやく 下しきむまの時
«1702-2740»,«暦日2»,七〳,ひのえいぬ,のそく,土,　,五む日 ちいみ
«1702-2750»,«暦日0»,八〳,ひのとのい,みつ,,　,大みやう ちう日  入学よし
«1702-2760»,«暦日2»,九〳,つちのえね,たいら,火,　,大くわ 地火
«1702-2770»,«暦日0»,十〳,つちのとのうし,さたん,,　, かまぬり  つめとりよし
«1702-2780»,«暦日2»,十一〳,かのえとら,とる,木,　,きこ  つめとりよし
«1702-2790»,«暦日0»,十二〳,かのとのう,やふる,,　,ふく日  田かりよし
«1702-2800»,«暦日2»,十三〳,みつのえたつ,あやふ,水,　,大みやう 五む日
«1702-2810»,«暦日0»,十四〳,みつのとのみ,なる,,天一天上,十し
«1702-2820»,«暦日2»,十五〳,きのえむま,おさん,金,　,めつもん
«1702-2830»,«暦日0»,十六〳,きのとのひつし,おさん,,かん露九月せつとらの六刻ニ入,大みやう 五む日 くゑ日 大くわ
«1702-2840»,«暦日2»,十七〳,ひのえさる,ひらく,火,　,くゑ日
«1702-2850»,«暦日0»,十八〳,ひのとのとり,とつ,,　,くゑ日
«1702-2860»,«暦日2»,十九〳,つちのえいぬ,たつ,木,　,くゑ日 ふく日  田かりよし
«1702-2870»,«暦日0»,廿〳,つちのとのい,のそく,,　,神よし ちう日 ふく日  むきまきよし
«1702-2880»,«暦日2»,廿一〳,かのえね,みつ,土,　,神よし きこ 天火 らうしやく
«1702-2890»,«暦日0»,廿二〳,かのとのうし,たいら,,　,十し
«1702-2900»,«暦日2»,廿三〳,みつのえとら,さたん,金,　,●
«1702-2910»,«暦日0»,廿四〳,みつのとのう,とる,,　,神よし  けんふく かといてよし
