《1851-0000》,# カンマ区切りテキスト形式です。
《1851-0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《1851-2060》,《暦日2》,廿一／,ひのえね,とる,水,　,きこ 下しきたつの時
《1851-2070》,《暦日0》,廿二／,ひのとのうし,やふる,,とよう朝五時九分ニ入,十し
《1851-2080》,《暦日2》,廿三／,つちのえとら,あやふ,土,　,ふく日  たねまき  つめとりよし
《1851-2090》,《暦日0》,廿四／,つちのとのう,なる,,　,神よし 大みやう 天おん 月とく ふく日 天火 らうしやく
《1851-2100》,《暦日1》,廿五／,かのえたつ,おさん,金,中伏,天おん めつもん  けんふくよし
《1851-2110》,《節中》,大暑六月中夜五時二分日の出より日入まて,昼五十八刻余/夜四十一刻半余,六より六まて,昼六十四刻/夜三十六刻
《1851-2120》,《暦日1》,廿六／,かのとのみ,ひらく,金,　,天おん 母倉 ちう日  ものたちよし
《1851-2130》,《暦日2》,廿七／,みつのえむま,とつ,木,　,●
《1851-2140》,《暦日0》,廿八／,みつのとのひつし,たつ,,　,天おん  たねまきよし
《1851-2150》,《暦日1》,廿九／,きのえさる,のそく,水,十方くれニ入,神よし 大みやう 月とく
《1851-2160》,《月序》,七月,大,建,丙申,箕宿　危　月よう
《1851-2170》,《暦日1》,一／,きのとのとり,みつ,水,　,神よし ちいみ
《1851-2180》,《暦日2》,二／,ひのえいぬ,たいら,土,　,五む日 大くわ 地火
《1851-2190》,《暦日0》,三／,ひのとのい,さたん,,　,大みやう ちう日
《1851-2200》,《暦日2》,四／,つちのえね,とる,火,　,きこ ふく日 わうまう 下しきたつの時
《1851-2210》,《暦日0》,五／,つちのとのうし,やふる,,　,十し
《1851-2220》,《暦日2》,六／,かのえとら,あやふ,木,　,母倉  やたて  つめとりよし
《1851-2230》,《暦日0》,七／,かのとのう,なる,,　,神よし 母倉 天火 らうしやく
《1851-2240》,《暦日2》,八／,みつのえたつ,おさん,水,　,大みやう 五む日 めつもん
《1851-2250》,《暦日0》,九／,みつのとのみ,ひらく,,天一天上,母倉 ちう日  いちたちよし
《1851-2260》,《暦日2》,十／,きのえむま,とつ,金,　,●
《1851-2270》,《暦日0》,十一／,きのとのひつし,たつ,,　,大みやう 五む日
《1851-2280》,《暦日1》,十二／,ひのえさる,たつ,火,　,神よし きしく 下しきみの時  入学よし
《1851-2290》,《節中》,立秋七月せつ昼九時七分ニ入日の出より日入まて,昼五十六刻半/夜四十三刻半,六より六まて,昼六十二刻/夜三十八刻
《1851-2300》,《暦日1》,十三／,ひのとのとり,のそく,火,　,十し
《1851-2310》,《暦日2》,十四／,つちのえいぬ,みつ,木,　,母倉  くらたて かまぬりよし
《1851-2320》,《暦日0》,十五／,つちのとのい,たいら,,　,神よし ちう日 めつもん 地火
《1851-2330》,《暦日2》,十六／,かのえね,さたん,土,末伏,さい下しき 神よし ふく日
《1851-2340》,《暦日0》,十七／,かのとのうし,とる,,　,●
《1851-2350》,《暦日2》,十八／,みつのえとら,やふる,金,　,大みやう 月とく  やたて  つめとりよし
《1851-2360》,《暦日0》,十九／,みつのとのう,あやふ,,　,神よし  わたまし みそすつくりよし
《1851-2370》,《暦日2》,廿／,きのえたつ,なる,火,　,大みやう くゑ日 ちいみ ふく日 わうまう
《1851-2380》,《暦日0》,廿一／,きのとのみ,おさん,,　,神よし 大みやう 大くわ ちう日  けんふくよし
《1851-2390》,《暦日2》,廿二／,ひのえむま,ひらく,水,　,神よし 大みやう 天火 らうしやく  かといてよし
《1851-2400》,《暦日0》,廿三／,ひのとのひつし,とつ,,　,神よし 母倉 月とく  いちたちよし
