《0000》,# カンマ区切りテキスト形式です。
《0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《0020》,# ・表の区画内での改行は“/”で表記します。
《1410》,《暦日1》,廿／,かのとのうし,あやふ,土,　,神よし 月とく 五む日  つめとりよし
《1420》,《暦日2》,廿一／,みつのえとら,なる,金,入梅,大みやう 母倉 きこ  くさかり  つめとりよし
《1430》,《暦日0》,廿二／,みつのとのう,おさん,,　,母倉 ちいみ 大くわ ふく日
《1440》,《暦日2》,廿三／,きのえたつ,ひらく,火,　,大みやう  むきかり 田うへよし
《1450》,《暦日0》,廿四／,きのとのみ,とつ,,　,十し
《1460》,《暦日2》,廿五／,ひのえむま,たつ,水,　,大みやう くゑ日 下しきうの時
《1470》,《暦日0》,廿六／,ひのとのひつし,のそく,,　,神よし ふく日
《1480》,《暦日2》,廿七／,つちのえさる,みつ,土,　,神よし  入学よし
《1490》,《暦日0》,廿八／,つちのとのとり,たいら,,　,神よし 大みやう 天おん めつもん 地火
《1500》,《暦日1》,廿九／,かのえいぬ,さたん,金,　,大みやう 天おん  かといてよし
《1510》,《月序》,五月,小,建,壬午,心宿　壁　水よう
《1520》,《暦日1》,一／,かのとのい,とる,金,　,神よし 大みやう 天おん 月とく ちう日  入学よし
《1530》,《暦日2》,二／,みつのえね,やふる,木,八せんのはしめ,●
《1540》,《暦日0》,三／,みつのとのうし,あやふ,,ま日,神よし 天おん ふく日  むきかり  つめとりよし
《1550》,《暦日2》,四／,きのえとら,なる,水,　,母倉 きこ  田うへ  つめとりよし
《1560》,《暦日0》,五／,きのとのう,おさん,,　,母倉 ちいみ 大くわ わうまう  ものたちよし
《1570》,《暦日1》,六／,ひのえたつ,ひらく,土,ま日,大みやう 月とく  けんふく いちたちよし
《1580》,《節中》,夏至五月中今暁とらの八刻日の出より日入まて,昼六十刻/夜四十刻,六より六まて,昼六十五刻/夜三十五刻
《1590》,《暦日1》,七／,ひのとのみ,とつ,土,　,十し
《1600》,《暦日2》,八／,つちのえむま,たつ,火,ま日,くゑ日 下しきうの時
《1610》,《暦日0》,九／,つちのとのひつし,のそく,,　,神よし 大みやう  みそすつくり 田うへよし
《1620》,《暦日2》,十／,かのえさる,みつ,木,　,神よし きしく 大みやう  入学 むきかりよし
《1630》,《暦日0》,十一／,かのとのとり,たいら,,　,神よし 大みやう 月とく めつもん 地火
《1640》,《暦日2》,十二／,みつのえいぬ,さたん,水,ま日, むきかりよし
《1650》,《暦日0》,十三／,みつのとのい,とる,,八せんのおはり,ちう日 ふく日
《1660》,《暦日2》,十四／,きのえね,やふる,金,　,●
《1670》,《暦日0》,十五／,きのとのうし,あやふ,,　,神よし 天おん  つめとりよし
《1680》,《暦日2》,十六／,ひのえとら,なる,火,はんけしやう,天おん 母倉 月とく きこ  つめとりよし
《1690》,《暦日0》,十七／,ひのとのう,おさん,,　,天おん 母倉 ちいみ 大くわ ふく日
《1700》,《暦日2》,十八／,つちのえたつ,ひらく,木,　,天おん 五む日  かまぬり 田うへよし
《1710》,《暦日0》,十九／,つちのとのみ,とつ,,　,十し
《1720》,《暦日2》,廿／,かのえむま,たつ,土,　,下しきうの時  むきかりよし
《1730》,《暦日0》,廿一／,かのとのひつし,たつ,,　,大みやう  かといて ふねのりよし
《1740》,《節中》,小暑六月せつみの五刻ニ入日の出より日入まて,昼五十九刻余/夜四十刻余,六より六まて,昼六十四刻余/夜三十五刻余
《1750》,《暦日2》,廿二／,みつのえさる,のそく,金,　,神よし 大みやう  くさかりよし
《1760》,《暦日0》,廿三／,みつのとのとり,みつ,,　,神よし 大みやう ちいみ  みそすつくりよし
《1770》,《暦日2》,廿四／,きのえいぬ,たいら,火,　,月とく 大くわ 地火  わたましよし
《1780》,《暦日0》,廿五／,きのとのい,さたん,,　,ちう日
《1790》,《暦日2》,廿六／,ひのえね,とる,水,　,きこ 下しきたつの時
《1800》,《暦日0》,廿七／,ひのとのうし,やふる,,　,十し
《1810》,《暦日2》,廿八／,つちのえとら,あやふ,土,　,ふく日  たねまき  つめとりよし
《1820》,《暦日0》,廿九／,つちのとのう,なる,,　,神よし 大みやう 天おん 月とく ふく日 天火 らうしやく
《1830》,《月序》,六月,大,建,癸未,尾宿　奎　木よう
《1840》,《暦日2》,一／,かのえたつ,おさん,金,初伏,天おん めつもん  けんふくよし
《1850》,《暦日0》,二／,かのとのみ,ひらく,,　,天おん 母倉 ちう日  ものたちよし
《1860》,《暦日2》,三／,みつのえむま,とつ,木,　,●
《1870》,《暦日0》,四／,みつのとのひつし,たつ,,とようひつしの六刻ニ入,天おん  たねまきよし
《1880》,《暦日2》,五／,きのえさる,のそく,水,十方くれニ入,神よし 大みやう 月とく
《1890》,《暦日0》,六／,きのとのとり,みつ,,　,神よし ちいみ
《1900》,《暦日1》,七／,ひのえいぬ,たいら,土,　,五む日 大くわ 地火
《1910》,《節中》,大暑六月中さるの二刻日の出より日入まて,昼五十八刻余/夜四十一刻余,六より六まて,昼六十三刻余/夜三十六刻余
《1920》,《暦日1》,八／,ひのとのい,さたん,土,　,大みやう ちう日
《1930》,《暦日2》,九／,つちのえね,とる,火,　,きしく きこ ふく日 下しきたつの時
《1940》,《暦日0》,十／,つちのとのうし,やふる,,　,十し
《1950》,《暦日2》,十一／,かのえとら,あやふ,木,中伏,母倉  やたて  つめとりよし
《1960》,《暦日0》,十二／,かのとのう,なる,,　,神よし 母倉 天火 らうしやく
《1970》,《暦日2》,十三／,みつのえたつ,おさん,水,　,さい下しき 大みやう 五む日 めつもん
《1980》,《暦日0》,十四／,みつのとのみ,ひらく,,天一天上,母倉 ちう日  いちたちよし
《1990》,《暦日2》,十五／,きのえむま,とつ,金,　,●
《2000》,《暦日0》,十六／,きのとのひつし,たつ,,　,大みやう 五む日
《2010》,《食記》,月帯そく四分
《2020》,《暦日2》,十七／,ひのえさる,のそく,火,　,神よし
《2030》,《暦日0》,十八／,ひのとのとり,みつ,,　,神よし ちいみ  くさかりよし
