《0000》,# カンマ区切りテキスト形式です。
《0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《0020》,# ・表の区画内での改行は“/”で表記します。
《1380》,《暦日2》,十八／,ひのえいぬ,とる,土,　,五む日 ふく日  くさかりよし
《1390》,《暦日0》,十九／,ひのとのい,やふる,,　,大みやう ちう日
《1400》,《暦日2》,廿／,つちのえね,あやふ,火,　, けんふくよし
《1410》,《暦日0》,廿一／,つちのとのうし,なる,,　,きこ  つめとりよし
《1420》,《暦日2》,廿二／,かのえとら,おさん,木,　,母倉 月とく めつもん  さひらき  つめとりよし
《1430》,《暦日0》,廿三／,かのとのう,ひらく,,　,神よし 母倉  やたて ものたちよし
《1440》,《暦日2》,廿四／,みつのえたつ,とつ,水,　,大みやう 五む日 ふく日
《1450》,《暦日0》,廿五／,みつのとのみ,たつ,,天一天上,●
《1460》,《節中》,小満四月中夕七時九分日の出より日入まて,昼五十八刻余/夜四十一刻半余,六より六まて,昼六十四刻/夜三十六刻
《1470》,《暦日2》,廿六／,きのえむま,のそく,金,　,天しや よろつよし
《1480》,《暦日0》,廿七／,きのとのひつし,みつ,,　,大みやう 五む日 くゑ日
《1490》,《暦日2》,廿八／,ひのえさる,たいら,火,　,神よし ちいみ 大くわ ふく日 地火  入学よし
《1500》,《暦日0》,廿九／,ひのとのとり,さたん,,　,十し
《1510》,《暦日1》,卅／,つちのえいぬ,とる,木,　, くらたて かまぬりよし
《1520》,《月序》,五月,小,建,庚午,室宿　女　土よう
《1530》,《暦日1》,一／,つちのとのい,やふる,木,　,くゑ日 ちう日
《1540》,《食記》,日帯そく
《1550》,《暦日2》,二／,かのえね,あやふ,土,　,神よし 月とく  わたまし たねまきよし
《1560》,《暦日0》,三／,かのとのうし,なる,,　,五む日 きこ  つめとりよし
《1570》,《暦日2》,四／,みつのえとら,おさん,金,　,大みやう 母倉 ふく日 めつもん  つめとりよし
《1580》,《暦日0》,五／,みつのとのう,ひらく,,　,神よし 母倉  かといて さひらきよし
《1590》,《暦日2》,六／,きのえたつ,とつ,火,　,大みやう
《1600》,《暦日0》,七／,きのとのみ,たつ,,　,●
《1610》,《暦日2》,八／,ひのえむま,のそく,水,　,大みやう くゑ日 ふく日
《1620》,《暦日0》,九／,ひのとのひつし,みつ,,　,くゑ日
《1630》,《暦日2》,十／,つちのえさる,たいら,土,　,神よし ちいみ 大くわ 地火
《1640》,《暦日0》,十一／,つちのとのとり,たいら,,　,神よし 大みやう 天おん めつもん 地火
《1650》,《節中》,芒種五月せつ朝四時六分ニ入日の出より日入まて,昼五十九刻半/夜四十刻半,六より六まて,昼六十五刻余/夜三十四刻半余
《1660》,《暦日2》,十二／,かのえいぬ,さたん,金,　,大みやう 天おん  かといてよし
《1670》,《暦日0》,十三／,かのとのい,とる,,　,神よし 大みやう 天おん 月とく ちう日  入学よし
《1680》,《暦日2》,十四／,みつのえね,やふる,木,入梅/八せんのはしめ,●
《1690》,《暦日0》,十五／,みつのとのうし,あやふ,,ま日,神よし 天おん ふく日  むきかり  つめとりよし
《1700》,《暦日2》,十六／,きのえとら,なる,水,　,母倉 きこ  田うへ  つめとりよし
《1710》,《暦日0》,十七／,きのとのう,おさん,,　,母倉 ちいみ 大くわ  ものたちよし
《1720》,《暦日2》,十八／,ひのえたつ,ひらく,土,ま日,大みやう 月とく  けんふく いちたちよし
《1730》,《暦日0》,十九／,ひのとのみ,とつ,,　,十し
《1740》,《暦日2》,廿／,つちのえむま,たつ,火,ま日,くゑ日 下しきうの時
《1750》,《暦日0》,廿一／,つちのとのひつし,のそく,,　,神よし 大みやう  みそすつくり 田うへよし
《1760》,《暦日2》,廿二／,かのえさる,みつ,木,　,神よし 大みやう  入学 むきかりよし
《1770》,《暦日0》,廿三／,かのとのとり,たいら,,　,神よし 大みやう 月とく めつもん 地火
《1780》,《暦日2》,廿四／,みつのえいぬ,さたん,水,ま日, むきかりよし
《1790》,《暦日0》,廿五／,みつのとのい,とる,,八せんのおはり,ちう日 ふく日
《1800》,《暦日2》,廿六／,きのえね,やふる,金,　,●
《1810》,《暦日0》,廿七／,きのとのうし,あやふ,,　,神よし 天おん  つめとりよし
《1820》,《節中》,夏至五月中今暁七時九分日の出より日入まて,昼五十九刻半余/夜四十刻余,六より六まて,昼六十五刻半余/夜三十四刻余
《1830》,《暦日2》,廿八／,ひのえとら,なる,火,　,天おん 母倉 月とく きこ  つめとりよし
《1840》,《暦日0》,廿九／,ひのとのう,おさん,,　,さい下しき 天おん 母倉 ちいみ 大くわ ふく日
《1850》,《月序》,六月,大,建,辛未,壁宿　虛　日よう
《1860》,《暦日2》,一／,つちのえたつ,ひらく,木,　,天おん 五む日  かまぬり 田うへよし
《1870》,《暦日0》,二／,つちのとのみ,とつ,,　,十し
