《1839-0000》,# カンマ区切りテキスト形式です。
《1839-0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《1839-0020》,# ・表の区画内での改行は“/”で表記します。
《1839-0030》,# ・《行番号》とその次のカラム(《暦首》など)は表成型に用いますので削除しないでください。
《1839-0040》,# ・カンマ","を追加・削除すると、その行が表成型できない場合があります。
《1839-0050》,# 外部リンク
《1839-0060》,# ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546786/147 ～ 150
《1839-0070》,# ・hosi.org　 : http://hosi.org:3000/Note/1839g　(GitHub上データを表成型)
《1839-0080》,# 　　　　　　 　http://hosi.org:3000/Note/1839h　(翻刻編集データを表成型 - 未実装)
《1839-0090》,# 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png
《1839-0100》,《版元》,出版地○○,出版元□□□,　
《1839-2430》,《暦日2》,廿七／,かのえさる,たつ,木,　,大みやう くゑ日 ふく日 下しきみの時
《1839-2440》,《暦日0》,廿八／,かのとのとり,のそく,,　,十し
《1839-2450》,《暦日1》,廿九／,みつのえいぬ,のそく,水,ま日,母倉 ちいみ  たねまきよし
《1839-2460》,《節中》,白露八月せつ今夜ねの四刻ニ入日の出より日入まて,昼五十二刻半/夜四十七刻半,六より六まて,昼五十七刻半余/夜四十二刻余
《1839-2470》,《暦日1》,卅／,みつのとのい,みつ,水,八せんのおはり,ちう日  いちたちよし
《1839-2480》,《月序》,八月,小,建,癸酉,房宿　虛　日よう
《1839-2490》,《暦日1》,一／,きのえね,たいら,金,　,天おん 大くわ 地火
《1839-2500》,《食記》,日帯蝕
《1839-2510》,《暦日1》,二／,きのとのうし,さたん,金,　,神よし 天おん 母倉 月とく ふく日  つめとりよし
《1839-2520》,《暦日2》,三／,ひのえとら,とる,火,　,天おん きこ  つめとりよし
