《1715-0000》,# カンマ区切りテキスト形式です。
《1715-0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《1715-2760》,《暦日0》,十／,みつのとのう,とる,,かん露九月せつたつの三刻ニ入,神よし  けんふく かといてよし
《1715-2770》,《暦日2》,十一／,きのえたつ,やふる,火,　,大みやう
《1715-2780》,《暦日0》,十二／,きのとのみ,あやふ,,　,神よし 大みやう ちいみ ちう日 下しきひつしの時
《1715-2790》,《暦日2》,十三／,ひのえむま,なる,水,　,神よし 大みやう  いちたちよし
《1715-2800》,《暦日0》,十四／,ひのとのひつし,おさん,,　,神よし 大くわ  田かりよし
《1715-2810》,《暦日2》,十五／,つちのえさる,ひらく,土,　,天しや よろつよし
《1715-2820》,《暦日0》,十六／,つちのとのとり,とつ,,　,神よし 大みやう ふく日  たねまきよし
《1715-2830》,《暦日2》,十七／,かのえいぬ,たつ,金,　,大みやう くゑ日
《1715-2840》,《暦日0》,十八／,かのとのい,のそく,,　,神よし 大みやう ちう日  田かりよし
《1715-2850》,《暦日2》,十九／,みつのえね,みつ,木,八せんのはしめ,神よし きこ 天火 らうしやく
《1715-2860》,《暦日0》,廿／,みつのとのうし,たいら,,ま日,十し
《1715-2870》,《暦日2》,廿一／,きのえとら,さたん,水,　,●
《1715-2880》,《暦日0》,廿二／,きのとのう,とる,,とようむまの四刻ニ入,神よし  かまぬり ものたちよし
《1715-2890》,《暦日2》,廿三／,ひのえたつ,やふる,土,ま日,大みやう  かとたてよし
《1715-2900》,《暦日0》,廿四／,ひのとのみ,あやふ,,　,ちいみ ちう日 下しきひつしの時
