《1752-0000》,# カンマ区切りテキスト形式です。
《1752-0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《1752-0020》,# ・表の区画内での改行は“/”で表記します。
《1752-0030》,# ・《行番号》とその次のカラム(《暦首》など)は表成型に用いますので削除しないでください。
《1752-0040》,# ・カンマ","を追加・削除すると、その行が表成型できない場合があります。
《1752-0050》,# 外部リンク
《1752-0060》,# ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546785/33 ～ 38
《1752-0070》,# ・hosi.org　 : http://hosi.org:3000/Note/1752g　(GitHub上データを表成型)
《1752-0080》,# 　　　　　　 　http://hosi.org:3000/Note/1752h　(翻刻編集データを表成型 - 未実装)
《1752-0090》,# 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png
《1752-0100》,《版元》,出版地○○,出版元□□□,　
《1752-0780》,《節中》,清明三月せつさるの二刻ニ入日の出より日入まて,昼五十二刻余/夜四十七刻余,六より六まて,昼五十七刻余/夜四十二刻余
《1752-0790》,《暦日1》,廿三／,きのとのう,とつ,水,　,神よし  ものたちよし
《1752-0800》,《暦日2》,廿四／,ひのえたつ,たつ,土,ま日,大みやう  わたましよし
《1752-0810》,《暦日0》,廿五／,ひのとのみ,のそく,,　,ちう日  いちたちよし
《1752-0820》,《暦日2》,廿六／,つちのえむま,みつ,火,ま日,神よし ふく日 天火 らうしやく  ふねのりよし
《1752-0830》,《暦日0》,廿七／,つちのとのひつし,たいら,,　,神よし 大みやう ふく日 めつもん 地火
《1752-0840》,《暦日2》,廿八／,かのえさる,さたん,木,　,大みやう くゑ日
《1752-0850》,《暦日0》,廿九／,かのとのとり,とる,,　,神よし 大みやう  井ほりよし
《1752-0860》,《月序》,三月,大,建,甲辰,畢宿　牛　金よう
《1752-0870》,《暦日2》,一／,みつのえいぬ,やふる,水,ま日
《1752-0880》,《暦日0》,二／,みつのとのい,あやふ,,八せんのおはり,●
《1752-0890》,《暦日2》,三／,きのえね,なる,金,　,くゑ日 きこ
《1752-0900》,《暦日0》,四／,きのとのうし,おさん,,　,十し
《1752-0910》,《暦日2》,五／,ひのえとら,ひらく,火,とよういぬの三刻ニ入,くゑ日 ちいみ
《1752-0920》,《暦日0》,六／,ひのとのう,とつ,,　,くゑ日  たねまきよし
《1752-0930》,《暦日2》,七／,つちのえたつ,たつ,木,　,五む日 くゑ日 ふく日
《1752-0940》,《暦日0》,八／,つちのとのみ,のそく,,　,神よし ちう日 ふく日  かといてよし
《1752-0950》,《節中》,穀雨三月中いぬの七刻日の出より日入まて,昼五十五刻余/夜四十四刻余,六より六まて,昼六十刻余/夜三十九刻余
《1752-0960》,《暦日2》,九／,かのえむま,みつ,土,　,神よし 天火 らうしやく  みそすつくりよし
《1752-0970》,《暦日0》,十／,かのとのひつし,たいら,,　,大みやう めつもん 地火
《1752-0980》,《暦日2》,十一／,みつのえさる,さたん,金,　,大みやう くゑ日
《1752-0990》,《暦日0》,十二／,みつのとのとり,とる,,　,神よし 大みやう
《1752-1000》,《暦日2》,十三／,きのえいぬ,やふる,火,　,わうまう  くさかりよし
《1752-1010》,《暦日0》,十四／,きのとのい,あやふ,,　,●
《1752-1020》,《暦日2》,十五／,ひのえね,なる,水,　,きしく きこ
《1752-1030》,《暦日0》,十六／,ひのとのうし,おさん,,　,十し
《1752-1040》,《暦日2》,十七／,つちのえとら,ひらく,土,　,天しや よろつよし
《1752-1050》,《暦日0》,十八／,つちのとのう,とつ,,　,神よし 大みやう ふく日
《1752-1060》,《暦日2》,十九／,かのえたつ,たつ,金,八十八や,くゑ日
《1752-1070》,《暦日0》,廿／,かのとのみ,のそく,,　,ちう日
《1752-1080》,《暦日2》,廿一／,みつのえむま,みつ,木,　,神よし 大みやう 天火 らうしやく
《1752-1090》,《暦日0》,廿二／,みつのとのひつし,たいら,,　,めつもん 地火
《1752-1100》,《暦日1》,廿三／,きのえさる,さたん,水,十方くれニ入,大みやう くゑ日
《1752-1110》,《節中》,立夏四月せつ翌うしの四刻ニ入日の出より日入まて,昼五十七刻余/夜四十二刻余,六より六まて,昼六十二刻余/夜三十七刻余
《1752-1120》,《暦日1》,廿四／,きのとのとり,さたん,水,　,十し
《1752-1130》,《暦日2》,廿五／,ひのえいぬ,とる,土,　,五む日 ふく日  くさかりよし
《1752-1140》,《暦日0》,廿六／,ひのとのい,やふる,,　,大みやう ちう日
《1752-1150》,《暦日2》,廿七／,つちのえね,あやふ,火,　, けんふくよし
《1752-1160》,《暦日0》,廿八／,つちのとのうし,なる,,　,きこ  つめとりよし
《1752-1170》,《暦日2》,廿九／,かのえとら,おさん,木,　,めつもん  さひらき  つめとりよし
《1752-1180》,《暦日0》,卅／,かのとのう,ひらく,,　,神よし  やたて ものたちよし
《1752-1190》,《月序》,四月,小,建,乙巳,觜宿　虛　日よう
《1752-1200》,《暦日2》,一／,みつのえたつ,とつ,水,　,大みやう 五む日 ふく日 わうまう
《1752-1210》,《暦日0》,二／,みつのとのみ,たつ,,天一天上,●
《1752-1220》,《暦日2》,三／,きのえむま,のそく,金,　,天しや よろつよし
《1752-1230》,《暦日0》,四／,きのとのひつし,みつ,,　,大みやう 五む日 くゑ日
《1752-1240》,《暦日2》,五／,ひのえさる,たいら,火,　,神よし ちいみ 大くわ ふく日 地火  入学よし
《1752-1250》,《暦日0》,六／,ひのとのとり,さたん,,　,十し
《1752-1260》,《暦日2》,七／,つちのえいぬ,とる,木,　, くらたて かまぬりよし
《1752-1270》,《暦日0》,八／,つちのとのい,やふる,,　,くゑ日 ちう日
《1752-1280》,《暦日1》,九／,かのえね,あやふ,土,　,神よし  わたまし たねまきよし
《1752-1290》,《節中》,小満四月中たつの一刻日の出より日入まて,昼五十八刻余/夜四十一刻余,六より六まて,昼六十三刻余/夜三十六刻余
《1752-1300》,《暦日1》,十／,かのとのうし,なる,土,　,五む日 きこ  つめとりよし
《1752-1310》,《暦日2》,十一／,みつのえとら,おさん,金,　,大みやう ふく日 めつもん  つめとりよし
《1752-1320》,《暦日0》,十二／,みつのとのう,ひらく,,　,神よし  かといて さひらきよし
《1752-1330》,《暦日2》,十三／,きのえたつ,とつ,火,　,きしく 大みやう
《1752-1340》,《暦日0》,十四／,きのとのみ,たつ,,　,●
《1752-1350》,《暦日2》,十五／,ひのえむま,のそく,水,　,大みやう くゑ日 ふく日
《1752-1360》,《暦日0》,十六／,ひのとのひつし,みつ,,　,くゑ日
《1752-1370》,《暦日2》,十七／,つちのえさる,たいら,土,　,神よし ちいみ 大くわ 地火
《1752-1380》,《暦日0》,十八／,つちのとのとり,さたん,,　,十し
《1752-1390》,《暦日2》,十九／,かのえいぬ,とる,金,　,大みやう  やたて くさかりよし
《1752-1400》,《暦日0》,廿／,かのとのい,やふる,,　,神よし 大みやう ちう日  さひらきよし
《1752-1410》,《暦日2》,廿一／,みつのえね,あやふ,木,八せんのはしめ,神よし ふく日  くらたてよし
《1752-1420》,《暦日0》,廿二／,みつのとのうし,なる,,ま日,きこ  つめとりよし
《1752-1430》,《暦日2》,廿三／,きのえとら,おさん,水,　,めつもん  つめとりよし
《1752-1440》,《暦日0》,廿四／,きのとのう,おさん,,　,ちいみ 大くわ  ものたちよし
《1752-1450》,《節中》,芒種五月せつむまの六刻ニ入日の出より日入まて,昼五十九刻余/夜四十刻余,六より六まて,昼六十四刻余/夜三十五刻余
《1752-1460》,《暦日2》,廿五／,ひのえたつ,ひらく,土,ま日,大みやう  けんふく いちたちよし
《1752-1470》,《暦日0》,廿六／,ひのとのみ,とつ,,　,十し
《1752-1480》,《暦日2》,廿七／,つちのえむま,たつ,火,ま日,くゑ日 下しきうの時
《1752-1490》,《暦日0》,廿八／,つちのとのひつし,のそく,,　,神よし 大みやう  みそすつくり 田うへよし
《1752-1500》,《暦日1》,廿九／,かのえさる,みつ,木,　,神よし 大みやう  入学 むきかりよし
《1752-1510》,《月序》,五月,小,建,丙午,參宿　危　月よう
《1752-1520》,《暦日1》,一／,かのとのとり,たいら,木,　,神よし 大みやう めつもん 地火
《1752-1530》,《暦日2》,二／,みつのえいぬ,さたん,水,入梅/ま日, むきかりよし
