《1734-0000》,# カンマ区切りテキスト形式です。
《1734-0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《1734-0020》,# ・表の区画内での改行は“/”で表記します。
《1734-1580》,《節中》,芒種五月せつとらの四刻ニ入日の出より日入まて,昼五十九刻余/夜四十刻余,六より六まて,昼六十四刻余/夜三十五刻余
《1734-1590》,《暦日2》,七／,みつのえむま,たつ,木,入梅,大みやう 下しきうの時
《1734-1600》,《暦日0》,八／,みつのとのひつし,のそく,,　,ふく日  田うへよし
《1734-1610》,《暦日2》,九／,きのえさる,みつ,水,十方くれニ入,神よし 大みやう
《1734-1620》,《暦日0》,十／,きのとのとり,たいら,,　,神よし めつもん 地火
《1734-1630》,《暦日2》,十一／,ひのえいぬ,さたん,土,　,五む日  むきかりよし
《1734-1640》,《暦日0》,十二／,ひのとのい,とる,,　,大みやう ちう日 ふく日
《1734-1650》,《暦日2》,十三／,つちのえね,やふる,火,　,●
《1734-1660》,《暦日0》,十四／,つちのとのうし,あやふ,,　, 田うへ  つめとりよし
《1734-1670》,《暦日2》,十五／,かのえとら,なる,木,　,きこ  井ほり  つめとりよし
《1734-1680》,《暦日0》,十六／,かのとのう,おさん,,　,ちいみ 大くわ  ものたちよし
《1734-1690》,《暦日2》,十七／,みつのえたつ,ひらく,水,　,きしく 大みやう 五む日
《1734-1700》,《暦日0》,十八／,みつのとのみ,とつ,,天一天上,十し
《1734-1710》,《暦日2》,十九／,きのえむま,たつ,金,　,天しや よろつよし
《1734-1720》,《暦日0》,廿／,きのとのひつし,のそく,,　,大みやう 五む日  むきかりよし
《1734-1730》,《暦日1》,廿一／,ひのえさる,みつ,火,　,わうまう  入学 いちたちよし
《1734-1740》,《節中》,夏至五月中みの一刻日の出より日入まて,昼六十刻/夜四十刻,六より六まて,昼六十五刻/夜三十五刻
《1734-1750》,《暦日1》,廿二／,ひのとのとり,たいら,火,　,神よし ふく日 めつもん 地火
《1734-1760》,《暦日2》,廿三／,つちのえいぬ,さたん,木,　, かまぬり 田うへよし
《1734-1770》,《暦日0》,廿四／,つちのとのい,とる,,　,神よし ちう日
