《0000》,# カンマ区切りテキスト形式です。
《0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《0020》,# ・表の区画内での改行は“/”で表記します。
《2620》,《暦日0》,十三／,みつのとのう,あやふ,,　,神よし  わたまし みそすつくりよし
《2630》,《暦日1》,十四／,きのえたつ,あやふ,火,　,大みやう 母倉  けんふく わたましよし
《2640》,《節中》,白露八月せつたつの七刻ニ入日の出より日入まて,昼五十二刻半/夜四十七刻半,六より六まて,昼五十七刻半余/夜四十二刻余
《2650》,《暦日1》,十五／,きのとのみ,なる,火,　,十し
《2660》,《暦日2》,十六／,ひのえむま,おさん,水,　,大みやう めつもん
《2670》,《暦日0》,十七／,ひのとのひつし,ひらく,,　,●
《2680》,《暦日2》,十八／,つちのえさる,とつ,土,　,天しや よろつよし
《2690》,《暦日0》,十九／,つちのとのとり,たつ,,　,大みやう くゑ日 天火 らうしやく 下しきむまの時
《2700》,《暦日2》,廿／,かのえいぬ,のそく,金,二百廿日,大みやう 天おん 母倉 月とく ちいみ
《2710》,《暦日0》,廿一／,かのとのい,みつ,,　,神よし 大みやう 天おん ちう日 ふく日
《2720》,《暦日2》,廿二／,みつのえね,たいら,木,八せんのはしめ,神よし 天おん 大くわ 地火
《2730》,《暦日0》,廿三／,みつのとのうし,さたん,,ま日,神よし 天おん 母倉  たねまき 竹木こり  つめとりよし
《2740》,《暦日2》,廿四／,きのえとら,とる,水,　,きこ  かまぬり 田かり  つめとりよし
《2750》,《暦日0》,廿五／,きのとのう,やふる,,　,くゑ日 ふく日
《2760》,《暦日2》,廿六／,ひのえたつ,あやふ,土,ま日,大みやう 母倉
《2770》,《暦日0》,廿七／,ひのとのみ,なる,,　,十し
《2780》,《暦日2》,廿八／,つちのえむま,おさん,火,ま日/社日/ひかんニなる,めつもん
《2790》,《暦日0》,廿九／,つちのとのひつし,ひらく,,　,●
《2800》,《節中》,秋分八月中ひつしの四刻日の出より日入まて,昼五十刻余/夜四十九刻半余,六より六まて,昼五十五刻余/夜四十四刻半余
