«1705-0000»,【 カンマ区切りテキスト形式です。】
«1705-2270»,«暦日0»,廿三〳,きのとのう,あやふ,,　,神よし  くらたて かまぬりよし
«1705-2280»,«暦日2»,廿四〳,ひのえたつ,なる,土,ま日,大みやう ちいみ  くさかりよし
«1705-2290»,«暦日0»,廿五〳,ひのとのみ,おさん,,　,大くわ ちう日  ものたちよし
«1705-2300»,«暦日2»,廿六〳,つちのえむま,ひらく,火,ま日,天火 らうしやく わうまう  入学よし
«1705-2310»,«暦日0»,廿七〳,つちのとのひつし,とつ,,　,神よし 大みやう  みそすつくりよし
«1705-2320»,«暦日2»,廿八〳,かのえさる,たつ,木,　,大みやう くゑ日 ふく日 下しきみの時
«1705-2330»,«暦日0»,廿九〳,かのとのとり,のそく,,　,十し
«1705-2340»,«月序»,七月,大,建,甲申,畢宿　參　水よう
«1705-2350»,«暦日2»,一〳,みつのえいぬ,みつ,水,ま日
«1705-2360»,«暦日0»,二〳,みつのとのい,たいら,,八せんのおはり,ちう日 めつもん 地火
«1705-2370»,«暦日2»,三〳,きのえね,さたん,金,　,きしく ふく日  ふねのりよし
«1705-2380»,«暦日0»,四〳,きのとのうし,とる,,七月中うの五刻,●
«1705-2390»,«暦日2»,五〳,ひのえとら,やふる,火,　, けんふく  つめとりよし
«1705-2400»,«暦日0»,六〳,ひのとのう,あやふ,,　,神よし  わたましよし
«1705-2410»,«暦日2»,七〳,つちのえたつ,なる,木,　,五む日 ちいみ  いちたちよし
«1705-2420»,«暦日0»,八〳,つちのとのみ,おさん,,　,神よし 大くわ ちう日
«1705-2430»,«暦日2»,九〳,かのえむま,ひらく,土,　,神よし ふく日 天火 らうしやく
«1705-2440»,«暦日0»,十〳,かのとのひつし,とつ,,　,大みやう  ものたちよし
«1705-2450»,«暦日2»,十一〳,みつのえさる,たつ,金,　,神よし 大みやう 下しきみの時
«1705-2460»,«暦日0»,十二〳,みつのとのとり,のそく,,　,十し
«1705-2470»,«暦日2»,十三〳,きのえいぬ,みつ,火,　,ふく日  くらたてよし
«1705-2480»,«暦日0»,十四〳,きのとのい,たいら,,　,ちう日 めつもん 地火
«1705-2490»,«暦日2»,十五〳,ひのえね,さたん,水,二百十日, 田かりよし
«1705-2500»,«暦日0»,十六〳,ひのとのうし,とる,,　,●
«1705-2510»,«暦日2»,十七〳,つちのえとら,やふる,土,　, たねまき  つめとりよし
«1705-2520»,«暦日0»,十八〳,つちのとのう,あやふ,,　,神よし 大みやう  みそすつくりよし
«1705-2530»,«暦日2»,十九〳,かのえたつ,あやふ,金,八月せつむまの一刻ニ入
«1705-2540»,«暦日0»,廿〳,かのとのみ,なる,,　,十し
«1705-2550»,«暦日2»,廿一〳,みつのえむま,おさん,木,　,大みやう めつもん
«1705-2560»,«暦日0»,廿二〳,みつのとのひつし,ひらく,,　,●
«1705-2570»,«暦日2»,廿三〳,きのえさる,とつ,水,十方くれニ入,神よし 大みやう  竹木こり 田かりよし
«1705-2580»,«暦日0»,廿四〳,きのとのとり,たつ,,　,ふく日 天火 らうしやく 下しきむまの時
«1705-2590»,«暦日2»,廿五〳,ひのえいぬ,のそく,土,二百廿日,さい下しき 五む日 ちいみ
«1705-2600»,«暦日0»,廿六〳,ひのとのい,みつ,,　,大みやう ちう日  入学よし
«1705-2610»,«暦日2»,廿七〳,つちのえね,たいら,火,　,大くわ 地火
«1705-2620»,«暦日0»,廿八〳,つちのとのうし,さたん,,　, かまぬり  つめとりよし
«1705-2630»,«暦日2»,廿九〳,かのえとら,とる,木,　,きこ  つめとりよし
«1705-2640»,«暦日0»,卅〳,かのとのう,やふる,,　,ふく日  田かりよし
«1705-2650»,«月序»,八月,大,建,乙酉,觜宿　鬼　金よう
«1705-2660»,«暦日2»,一〳,みつのえたつ,あやふ,水,　,きしく 大みやう 五む日
«1705-2670»,«暦日0»,二〳,みつのとのみ,なる,,天一天上,十し
«1705-2680»,«暦日2»,三〳,きのえむま,おさん,金,　,めつもん
«1705-2690»,«暦日0»,四〳,きのとのひつし,ひらく,,秋分八月中さるの七刻,●
«1705-2700»,«暦日2»,五〳,ひのえさる,とつ,火,　,神よし
«1705-2710»,«暦日0»,六〳,ひのとのとり,たつ,,ひかんニなる,天火 らうしやく わうまう 下しきむまの時
«1705-2720»,«暦日2»,七〳,つちのえいぬ,のそく,木,社日,ちいみ  ふねのり 田かりよし
«1705-2730»,«暦日0»,八〳,つちのとのい,みつ,,　,神よし ちう日  いちたちよし
«1705-2740»,«暦日2»,九〳,かのえね,たいら,土,　,神よし 大くわ 地火
«1705-2750»,«暦日0»,十〳,かのとのうし,さたん,,　,神よし 五む日 ふく日  ものたち  つめとりよし
«1705-2760»,«暦日2»,十一〳,みつのえとら,とる,金,　,大みやう きこ  やたて  つめとりよし
«1705-2770»,«暦日0»,十二〳,みつのとのう,やふる,,　, くらたて 田かりよし
«1705-2780»,«暦日2»,十三〳,きのえたつ,あやふ,火,　,大みやう  けんふく わたましよし
«1705-2790»,«暦日0»,十四〳,きのとのみ,なる,,　,十し
«1705-2800»,«暦日2»,十五〳,ひのえむま,おさん,水,　,大みやう めつもん
«1705-2810»,«暦日0»,十六〳,ひのとのひつし,ひらく,,　,●
«1705-2820»,«暦日2»,十七〳,つちのえさる,とつ,土,　,天しや よろつよし
«1705-2830»,«暦日0»,十八〳,つちのとのとり,たつ,,　,大みやう くゑ日 天火 らうしやく 下しきむまの時
«1705-2840»,«暦日2»,十九〳,かのえいぬ,たつ,金,かん露九月せついの三刻ニ入,大みやう くゑ日
«1705-2850»,«暦日0»,廿〳,かのとのい,のそく,,　,神よし 大みやう ちう日  田かりよし
«1705-2860»,«暦日2»,廿一〳,みつのえね,みつ,木,八せんのはしめ,神よし きこ 天火 らうしやく
«1705-2870»,«暦日0»,廿二〳,みつのとのうし,たいら,,ま日,十し
«1705-2880»,«暦日2»,廿三〳,きのえとら,さたん,水,　,●
«1705-2890»,«暦日0»,廿四〳,きのとのう,とる,,　,神よし  かまぬり ものたちよし
«1705-2900»,«暦日2»,廿五〳,ひのえたつ,やふる,土,ま日,大みやう  かとたてよし
«1705-2910»,«暦日0»,廿六〳,ひのとのみ,あやふ,,　,ちいみ ちう日 下しきひつしの時
