《1727-0000》,# カンマ区切りテキスト形式です。
《1727-0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《1727-1650》,《暦日0》,廿一／,ひのとのひつし,のそく,,　,神よし ふく日
《1727-1660》,《暦日2》,廿二／,つちのえさる,みつ,土,　,神よし  入学よし
《1727-1670》,《暦日0》,廿三／,つちのとのとり,たいら,,　,神よし 大みやう めつもん 地火
《1727-1680》,《暦日2》,廿四／,かのえいぬ,さたん,金,　,大みやう  かといてよし
《1727-1690》,《暦日0》,廿五／,かのとのい,とる,,　,神よし 大みやう ちう日  入学よし
《1727-1700》,《暦日2》,廿六／,みつのえね,やふる,木,入梅/八せんのはしめ,●
《1727-1710》,《暦日0》,廿七／,みつのとのうし,あやふ,,ま日,神よし ふく日  むきかり  つめとりよし
《1727-1720》,《暦日2》,廿八／,きのえとら,なる,水,　,きこ  田うへ  つめとりよし
《1727-1730》,《暦日0》,廿九／,きのとのう,おさん,,　,ちいみ 大くわ  ものたちよし
《1727-1740》,《月序》,五月,大,建,丙午,角宿　奎　木よう
《1727-1750》,《暦日2》,一／,ひのえたつ,ひらく,土,ま日,大みやう  けんふく いちたちよし
《1727-1760》,《暦日0》,二／,ひのとのみ,とつ,,　,十し
《1727-1770》,《暦日2》,三／,つちのえむま,たつ,火,ま日,くゑ日 下しきうの時
《1727-1780》,《暦日0》,四／,つちのとのひつし,のそく,,夏至五月中さるの七刻,大みやう わうまう  みそすつくり 田うへよし
《1727-1790》,《暦日2》,五／,かのえさる,みつ,木,　,さい下しき 神よし 大みやう  入学 むきかりよし
《1727-1800》,《暦日0》,六／,かのとのとり,たいら,,　,神よし 大みやう めつもん 地火
《1727-1810》,《暦日2》,七／,みつのえいぬ,さたん,水,ま日, むきかりよし
《1727-1820》,《暦日0》,八／,みつのとのい,とる,,八せんのおはり,ちう日 ふく日
《1727-1830》,《暦日2》,九／,きのえね,やふる,金,　,●
《1727-1840》,《暦日0》,十／,きのとのうし,あやふ,,　,神よし  つめとりよし
《1727-1850》,《暦日2》,十一／,ひのえとら,なる,火,　,きこ  つめとりよし
《1727-1860》,《暦日0》,十二／,ひのとのう,おさん,,　,ちいみ 大くわ ふく日
《1727-1870》,《暦日2》,十三／,つちのえたつ,ひらく,木,　,五む日  かまぬり 田うへよし
《1727-1880》,《暦日0》,十四／,つちのとのみ,とつ,,はんけしやう,十し
《1727-1890》,《暦日2》,十五／,かのえむま,たつ,土,　,下しきうの時  むきかりよし
《1727-1900》,《暦日0》,十六／,かのとのひつし,のそく,,　,大みやう  ふねのり 井ほりよし
《1727-1910》,《暦日2》,十七／,みつのえさる,みつ,金,　,神よし 大みやう  くさかりよし
《1727-1920》,《暦日0》,十八／,みつのとのとり,たいら,,　,神よし 大みやう ふく日 めつもん 地火
《1727-1930》,《暦日2》,十九／,きのえいぬ,たいら,火,六月せついの四刻ニ入,大くわ 地火  わたましよし
《1727-1940》,《暦日0》,廿／,きのとのい,さたん,,　,ちう日
《1727-1950》,《暦日2》,廿一／,ひのえね,とる,水,　,きこ 下しきたつの時
《1727-1960》,《暦日0》,廿二／,ひのとのうし,やふる,,　,十し
《1727-1970》,《暦日2》,廿三／,つちのえとら,あやふ,土,　,ふく日  たねまき  つめとりよし
《1727-1980》,《暦日0》,廿四／,つちのとのう,なる,,　,神よし 大みやう ふく日 天火 らうしやく
《1727-1990》,《暦日2》,廿五／,かのえたつ,おさん,金,初伏,めつもん  けんふくよし
《1727-2000》,《暦日0》,廿六／,かのとのみ,ひらく,,　,ちう日  ものたちよし
《1727-2010》,《暦日2》,廿七／,みつのえむま,とつ,木,　,●
《1727-2020》,《暦日0》,廿八／,みつのとのひつし,たつ,,　, たねまきよし
《1727-2030》,《暦日2》,廿九／,きのえさる,のそく,水,十方くれニ入,神よし 大みやう
《1727-2040》,《暦日0》,卅／,きのとのとり,みつ,,　,神よし ちいみ
《1727-2050》,《月序》,六月,小,建,丁未,亢宿　胃　土よう
《1727-2060》,《暦日2》,一／,ひのえいぬ,たいら,土,　,五む日 大くわ 地火
《1727-2070》,《暦日0》,二／,ひのとのい,さたん,,とよううしの五刻ニ入,大みやう ちう日
《1727-2080》,《暦日2》,三／,つちのえね,とる,火,　,きこ ふく日 下しきたつの時
《1727-2090》,《暦日0》,四／,つちのとのうし,やふる,,　,十し
《1727-2100》,《暦日2》,五／,かのえとら,あやふ,木,六月中とらの一刻/中伏, やたて  つめとりよし
《1727-2110》,《暦日0》,六／,かのとのう,なる,,　,神よし 天火 らうしやく
《1727-2120》,《暦日2》,七／,みつのえたつ,おさん,水,　,きしく 大みやう 五む日 めつもん
《1727-2130》,《暦日0》,八／,みつのとのみ,ひらく,,天一天上,ちう日  いちたちよし
《1727-2140》,《暦日2》,九／,きのえむま,とつ,金,　,●
《1727-2150》,《暦日0》,十／,きのとのひつし,たつ,,　,大みやう 五む日
《1727-2160》,《暦日2》,十一／,ひのえさる,のそく,火,　,神よし
《1727-2170》,《暦日0》,十二／,ひのとのとり,みつ,,　,ちいみ わうまう  くさかりよし
